name,density,spg,volume,SiOSi_average,SiOSi_gmean,SiOSi_hmean,SiOSi_max,SiOSi_mean,SiOSi_min,SiOSi_skew,SiOSi_std,SiOSi_var,SiO_average,SiO_gmean,SiO_hmean,SiO_max,SiO_mean,SiO_min,SiO_skew,SiO_std,SiO_var,ASA,AV,NASA,NAV,VolFrac,largest_free_sphere,largest_included_sphere,largest_included_sphere_free,max_dim,min_dim,mode_dim,g_gbr,k_gbr
ABW,1.754531964,74,18.95516447,160.7404164,160.3439371,159.9640195,180,160.7404164,149.4083046,0.910065431,11.51923089,132.6926804,1.609033122,1.609033122,1.609033122,1.609033122,1.609033122,1.609033122,1.679927806,2.08E-16,4.31E-32,0,0.0122198,0,0,0.02144,3.10046,3.61163,3.61163,1,1,[1],42.39839971,89.87694332
ACO,1.642731706,229,20.2452061,156.2958558,155.7332776,155.2075526,180,156.2958558,148.3944745,1.154700538,13.68559395,187.2954818,1.60579816,1.60579816,1.60579816,1.60579816,1.60579816,1.60579816,0.607114202,5.47E-16,2.99E-31,0,0.0249099,22.7411,0,0.04092,3.15967,3.91932,3.91754,3,3,[3],31.40766135,90.1803039
AEI,1.501576412,63,22.14835135,149.1212025,149.1108119,149.1004008,151.2661506,149.1212025,146.1005258,-0.25146401,1.758568862,3.092564443,1.61044032,1.610440245,1.610440169,1.611118424,1.61044032,1.609965707,0.549563558,0.000492102,2.42E-07,0,0.0910248,675.805,0,0.13668,3.44131,6.90319,6.90319,3,3,[3],25.20413847,50.30107392
AEL,1.914275861,74,17.37338,151.4844725,151.0591468,150.6504298,180,151.4844725,137.5239636,0.900939479,11.5787461,134.0673613,1.609938262,1.609938243,1.609938223,1.610182561,1.609938262,1.609504099,-0.685153479,0.000248734,6.19E-08,269.292,0.0253361,0,0,0.0485,4.07159,5.22554,5.22554,1,1,[1],28.79969424,65.15059422
AEN,2.00822234,64,16.56063738,150.7584667,150.1625472,149.5810475,180,150.7584667,128.2163952,0.563418113,13.5733805,184.2366582,1.610064917,1.610061212,1.610057502,1.612562127,1.610064917,1.605182649,-0.706547235,0.003452589,1.19E-05,0,0.00966033,10.0765,0,0.0194,3.18878,3.90726,3.90265,2,2,[2],29.56596364,52.71213681
AET,1.817159698,63,18.30188177,149.3747094,148.5305718,147.6935202,180,149.3747094,126.5651088,0.212547384,15.92842741,253.7147997,1.609581945,1.609581619,1.609581293,1.610868874,1.609581945,1.608087206,-0.129291147,0.001023878,1.05E-06,386.434,0.0627246,0,0,0.11398,7.17146,7.76765,7.76765,1,1,[1],22.06771264,40.45913708
AFG,1.689421757,176,19.68569531,157.0314934,156.7347811,156.4279715,167.0232619,157.0314934,139.0760375,-0.79543656,9.486101238,89.98611669,1.609308784,1.609308655,1.609308525,1.610401598,1.609308784,1.608830423,1.003864002,0.000646224,4.18E-07,0,0,338.787,0.0407124,0,2.14429,5.83766,5.83766,0,0,[0],29.53951717,64.38299403
AFN,1.735600671,12,19.16192042,147.5200761,147.2441251,146.9703236,162.6351383,147.5200761,135.5300013,0.195762806,9.050363183,81.90907374,1.61263947,1.612639019,1.612638569,1.614181554,1.61263947,1.610887318,-0.228997286,0.001205077,1.45E-06,0,0.0296498,248.503,0,0.05146,3.08413,4.75303,4.75303,1,1,[1],22.74554212,43.11638261
AFO,1.91635669,63,17.35451554,150.7856442,150.5034481,150.2426945,180,150.7856442,140.211196,2.042224726,9.59832821,92.12790443,1.609519317,1.609519082,1.609518847,1.611147076,1.609519317,1.608784682,1.062769364,0.000870676,7.58E-07,286.4,0.0281577,0,0,0.05396,4.33443,5.02827,5.02827,1,1,[1],27.76190681,57.59167783
AFR,1.513270771,59,21.97719178,145.1515899,145.1241691,145.0967712,149.7596099,145.1515899,141.4716728,0.071136748,2.822381747,7.965838725,1.609400984,1.609400963,1.609400943,1.609654165,1.609400984,1.608991692,-0.677877037,0.000257571,6.63E-08,719.602,0.106948,4.79848,0,0.16184,6.57251,7.81561,7.81561,2,2,[2],22.68240818,50.77248807
