# Radial distribution function in trajectory MnLM_750K_centered.xyz
# Using selection: pairs: name(#1) Mn and name(#2) N
# r   g(r)   N_ij(r)   N_ji(r)
0.020469 0 0 0
0.061407 0 0 0
0.102345 0 0 0
0.143283 0 0 0
0.184221 0 0 0
0.225159 0 0 0
0.266097 0 0 0
0.307035 0 0 0
0.347973 0 0 0
0.388911 0 0 0
0.429849 0 0 0
0.470787 0 0 0
0.511725 0 0 0
0.552663 0 0 0
0.593601 0 0 0
0.634539 0 0 0
0.675477 0 0 0
0.716415 0 0 0
0.757353 0 0 0
0.798291 0 0 0
0.839229 0 0 0
0.880167 0 0 0
0.921105 0 0 0
0.962043 0 0 0
1.00298 0 0 0
1.04392 0 0 0
1.08486 0 0 0
1.1258 0 0 0
1.16673 0 0 0
1.20767 0 0 0
1.24861 0 0 0
1.28955 0 0 0
1.33049 0 0 0
1.37142 0 0 0
1.41236 0 0 0
1.4533 0 0 0
1.49424 0 0 0
1.53518 0 0 0
1.57611 0 0 0
1.61705 0.00067132 1.56248e-05 1.56248e-06
1.65799 0.00555562 0.000151561 1.51561e-05
1.69893 0.0864822 0.00237341 0.000237341
1.73986 0.629934 0.0193466 0.00193466
1.7808 3.0021 0.104088 0.0104088
1.82174 8.82726 0.364845 0.0364845
1.86268 17.442 0.903501 0.0903501
1.90362 24.7371 1.7014 0.17014
1.94456 27.645 2.63185 0.263185
1.98549 25.5183 3.52727 0.352727
2.02643 19.9898 4.25792 0.425792
2.06737 14.3077 4.80223 0.480223
2.10831 9.90408 5.19408 0.519408
2.14925 6.65059 5.46752 0.546752
2.19018 4.49296 5.65936 0.565936
2.23112 2.94785 5.78997 0.578997
2.27206 1.84706 5.87484 0.587484
2.313 1.07943 5.92625 0.592625
2.35394 0.60506 5.95609 0.595609
2.39487 0.344322 5.97367 0.597367
2.43581 0.180861 5.98322 0.598322
2.47675 0.106681 5.98904 0.598904
2.51769 0.0640267 5.99265 0.599265
2.55863 0.04789 5.99545 0.599545
2.59956 0.0267815 5.99706 0.599706
2.6405 0.0187569 5.99822 0.599822
2.68144 0.00979006 5.99885 0.599885
2.72238 0.00831356 5.9994 0.59994
2.76331 0.00547133 5.99977 0.599977
2.80425 0.00225457 5.99993 0.599993
2.84519 0.000585487 5.99997 0.599997
2.88613 0.000442552 6 0.6
2.92707 0 6 0.6
2.96801 0 6 0.6
3.00894 0 6 0.6
3.04988 0 6 0.6
3.09082 0 6 0.6
3.13176 0 6 0.6
3.1727 0 6 0.6
3.21363 0 6 0.6
3.25457 0 6 0.6
3.29551 0 6 0.6
3.33645 0 6 0.6
3.37739 0 6 0.6
3.41832 0 6 0.6
3.45926 0 6 0.6
3.5002 0 6 0.6
3.54114 0 6 0.6
3.58208 0 6 0.6
3.62301 0 6 0.6
3.66395 0.000130761 6.00002 0.600002
3.70489 0.000358084 6.00006 0.600006
3.74583 0.000162639 6.00008 0.600008
3.78677 0.000122417 6.0001 0.60001
3.8277 0.000119812 6.00011 0.600011
3.86864 0.000328411 6.00015 0.600015
3.90958 0.00234286 6.00047 0.600047
3.95052 0.0120802 6.00215 0.600215
3.99146 0.0317768 6.00666 0.600666
4.03239 0.0764444 6.01772 0.601772
4.07333 0.15382 6.04044 0.604044
4.11427 0.279926 6.08261 0.608261
4.15521 0.496951 6.15899 0.615899
4.19615 0.780586 6.28132 0.628132
4.23708 1.28549 6.48674 0.648674
4.27802 2.1002 6.82887 0.682887
4.31896 3.03201 7.33228 0.733228
4.3599 3.89836 7.99187 0.799187
4.40083 4.37192 8.74554 0.874554
4.44177 4.37843 9.51444 0.951444
4.48271 3.84381 10.202 1.0202
4.52365 3.06308 10.7599 1.07599
4.56459 2.28249 11.1832 1.11832
4.60553 1.59561 11.4844 1.14844
4.64646 1.05502 11.6872 1.16872
4.6874 0.667416 11.8177 1.18177
4.72834 0.395486 11.8964 1.18964
4.76928 0.2341 11.9438 1.19438
4.81022 0.128859 11.9703 1.19703
4.85115 0.068042 11.9846 1.19846
4.89209 0.0337327 11.9918 1.19918
4.93303 0.0181854 11.9957 1.19957
4.97397 0.0103875 11.998 1.1998
5.01491 0.00661698 11.9995 1.19995
5.05584 0.00472474 12.0005 1.20005
5.09678 0.00504784 12.0017 1.20017
5.13772 0.00703593 12.0034 1.20034
5.17866 0.00891496 12.0055 1.20055
5.21959 0.00946509 12.0078 1.20078
5.26053 0.0129214 12.011 1.2011
5.30147 0.0154707 12.0148 1.20148
5.34241 0.0186295 12.0196 1.20196
5.38335 0.0236352 12.0257 1.20257
5.42429 0.0286672 12.0332 1.20332
5.46522 0.0352918 12.0426 1.20426
5.50616 0.0393836 12.0532 1.20532
5.5471 0.0466429 12.066 1.2066
5.58804 0.0542482 12.081 1.2081
5.62898 0.0645866 12.0993 1.20993
5.66991 0.0678235 12.1187 1.21187
5.71085 0.0778293 12.1413 1.21413
5.75179 0.0847269 12.1662 1.21662
5.79273 0.0929918 12.194 1.2194
5.83366 0.100171 12.2243 1.22243
5.8746 0.114543 12.2595 1.22595
5.91554 0.124902 12.2984 1.22984
5.95648 0.142967 12.3436 1.23436
5.99742 0.173749 12.3992 1.23992
6.03836 0.206642 12.4663 1.24663
6.07929 0.250768 12.5488 1.25488
6.12023 0.330397 12.6589 1.26589
6.16117 0.44181 12.8082 1.28082
6.20211 0.57982 13.0067 1.30067
6.24305 0.734546 13.2615 1.32615
6.28398 0.943967 13.5933 1.35933
6.32492 1.1235 13.9934 1.39934
6.36586 1.29857 14.4618 1.44618
6.4068 1.46066 14.9955 1.49955
6.44774 1.56432 15.5743 1.55743
6.48867 1.60921 16.1774 1.61774
6.52961 1.58502 16.7789 1.67789
6.57055 1.49297 17.3526 1.73526
6.61149 1.36966 17.8855 1.78855
6.65243 1.21314 18.3634 1.83634
6.69336 1.06793 18.7893 1.87893
6.7343 0.930521 19.1649 1.91649
6.77524 0.808836 19.4954 1.94954
6.81618 0.695874 19.7831 1.97831
6.85712 0.631146 20.0473 2.00473
6.89805 0.563171 20.2858 2.02858
6.93899 0.529709 20.5128 2.05128
6.97993 0.532107 20.7436 2.07436
7.02087 0.538698 20.9799 2.09799
7.06181 0.539989 21.2196 2.12196
7.10274 0.56109 21.4716 2.14716
7.14368 0.57362 21.7321 2.17321
7.18462 0.604578 22.0099 2.20099
7.22556 0.642539 22.3085 2.23085
7.2665 0.683438 22.6297 2.26297
7.30743 0.739139 22.981 2.2981
7.34837 0.799617 23.3654 2.33654
7.38931 0.851376 23.7791 2.37791
7.43025 0.899126 24.221 2.4221
7.47119 0.954985 24.6954 2.46954
7.51212 1.01158 25.2036 2.52036
7.55306 1.04671 25.7351 2.57351
7.594 1.09708 26.2982 2.62982
7.63494 1.09628 26.867 2.6867
7.67588 1.10239 27.4452 2.74452
7.71681 1.0996 28.028 2.8028
