CODE,Thermal_exp.(K-1),Gruneisen,Cp-Cv(J/mol*k),Density(g/cm3),Entropy(J/mol),Heat_Capacity(J/mol),Energy(kJ/mol),K0(GPa),K0prime,Volume(Ang3),Accessible_Volume(Ang3),Largest_Free_sphere(Ang),Largest_Included_Sphere(Ang),Accessible_Surface_Area(Ang2),Non_Accessible_Surface_Area(Ang2),ASA+NASA(Ang2),Non_Accessible_Volume(Ang3),AV+NAV(Ang3)
ABW,-2.725e-05,-1.64,18.0023,1.757,39.838204125625,41.967552674375,6.251695491922106,74.0,-22.05,56.865625,1.878834375,3.09919,3.61299,7.68646875,0.0,7.68646875,0.0,1.878834375
ACO,-1.885e-05,-1.828,13.8578,1.628,38.5842152584375,41.8884090275,13.39212819805087,110.3,3.38,60.735625,3.66721875,3.16112,3.90972,12.79684375,0.0,12.79684375,0.0,3.66721875
AEI,-1.8262e-05,-1.444,7.877,1.496,38.8363775375,41.47914743916667,16.26192208479327,81.85,-5.47,66.44500000000001,10.372083333333334,3.44131,6.90319,13.366750000000001,0.04853291666666667,13.415282916666667,0.003986704166666666,10.3760700375
AFG,-1.9068e-05,-1.836,21.2717,1.667,39.032171223125,42.19352397625,6.342474479098428,112.96,1.21,59.05708333333333,0.0,2.14429,5.83766,0.0,7.9854375,7.9854375,4.778895833333333,4.778895833333333
AFN,-1.4821e-05,-0.552,3.283,1.702,39.178847859375,41.7658383459375,18.830470504445486,44.18,-14.54,57.485625,3.68828125,3.09014,4.75794,8.6433125,0.000174320625,8.643486820625,0.0,3.68828125
AFR,-1.5371e-05,-0.957,5.9057,1.459,38.68972902375,41.805763590625,17.412294536470938,63.34,-2.2,65.9315625,12.01271875,6.57251,7.81561,11.84278125,0.0,11.84278125,0.0,12.01271875
AFV,-1.3879e-05,-0.998,5.208,1.533,37.905426434,41.775357121999996,15.906258749009055,76.79,-2.86,63.54533333333333,8.482066666666666,3.06438,6.4479,12.115566666666666,0.0014255566666666667,12.116992223333334,0.0,8.482066666666666
AFX,-1.636e-05,-1.243,12.3275,1.475,38.763179381875,42.08679887791667,16.150555430675894,78.66,-1.07,66.44104166666666,10.379416666666666,3.33392,7.11659,13.377604166666666,0.04876458333333333,13.42636875,0.003986458333333333,10.383403125
AFY,-6.4801e-06,-0.342,0.8865,1.345,36.8920413615625,41.692973038125,27.15585240357305,49.34,0.22,70.7925,14.29865625,5.50247,7.42157,16.3195,0.0,16.3195,0.0,14.29865625
ANA,-2.0197e-05,-1.656,10.0321,1.877,38.24411341166667,41.667620508333336,14.977302566790712,106.93,1.89,52.02458333333333,0.0,2.02718,3.65725,0.0,3.59445,3.59445,0.6721583333333333,0.6721583333333333
APC,-1.519e-05,-0.85,5.1961,1.713,38.1502424828125,41.9048093325,12.313255522901414,67.0,-11.56,56.5225,1.9579375,2.69589,3.82541,7.8144375,0.0,7.8144375,0.0,1.9579375
ASV,-1.1171e-05,-0.33,1.8544,1.891,37.95994716125,41.897041175750005,22.879877938837808,39.05,-4.15,52.362,3.13545,4.02698,4.94907,6.910525,0.0,6.910525,0.0,3.13545
ATS,-2.7636e-05,-2.207,18.3654,1.571,41.634951853333334,41.82402522708333,11.014006062626237,87.5,0.77,62.23666666666667,9.011875,6.36803,6.58495,8.811041666666666,0.014924374999999998,8.825966041666666,0.0,9.011875
ATV,-1.8813e-05,-1.916,10.8647,1.885,38.32457931583333,41.85265764166667,3.002981240717787,134.03,1.22,52.875,1.4382041666666667,3.04401,3.91325,4.496166666666666,0.025088750000000003,4.5212554166666665,0.0010575,1.4392616666666667
AVE,-1.5126e-05,-1.196,10.9696,1.602,38.60852707020833,42.117057591041664,12.504438853660332,88.94,0.01,60.47083333333333,6.53325,2.8576,6.12925,9.558270833333333,0.2570145833333333,9.815285416666667,0.04353895833333333,6.576788958333334
AVL,-1.3768e-05,-0.975,7.1033,1.517,38.41700184261905,42.009323974761905,16.444901165539676,75.25,-3.23,63.171904761904756,8.048095238095238,3.15024,6.57868,11.984,0.038391428571428576,12.022391428571428,0.003790309523809524,8.051885547619047
AWO,-1.5516e-05,-0.801,3.726,1.753,37.85012829791667,41.65862874458333,12.609799184113854,62.84,-13.59,54.85041666666667,2.2247291666666666,3.26529,4.50003,6.365125,0.05501208333333333,6.4201370833333335,0.0021940125,2.226923179166667
AWW,-1.9605e-05,-1.5,8.8142,1.622,38.81517054208333,41.619641485416665,12.21878445360548,86.14,1.15,59.072916666666664,5.909666666666666,3.76609,6.89355,8.444541666666668,0.16779750000000002,8.612339166666667,0.010633125,5.9202997916666655
BEC,-1.8061e-05,-1.26,9.1541,1.456,38.5305720653125,41.8972451159375,13.993167667844688,70.96,-0.72,66.13125,12.568875,5.90749,6.23638,11.7054375,0.0,11.7054375,0.0,12.568875
BOF,-1.8577e-05,-0.87,4.8502,1.752,38.432016187500004,41.677435440416666,10.058801028365451,57.03,-10.95,54.73041666666666,4.4167499999999995,4.18317,5.16497,7.659958333333333,0.0,7.659958333333333,0.0,4.4167499999999995
BOG,-1.6893e-05,-1.228,12.5894,1.518,38.9636714325,42.14941115041667,12.637070744898352,77.56,-0.66,62.28,10.7046875,6.47542,7.48432,10.227625,0.0,10.227625,0.0,10.7046875
