Widom_step		Protocol_work(k)		Protocol_work(kJ/mol)		Protocol_work_elec(k)		Protocol_work_elec(kJ/mol)		Protocol_work_vdw(k)		Protocol_work_vdw(kJ/mol)
0		-4935.886607		-41.039256		-8009.629610		-66.595784		3073.743003		25.556528
1		-6792.156998		-56.473151		-8493.657244		-70.620215		1701.500246		14.147064
2		-4989.667400		-41.486415		-7326.353102		-60.914706		2336.685702		19.428291
3		-5641.209309		-46.903637		-7819.480069		-65.014793		2178.270760		18.111156
4		-5416.077411		-45.031786		-7846.220636		-65.237126		2430.143225		20.205341
5		-6662.284185		-55.393328		-8820.236856		-73.335550		2157.952672		17.942222
6		-5577.358885		-46.372755		-7752.646221		-64.459105		2175.287335		18.086350
7		-6610.597212		-54.963579		-8161.420996		-67.857849		1550.823784		12.894270
8		-5753.733022		-47.839211		-7984.903129		-66.390197		2231.170107		18.550986
9		-5203.283483		-43.262518		-8059.901062		-67.013765		2856.617579		23.751247
10		-4901.746683		-40.755401		-7616.514483		-63.327242		2714.767800		22.571842
11		-5246.583453		-43.622534		-8018.130224		-66.666462		2771.546771		23.043928
12		-5790.994533		-48.149021		-8342.387932		-69.362492		2551.393399		21.213471
13		-5055.003561		-42.029650		-7700.257685		-64.023522		2645.254124		21.993873
14		-5846.809626		-48.613094		-8448.890183		-70.248001		2602.080556		21.634908
15		-5548.903279		-46.136162		-8265.005130		-68.719095		2716.101851		22.582934
16		-6621.595139		-55.055020		-8689.503976		-72.248576		2067.908837		17.193555
17		-6663.200566		-55.400947		-8273.010381		-68.785655		1609.809815		13.384707
18		-5967.384782		-49.615611		-8255.803411		-68.642588		2288.418629		19.026976
19		-6416.620322		-53.350765		-8726.683377		-72.557703		2310.063055		19.206938
20		-5650.580418		-46.981553		-8243.481561		-68.540138		2592.901143		21.558586
21		-5968.035818		-49.621024		-8138.090274		-67.663866		2170.054455		18.042842
22		-6100.727536		-50.724285		-8219.577545		-68.341389		2118.850009		17.617104
23		-5382.539659		-44.752937		-7887.271849		-65.578445		2504.732190		20.825508
24		-5885.902534		-48.938130		-8561.032019		-71.180400		2675.129486		22.242270
25		-5953.668712		-49.501570		-8477.565609		-70.486422		2523.896896		20.984852
26		-4543.819923		-37.779431		-7583.369671		-63.051661		3039.549748		25.272230
27		-6163.842726		-51.249054		-8461.864967		-70.355879		2298.022241		19.106825
28		-5092.178706		-42.338741		-7752.987343		-64.461941		2660.808636		22.123200
29		-4949.671170		-41.153867		-7611.307714		-63.283951		2661.636544		22.130084
30		-6712.969831		-55.814752		-8377.966507		-69.658309		1664.996676		13.843556
31		-5470.502007		-45.484297		-7788.400333		-64.756381		2317.898326		19.272084
32		-5377.983189		-44.715053		-7822.293318		-65.038183		2444.310128		20.323131
33		-5008.732165		-41.644928		-8049.124658		-66.924165		3040.392493		25.279237
34		-6621.253890		-55.052183		-8451.524836		-70.269907		1830.270946		15.217724
35		-5636.389218		-46.863560		-8430.960915		-70.098929		2794.571697		23.235368
36		-5595.160407		-46.520765		-7496.180868		-62.326733		1901.020461		15.805968
37		-6189.144231		-51.459423		-8517.415824		-70.817755		2328.271592		19.358332
38		-5631.606252		-46.823793		-8051.083414		-66.940451		2419.477162		20.116658
39		-6277.215609		-52.191689		-8212.300301		-68.280883		1935.084692		16.089194
40		-6278.925512		-52.205906		-8291.055740		-68.935692		2012.130227		16.729786
41		-6673.062272		-55.482942		-8408.188426		-69.909588		1735.126153		14.426646
42		-4846.928806		-40.299620		-7450.474711		-61.946711		2603.545906		21.647091
43		-7001.590156		-58.214476		-8770.941553		-72.925686		1769.351396		14.711210
44		-6068.819750		-50.458989		-8424.860987		-70.048211		2356.041237		19.589222
45		-6584.944711		-54.750292		-8611.206365		-71.597573		2026.261654		16.847281
46		-7252.242032		-60.298512		-8734.460671		-72.622367		1482.218640		12.323855
47		-6304.540824		-52.418884		-8275.914237		-68.809799		1971.373413		16.390915
48		-6187.229429		-51.443502		-8597.924498		-71.487142		2410.695069		20.043640
49		-6212.077033		-51.650097		-8011.410922		-66.610595		1799.333889		14.960499
50		-5668.000519		-47.126391		-8055.917903		-66.980647		2387.917384		19.854255
51		-7157.167127		-59.508015		-8761.652480		-72.848452		1604.485353		13.340437
52		-5346.661776		-44.454632		-7961.260617		-66.193622		2614.598841		21.738990
53		-5988.260459		-49.789182		-8371.919349		-69.608030		2383.658890		19.818848
54		-5501.490944		-45.741953		-8041.257561		-66.858754		2539.766616		21.116800
55		-5276.964375		-43.875135		-7707.696013		-64.085368		2430.731638		20.210233
56		-6467.765134		-53.776006		-8331.227787		-69.269701		1863.462652		15.493695
57		-6437.388789		-53.523443		-8456.936128		-70.314899		2019.547339		16.791456
58		-5707.307898		-47.453211		-8493.520401		-70.619077		2786.212503		23.165866
59		-6468.462040		-53.781801		-8433.592952		-70.120813		1965.130913		16.339012
60		-5908.956612		-49.129812		-8419.573494		-70.004248		2510.616882		20.874436
61		-4901.512794		-40.753456		-8088.726627		-67.253434		3187.213833		26.499978
62		-6162.110200		-51.234649		-8498.284204		-70.658686		2336.174003		19.424037
63		-6017.461473		-50.031972		-8351.679796		-69.439749		2334.218323		19.407776
64		-5264.526304		-43.771719		-7610.880185		-63.280396		2346.353880		19.508677
65		-5809.344344		-48.301590		-8232.907744		-68.452223		2423.563400		20.150633
66		-6234.906067		-51.839908		-8202.740564		-68.201399		1967.834497		16.361491
67		-5900.207525		-49.057068		-8080.298019		-67.183354		2180.090494		18.126286
