Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.4475,4.91139e-05,0.0856215
ABAYIO_clean_225,-33.4173,0.000855232,0.0788428
ABAYOU_clean_225,-33.1118,0.000808344,0.0804945
ABEMIF_clean_221,-26.9827,0.000221371,0.100419
ABESUX_clean_36,-21.5835,2.02798e-05,0.130461
ABETAE_clean_36,-21.341,1.97032e-05,0.130625
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-28.0966,0.000560794,0.167093
ABULOB_clean_60,-33.0637,0.00172253,0.177621
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-22.0982,9.17074e-05,0.197624
ABEXEN_clean_192,-26.953,0.000285826,0.208884
acscombsci.5b00188_5036495_clean_1,-13.3925,1.70069e-05,0.219123
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.8485,0.000175592,0.237568
ACUBAB_clean_15,-24.7963,5.2181e-05,0.251243
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-52.6509,0.632586,0.259382
acscombsci.5b00188_5024922_clean_1,-14.4557,1.93191e-05,0.281514
ADAXEK_clean_12,-30.9617,0.000735372,0.28016
ADAVIM_clean_199,-27.7217,0.000178509,0.292913
ADATUW_clean_199,-28.0449,0.000163945,0.312424
ADATOQ_clean_199,-28.0872,0.000191911,0.307098
ADAVAE_clean_199,-29.5643,0.00026281,0.322228
ADAVEI_clean_199,-28.4796,0.000199864,0.326397
acscombsci.5b00188_8372_clean_1,-18.4343,2.11077e-05,0.341346
ABIXOZ_clean_2,-16.6369,3.5474e-06,0.356387
ABEFUL_clean_124,-42.0499,0.00881754,0.362006
ADIQEL_clean_14,-40.0435,0.0121931,0.356099
ABUWOJ_clean_61,-27.6511,0.000296879,0.370652
ADEGIA01_clean_2,-34.1546,0.00107199,0.383336
ADOGEH_clean_225,-40.0923,0.0102838,0.116029
ADEGIA_clean_2,-33.8293,0.00109622,0.385831
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.6844,0.000338593,0.430924
AFEKAX_clean_123,-33.9337,0.00205411,0.132686
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.936,0.000235423,0.463388
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.8459,0.009626,0.449454
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-37.5676,0.00168173,0.485437
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.6082,3.51432e-05,0.469928
acscombsci.5b00188_5020072_clean_1,-15.482,1.83694e-05,0.475964
ADUWIH_clean_201,-21.7246,7.98165e-05,0.218783
ADABAK01_clean_2,-28.4886,1.41159e-05,0.504062
ABEXEM_clean_33,-26.8843,7.26921e-05,0.51668
ADABAK_15,-29.5408,1.50374e-05,0.519027
ABEXIQ_clean_33,-27.2838,7.26035e-05,0.528401
ABEXOW_clean_33,-27.5298,7.45387e-05,0.536817
ADAXIO_clean_15,-31.0905,0.000840232,0.526425
ABEXUC_clean_33,-27.8166,7.64575e-05,0.534114
ADOBIF_clean_118,-28.3071,0.000134961,0.537905
ABEYAJ_clean_33,-28.2338,7.92477e-05,0.553334
ABEYEN_clean_33,-28.3454,7.68542e-05,0.555792
ABEYIR_33,-28.4989,7.6835e-05,0.548123
acscombsci.5b00188_24205_clean_1,-31.2724,0.0020142,0.569937
ABEYIR_clean_33,-28.5001,7.68281e-05,0.571901
ACODUT_clean_164,-48.062,0.107116,0.58355
ADOBEB_charged_118,-30.0163,0.000163121,0.591684
ADOBAX_118,-29.9748,0.000160952,0.602497
ACAJIZ_clean_15,-28.2394,0.000171418,0.608909
AFOYIE_clean_62,-21.1626,5.34052e-05,0.149411
ADOBAX_charged_118,-29.9737,0.000160938,0.596946
ACAJOF_clean_56,-27.9692,0.000122683,0.607743
ADOBOL_charged_118,-30.7277,0.00017992,0.622364
ACUTOI_clean_60,-32.6613,0.000819279,0.611267
ABAVOP_clean_14,-7.10264,1.72784e-09,0.628569
ADOBOL_clean_118,-30.7293,0.000179945,0.614522
ACODON_clean_13,-29.2066,0.000420807,0.622586
ADOCEC_clean_118,-28.298,0.000153105,0.488752
ACAKUM_14,-29.706,8.95692e-05,0.693788
AFIPAH_clean_2,-27.7331,8.01544e-05,0.367162
ACAKUM_clean_14,-29.7006,8.95347e-05,0.696845
ACODED_60,-32.2938,0.00139534,0.727662
acs.cgd.5b01554_VAGNUP1452791_clean_62,-24.0268,6.67855e-05,0.723779
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-31.39,0.000937793,0.719943
acscombsci.5b00188_5040209_clean_1,-31.2466,0.00100535,0.725834
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.8433,0.000142629,0.727122
ACALIB_clean_14,-25.8885,4.60182e-06,0.735938
AGUBUA_clean_60,-31.0251,0.000828907,0.136475
AFUPEX_clean_14,-24.7672,0.000170566,0.20732
AGABIU_clean_11,-14.7658,7.1063e-06,0.205028
AHOKIR_clean_12,-28.3779,8.2104e-05,0.0654693
acscombsci.5b00188_34903_clean_1,-34.0904,0.00495069,0.749593
AHOKOX_clean_59,-26.1963,7.40793e-05,0.0732308
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-25.7118,3.85222e-05,0.76768
ADOCIG_charged_118,-31.0018,0.000190047,0.614787
ADOCAY_charged_118,-30.8847,0.00018819,0.620322
ADOBUR_charged_118,-30.8197,0.000182829,0.620986
AGARUW_clean_62,-23.3221,3.94816e-05,0.241772
AGESIP_clean_14,-11.968,1.1774e-08,0.211625
