Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
tobmof-7356_1,-12.0972,2.93775e-05,2211.56,0.994474
tobmof-10498_1,-9.3783,3.65066e-05,1075.81,1.02593
tobmof-617_1,-10.4649,2.05528e-05,2507.26,1.02939
tobmof-762_1,-10.4996,2.69241e-05,2081.78,1.06761
tobmof-10913_1,-11.2107,3.04053e-05,1539.08,1.08224
tobmof-271_1,-20.0444,2.82208e-05,3343.91,1.08546
tobmof-11563_1,-8.81633,1.24811e-05,2043.28,1.10233
tobmof-5073_1,-10.5342,1.41875e-05,2316.58,1.16704
tobmof-5568_1,-13.7074,2.00633e-05,4461.58,1.23336
tobmof-5221_1,-14.3587,2.37352e-05,4829.2,1.2492
tobmof-380_1,-12.0185,1.35821e-05,3154.83,1.28182
tobmof-4977_1,-10.8636,1.18704e-05,3234.65,1.28986
tobmof-6082_1,-12.8938,2.82109e-05,2593.17,1.30357
tobmof-5404_1,-13.2982,2.12798e-05,3439.76,1.30772
tobmof-4709_1,-11.8785,2.85476e-05,2079.51,1.34691
tobmof-6291_1,-12.3029,4.94236e-05,1400.24,1.36199
tobmof-6310_1,-14.2577,3.06714e-05,3125.48,1.38373
tobmof-783_1,-9.49792,3.79712e-05,1129.2,0.330849
tobmof-9849_1,-13.5701,2.58448e-05,3117.35,1.44747
tobmof-2077_1,-13.0006,2.14577e-05,3584.93,1.53343
tobmof-6189_1,-11.7657,3.03944e-05,1901.24,0.396341
tobmof-3249_1,-29.1147,0.000470287,2271.45,1.58861
tobmof-9779_1,-18.5198,3.33699e-05,3546.11,1.61286
tobmof-10718_1,-9.06417,9.81074e-06,2470.98,0.219999
tobmof-11287_1,-10.4481,2.30448e-05,1651.54,1.6634
tobmof-11286_1,-10.8676,2.52508e-05,1642.73,1.67685
tobmof-7962_1,-19.3172,2.82851e-05,3355.71,0.751668
tobmof-7517_1,-10.0333,2.54821e-05,1785.33,0.24656
tobmof-9850_1,-11.8562,4.12991e-05,1521.59,1.71208
tobmof-1044_1,-17.1646,4.81119e-05,3165.05,1.71806
tobmof-12615_1,-19.3214,6.50374e-05,2416.9,1.75828
tobmof-6428_1,-8.83084,9.42282e-06,2286.05,0.256408
tobmof-7677_1,-15.8024,2.69271e-05,3792.92,1.76835
tobmof-13210_1,-23.9522,0.000239563,1248.48,1.7866
tobmof-9771_1,-15.7643,3.6928e-05,3254.9,1.8388
tobmof-6894_1,-13.4988,1.79432e-05,4254.01,0.757341
tobmof-4648_1,-14.5984,2.63976e-05,3572.59,1.87578
tobmof-12632_1,-23.8234,0.000151944,1785.3,1.889
tobmof-10560_1,-7.93593,3.44039e-05,842.507,0.228373
tobmof-8261_1,-10.4863,1.89354e-05,2032.06,1.99771
tobmof-11407_1,-10.9229,1.44547e-05,3109.58,0.714041
tobmof-7812_1,-12.2228,2.84151e-05,2108.76,0.92774
tobmof-12619_1,-13.8135,3.11526e-05,2417.54,0.971023
tobmof-7922_1,-19.7662,4.25779e-05,3679.28,0.779801
tobmof-6196_1,-11.8467,3.84431e-05,1662.39,0.538166
tobmof-5144_1,-10.1162,2.80507e-05,1593.65,0.551413
tobmof-9759_1,-11.3169,4.06973e-05,1357,0.983055
tobmof-8825_1,-16.6811,2.32652e-05,3606.39,0.73968
tobmof-12686_1,-20.0426,2.30932e-05,2662.41,1.00573
tobmof-896_1,-15.6257,2.76557e-05,1674.7,0.809323
tobmof-6766_1,-10.6533,4.41643e-05,995.025,1.01273
tobmof-1230_1,-15.8133,4.09621e-05,2602.61,2.43169
tobmof-11137_1,-11.1707,2.56425e-05,2117.7,1.12518
tobmof-4653_1,-13.76,1.61213e-05,3385.5,0.790949
tobmof-691_1,-10.5476,3.83667e-05,1294.25,0.330692
tobmof-2808_1,-10.8239,8.80022e-06,2518.08,1.21198
tobmof-9285_1,-14.4283,2.25362e-05,2176.58,0.563159
tobmof-9306_1,-24.5157,0.000165927,3086.59,0.931252
tobmof-8464_1,-11.3512,3.48608e-05,1393.16,2.87022
tobmof-378_1,-16.995,2.71439e-05,4184.93,0.420154
tobmof-7774_1,-13.1318,1.51087e-05,4548.76,1.20421
tobmof-6409_1,-13.2134,1.76455e-05,3630.66,0.620623
tobmof-2600_1,-16.7898,4.29537e-05,3760.41,3.14996
tobmof-11808_1,-14.1879,4.94947e-05,1891.39,0.864578
tobmof-4637_1,-18.6672,5.83942e-05,4217.99,1.88664
tobmof-11519_1,-10.5964,2.17684e-05,1767,1.09398
tobmof-6848_1,-13.5667,2.69024e-05,3007.71,1.27143
tobmof-13391_1,-15.1405,5.57625e-05,2262.42,1.5618
tobmof-3182_1,-19.1914,5.93324e-05,3895.56,1.28993
tobmof-2716_1,-25.2335,0.000133596,1646.17,1.65877
tobmof-9001_1,-14.3728,1.83931e-05,2827.41,0.814003
tobmof-11672_1,-15.9075,5.44285e-05,2113.54,0.645285
tobmof-9855_1,-10.1365,3.1169e-05,1169.73,0.711831
tobmof-12572_1,-16.482,3.90877e-05,2554.78,1.08143
tobmof-3644_1,-34.2191,0.00491814,606.13,3.53504
tobmof-11534_1,-11.4485,3.65454e-05,1364.2,1.50647
tobmof-10763_1,-8.1659,5.34655e-05,579.929,0.305218
tobmof-12411_1,-14.5584,2.20209e-05,2371.56,1.05358
tobmof-5004_1,-30.2965,0.00134001,1809.23,1.73646
tobmof-5494_1,-10.1271,1.12609e-05,3265.23,0.285401
tobmof-6327_1,-11.7053,2.67247e-05,2209.24,0.520811
tobmof-13058_1,-23.7861,0.000194461,1764.14,1.43918
tobmof-11659_1,-9.39201,1.59295e-05,1905.07,0.228136
tobmof-9429_1,-10.6415,1.07522e-05,1679.91,1.84134
