Structures,H_Xe_0_widom,dH_Xe_0_widom,K_Xe_widom,dK_Xe_widom,time
tobmof-10009_1,-8.872446439385142,0.010679637268628365,1.0963199999999999e-05,1.46203e-08,540.44
tobmof-10013_1,-13.51315512279473,0.0161889961513459,1.6571600000000002e-05,4.8700700000000004e-08,480.44
tobmof-10015_1,-11.384153644347448,0.035621257139914195,1.6747e-05,8.654659999999999e-08,1634.58
tobmof-10055_1,-10.552477090453033,0.015810005023386302,1.5233e-05,4.73613e-08,791.49
tobmof-10061_1,-12.17064958794809,0.03982476298313478,1.3315699999999999e-05,8.354670000000001e-08,528.78
tobmof-10064_1,-12.02631950918366,0.024231269656810942,2.1031100000000003e-05,9.88626e-08,2275.48
tobmof-10086_1,-7.0962636636865115,0.021416591114266897,1.2254500000000001e-05,3.13943e-08,1163.17
tobmof-10095_1,-13.706126813000305,0.04047555707852098,1.9382000000000002e-05,1.37251e-07,1269.96
tobmof-10117_1,-6.369399632494607,0.017551586438546832,8.20771e-06,1.28145e-08,11869.94
tobmof-10145_1,-14.712587125693092,0.10266566081718033,1.1671400000000001e-05,1.35184e-07,18872.21
tobmof-10172_1,-16.18742268128761,0.19844003350330536,1.42667e-05,2.48553e-07,14506.4
tobmof-10207_1,-18.62446804226499,0.222268196030612,2.53334e-05,4.88904e-07,15751.31
tobmof-10208_1,-28.60759166093497,0.5127646805401922,0.00013491,1.0019500000000001e-05,21371.43
tobmof-10211_1,-14.680278377071518,0.14294957837395242,1.62686e-05,2.34813e-07,16172.38
tobmof-10221_1,-9.047060553019477,0.07477515244384425,1.02163e-05,5.6719800000000003e-08,12029.31
tobmof-10232_1,-12.953824006695758,0.5759506264385686,1.80354e-05,7.25731e-07,23368.63
tobmof-10236_1,-24.120781074267768,0.12178579936924468,4.45635e-05,1.14803e-06,8449.06
tobmof-10239_1,-26.7350845156039,0.0481799048296798,7.30797e-05,2.74974e-06,12391.97
tobmof-10240_1,-28.824167295868264,0.13186285788339325,9.60634e-05,2.23304e-06,13325.23
tobmof-10246_1,-18.80247218956962,0.0902364476611816,2.00553e-05,3.9389499999999997e-07,7745.49
tobmof-10260_1,-10.579668830432169,0.13488973051152692,8.97893e-06,1.06637e-07,11136.51
tobmof-10280_1,-12.93907243424031,0.5254080490229979,1.8638599999999998e-05,7.437789999999999e-07,25264.14
tobmof-10300_1,-12.33166770897948,0.1056551259371763,1.44128e-05,1.7085e-07,14140.35
tobmof-10314_1,-16.916129743592705,0.16180925481825414,2.60323e-05,6.481789999999999e-07,28239.26
tobmof-10321_1,-13.8464714719205,0.3256992178733356,1.63719e-05,4.15038e-07,16121.2
tobmof-10329_1,-7.609941573830972,0.10907069123440577,1.10049e-05,1.02601e-07,19669.14
tobmof-10333_1,-29.08355344053814,0.09310982122634737,0.000175487,5.87028e-06,10712.72
tobmof-10336_1,-22.24383643946366,0.1474222575462269,4.86775e-05,9.91181e-07,17794.95
tobmof-10359_1,-14.262249461469601,0.3336207121806645,1.88677e-05,4.47961e-07,20398.35
tobmof-10377_1,-7.2726929667833184,0.11714472665472353,1.09452e-05,7.25899e-08,20930.17
tobmof-10398_1,-5.014505949123137,0.017629437672911315,1.1326199999999998e-05,1.0632600000000002e-08,386.03
tobmof-10413_1,-4.370392205399741,0.007871188038711766,1.40619e-05,1.37744e-08,429.31
