Structures,D_i,D_f,D_if
tobmof-10009_1,31.03746,16.07986,31.03746
tobmof-10013_1,21.12997,10.28894,21.12997
tobmof-10015_1,36.09623,19.96870,36.09623
tobmof-10055_1,31.80300,17.93761,31.04285
tobmof-10061_1,23.71896,13.74618,23.71896
tobmof-10064_1,41.84838,22.98793,41.84838
tobmof-10086_1,50.21672,29.19661,50.19788
tobmof-10095_1,30.14762,16.26464,30.14762
tobmof-10117_1,58.52747,52.57090,58.46551
tobmof-10136_1,76.39783,69.17217,76.35891
tobmof-10145_1,41.74820,35.39326,41.47358
tobmof-10172_1,46.40085,40.30255,46.40085
tobmof-10207_1,43.05535,36.38600,41.90593
tobmof-10208_1,47.83108,42.18018,47.83108
tobmof-10211_1,46.92271,41.94556,46.75297
tobmof-10221_1,48.85620,43.72732,48.85620
tobmof-10232_1,68.82897,62.01352,68.57924
tobmof-10236_1,28.41128,23.09421,28.12756
tobmof-10239_1,30.98945,26.78888,30.93065
tobmof-10240_1,28.53817,23.84788,28.17985
tobmof-10246_1,32.55457,28.39938,32.55457
tobmof-10260_1,45.95695,41.77293,45.82128
tobmof-10280_1,68.26943,61.99174,68.26943
tobmof-10300_1,45.71661,40.32632,45.39884
tobmof-10314_1,54.86278,46.97881,54.86278
tobmof-10321_1,54.48501,49.45531,53.20303
tobmof-10329_1,64.37784,58.26026,64.22900
tobmof-10333_1,34.49578,28.27361,34.32708
tobmof-10336_1,33.66961,28.15513,32.88051
tobmof-10359_1,56.59593,47.26499,55.62446
tobmof-10377_1,64.56401,59.04111,64.24941
tobmof-10398_1,41.74526,39.90757,41.74526
tobmof-10413_1,48.48902,46.22777,48.11217
tobmof-1044_1,30.71461,29.34078,30.58917
tobmof-10462_1,35.82229,32.63399,35.76440
tobmof-10463_1,39.55953,35.92946,39.24764
tobmof-10470_1,40.46016,38.56078,40.46016
tobmof-10483_1,26.28866,23.19524,24.89610
tobmof-10487_1,27.37174,25.60021,27.20108
tobmof-10489_1,29.04988,27.70909,29.04988
tobmof-10498_1,37.45971,35.79781,37.23534
tobmof-10503_1,39.21855,35.96959,39.21855
tobmof-10517_1,44.37454,42.45858,44.32185
tobmof-10533_1,25.87674,24.90696,25.87674
tobmof-10560_1,39.87084,38.31756,39.87084
tobmof-10586_1,35.06371,33.02456,35.06371
tobmof-1059_1,17.92781,17.15340,17.92781
tobmof-10595_1,40.82161,38.79318,40.80603
tobmof-1060_1,38.88014,38.10780,38.88014
tobmof-10641_1,41.92836,40.13198,41.78046
tobmof-1064_1,42.16118,41.02813,42.16118
tobmof-10642_1,42.40816,40.44550,42.40816
tobmof-10656_1,44.90197,42.98508,44.80432
tobmof-10668_1,27.09622,23.61948,27.09622
tobmof-10691_1,33.63566,31.34234,33.27686
tobmof-10692_1,33.48812,31.04230,33.44275
tobmof-10694_1,33.58342,30.49595,33.24121
tobmof-10703_1,38.89588,36.70282,38.83575
tobmof-10711_1,44.73699,41.75696,44.29052
tobmof-10718_1,20.01668,17.75998,19.99931
tobmof-10729_1,29.07286,27.71510,29.04142
tobmof-10740_1,36.73558,34.02286,36.73558
tobmof-10743_1,39.01083,35.67641,39.01083
tobmof-10745_1,39.19863,35.66087,39.19863
tobmof-10748_1,38.89256,36.79494,38.60750
tobmof-10750_1,39.74240,37.77564,39.74240
tobmof-10756_1,44.09140,39.75143,44.08529
tobmof-10757_1,44.27224,42.43965,44.25931
tobmof-10763_1,50.95961,48.40633,50.95961
tobmof-1079_1,46.94776,45.67276,46.94776
tobmof-10799_1,42.60092,40.24652,42.60092
tobmof-10819_1,29.56942,26.87872,29.56942
tobmof-10824_1,31.88791,28.81871,31.17076
tobmof-10827_1,35.52775,32.64320,35.46486
tobmof-10830_1,36.46164,35.09987,36.46164
tobmof-10864_1,29.05520,25.11473,27.82557
tobmof-10873_1,34.15605,32.60179,34.12318
tobmof-10909_1,26.14299,22.76288,25.24288
tobmof-10913_1,29.58768,27.57734,29.58768
tobmof-10956_1,31.76921,28.93217,31.76921
tobmof-10965_1,17.23676,15.71411,17.22944
tobmof-10975_1,22.41657,20.52836,22.41657
tobmof-10976_1,22.96823,21.72628,22.96823
tobmof-10987_1,20.71424,18.43327,20.69693
tobmof-10994_1,30.63833,28.50011,30.63833
tobmof-11002_1,39.40750,37.92811,39.39718
tobmof-11010_1,28.14659,26.09558,28.12812
tobmof-11013_1,29.89094,27.47475,29.89094
tobmof-11022_1,36.48550,34.07437,36.47535
tobmof-11053_1,28.34163,25.67169,28.34163
tobmof-11064_1,10.46653,5.21580,10.46653
tobmof-11070_1,20.30462,12.49592,19.31431
tobmof-11108_1,15.68452,10.46938,14.91881
