Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
aCarbon-Bhatia-id001,-39.7904,0.00730175,2752.39,6.10703
aCarbon-Bhatia-id002,-43.4549,0.00708694,3072.56,13.5001
aCarbon-Marks-id001,-45.7175,0.0588437,1131.07,23.7547
aCarbon-Bhatia-id003,-38.9623,0.00421889,2123.8,8.54006
aCarbon-Marks-id002,-43.0344,0.0037131,27.6223,16.9133
aCarbon-Marks-id010,-33.0381,0.00227173,4167.33,144.904
aCarbon-Marks-id004,-60.1369,0.150039,4129.03,156.324
aCarbon-Marks-id003,-46.7479,0.0225619,3861.19,143.519
aCarbon-Marks-id013,-36.0795,0.00416253,4399.81,186.65
aCarbon-Marks-id007,-51.0114,0.09969,3919.04,192.231
aCarbon-Marks-id016,-39.1293,0.00705993,2768.46,211.943
aCarbon-Marks-id046,-48.8015,0.0111109,67.8195,233.85
aCarbon-Marks-id022,-45.2464,0.0142755,747.11,246.313
aCarbon-Marks-id034,-56.4789,0.386242,1793.26,250.713
aCarbon-Marks-id058,-51.6851,0.0322914,405.123,235.466
aCarbon-Marks-id043,-59.65,0.0138712,1.88425,292.419
aCarbon-Marks-id031,-59.8292,0.269778,30.1271,297.074
aCarbon-Marks-id055,-31.1158,4.76145e-09,0,298.099
aCarbon-Marks-id011,-35.1161,0.00332049,4477.04,159.074
aCarbon-Marks-id005,-52.626,0.0764293,4177.17,167.3
aCarbon-Marks-id052,-nan,0,0,333.206
aCarbon-Marks-id028,-nan,0,0,334.615
aCarbon-Marks-id040,-nan,0,0,343.015
aCarbon-Marks-id019,-50.6117,0.0860043,4166.21,375.078
aCarbon-Marks-id014,-36.704,0.00423105,4004.91,195.43
aCarbon-Marks-id025,-nan,0,0,383.059
aCarbon-Marks-id049,-nan,0,0,383.291
aCarbon-Marks-id037,-nan,0,0,387.253
aCarbon-Marks-id008,-53.0208,0.150143,3649.4,202.252
aCarbon-Marks-id012,-35.7722,0.00446678,4318.74,171.264
aCarbon-Marks-id006,-53.005,0.139258,4254.69,186.479
Cement-Pellenq-id001,-nan,0,0,1.75654
HCP-Colina-id001,-14.2986,1.70903e-05,2292.05,1.31333
HCP-Colina-id002,-9.11784,1.21252e-05,2220.38,0.439814
HCP-Colina-id003,-11.3406,1.24078e-05,2254.32,0.715982
HCP-Colina-id004,-5.65279,1.74713e-05,1016.17,0.0715929
HCP-Colina-id005,-12.6022,1.67738e-05,2190.99,0.694763
HCP-Colina-id006,-6.84154,1.37927e-05,1590.31,0.160166
HCP-Colina-id007,-13.279,1.47151e-05,2304.65,1.20988
HCP-Colina-id008,-14.4579,1.90105e-05,2243.42,1.00645
HCP-Colina-id009,-5.63188,2.5971e-05,739.408,0.0826557
HCP-Colina-id010,-9.77353,1.36675e-05,2044.28,0.465135
HCP-Colina-id011,-5.92566,2.85582e-05,661.411,0.0601551
HCP-Colina-id012,-6.5015,2.84679e-05,703.944,0.0596939
HCP-Colina-id013,-5.01686,5.01394e-05,339.835,0.010921
aCarbon-Marks-id047,-56.4051,0.0104108,0.061092,284.724
HCP-Colina-id014,-10.9574,1.38676e-05,2135.9,0.724145
HCP-Colina-id015,-12.4459,1.4232e-05,2262.98,1.14477
HCP-Colina-id016,-30.6128,8.84757e-05,2122.75,3.88455
HCP-Colina-id017,-11.5173,1.47656e-05,2068.47,0.675484
HCP-Colina-id018,-12.1615,1.47918e-05,2288.88,1.10193
HCP-Colina-id019,-7.97769,1.37962e-05,1578.89,0.310124
HCP-Colina-id023,-4.65763,0.000105046,157.986,0.0201167
HCP-Colina-id024,-4.39505,0.000237715,72.1021,0.00665482
HCP-Colina-id025,-4.59298,0.00021645,78.2255,0.0105246
HCP-Colina-id026,-2.67573,0.0011203,11.1556,0.00391324
HCP-Colina-id027,-4.75931,6.89706e-05,250.682,0.0151965
HCP-Colina-id028,-4.74787,0.00019627,84.6175,0.00615015
HCP-Colina-id029,-4.37294,0.000223354,75.3191,0.00460351
HCP-Colina-id030,-4.65469,0.000182591,91.1645,0.00627373
HCP-Colina-id031,-2.67573,0.00114628,10.9028,0.00166426
HCP-Colina-id033,-4.60296,0.000211363,80.6751,0.00996973
HCP-Colina-id034,-2.67573,0.00109198,11.445,0.00212667
HCP-Colina-id035,-2.67573,0.00107385,11.6382,0.00202001
HCP-Colina-id037,-4.66412,6.26421e-05,269.324,0.0168432
HCP-Colina-id038,-4.36513,0.000221681,75.5048,0.011847
HCP-Colina-id039,-4.76026,0.000195116,85.9955,0.0062341
HCP-Colina-id043,-2.67573,0.00104356,11.976,0.00166816
aCarbon-Marks-id023,-54.9226,0.00968742,0.399717,282.399
aCarbon-Marks-id035,-63.5534,0.698371,154.339,285.453
aCarbon-Marks-id059,-58.5303,0.043875,1.47668,279.668
aCarbon-Marks-id061,-nan,0,0,385.729
aCarbon-Marks-id017,-54.8688,0.105703,3303.21,361.735
aCarbon-Marks-id015,-39.9354,0.0071049,3459.94,202.523
Kerogen-Coasne-id010,-44.3834,0.00801591,757.192,61.1746
aCarbon-Marks-id009,-50.3484,0.125821,3144.6,211.784
aCarbon-Marks-id050,-46.4377,0.000728102,1.24563,225.173
Kerogen-Coasne-id013,-39.3071,0.00118431,1505.45,25.0844
aCarbon-Marks-id026,-52.2268,0.00190583,249.77,237.319
aCarbon-Marks-id044,24.2112,1.25258e-19,0,347.998
Kerogen-Coasne-id014,-37.4805,0.0014593,591.055,33.9494
aCarbon-Marks-id032,-nan,0,0,349.446
aCarbon-Marks-id038,-52.4324,0.0152742,1176.99,260.549
aCarbon-Marks-id056,-nan,0,0,355.477
Kerogen-Coasne-id011,-47.1972,0.0174464,250.764,69.3651
Kerogen-Coasne-id016,-46.597,0.00526088,43.9514,56.6378
Kerogen-Coasne-id015,-36.0472,0.000624925,181.439,42.4144
Kerogen-Coasne-id01,-36.5077,0.00117685,1462.7,40.4237
aCarbon-Marks-id053,-nan,0,0,391.693
aCarbon-Marks-id029,-nan,0,0,392.055
aCarbon-Marks-id041,-nan,0,0,392.433
aCarbon-Marks-id020,-39.159,0.00653977,3388.19,363.035
Kerogen-Coasne-id03,-43.7082,0.00682506,404.92,64.5097
Kerogen-Coasne-id02,-39.7143,0.00363156,710.438,55.5252
Kerogen-Coasne-id012,-28.5583,1.04087e-08,0,100.787
Kerogen-Coasne-id06,-34.4711,0.000347226,931.357,38.6172
Kerogen-Coasne-id09,-38.6797,0.00219312,1607,46.4809
aCarbon-Marks-id062,-41.707,0.000973782,28.0806,246.269
aCarbon-Marks-id064,-nan,0,0,342.097
PIM-Colina-id001,-28.0764,9.89029e-05,687.795,13.9286
Kerogen-Coasne-id04,-50.3757,0.022032,32.8378,81.2434
PIM-Colina-id002,-28.2202,9.76766e-05,618.114,13.9692
Kerogen-Coasne-id07,-36.7484,0.000650852,414.134,48.1427
PIM-Colina-id003,-29.2248,0.000112389,574.325,13.9682
aCarbon-Marks-id048,-nan,0,0,331.666
Kerogen-Coasne-id05,-34.2261,0.000236478,1725.49,24.9678
aCarbon-Marks-id024,-48.5063,7.48747e-06,0,332.708
PIM-Colina-id004,-27.3646,7.59689e-05,577.977,13.8891
PIM-Colina-id006,-29.3101,0.000105343,461.131,17.7614
aCarbon-Marks-id036,28.787,8.15219e-21,0,332.947
PIM-Colina-id012,-26.3947,7.00441e-05,839.393,8.85659
PIM-Colina-id009,-28.2756,7.99267e-05,358.167,17.9386
PIM-Colina-id005,-28.3482,8.70606e-05,657.389,13.9093
aCarbon-Marks-id060,-nan,0,0,333.127
PIM-Colina-id015,-26.3483,8.10288e-05,791.64,8.80938
PIM-Colina-id013,-24.9652,6.39484e-05,869.319,8.81982
aCarbon-Marks-id051,-9.8605,3.32905e-13,0,277.313
PIM-Colina-id007,-29.8157,0.000132192,312.255,17.9204
PIM-Colina-id014,-26.5695,8.08287e-05,971.569,8.69991
PIM-Colina-id021,-26.783,6.58144e-05,812.718,12.2538
PIM-Colina-id018,-26.5667,8.20925e-05,720.524,13.7341
PIM-Colina-id016,-25.2353,6.89806e-05,832.057,13.7461
PIM-Colina-id010,-29.1305,0.000113766,463.684,18.0285
aCarbon-Marks-id027,-41.562,8.41905e-07,0,276.497
PIM-Colina-id024,-27.1926,8.45563e-05,839.029,12.1531
PIM-Colina-id022,-28.3556,0.000101304,551.98,12.3968
PIM-Colina-id027,-29.2056,0.000110745,508.121,13.4074
PIM-Colina-id011,-26.5993,6.44469e-05,674.444,8.78332
PIM-Colina-id019,-26.9122,9.60112e-05,924.496,13.5613
PIM-Colina-id008,-29.2039,0.000116248,435.257,17.7912
Kerogen-Coasne-id08,-43.9925,0.00159408,60.3139,59.4225
PIM-Colina-id017,-26.3262,8.06876e-05,710.9,13.6932
PIM-Colina-id030,-29.5564,0.000121732,443.786,13.3377
PIM-Colina-id025,-29.6879,0.000135792,777.493,12.3393
PIM-Colina-id023,-27.4919,8.6852e-05,925.639,12.0301
PIM-Colina-id033,-26.5638,8.14064e-05,742.337,12.766
PIM-Colina-id028,-30.3254,0.000167807,447.406,13.5246
PIM-Colina-id020,-27.2042,8.91564e-05,622.146,13.8338
PIM-Colina-id036,-28.7346,0.000119667,1014.39,18.091
PIM-Colina-id031,-26.6684,7.86374e-05,989.311,12.5814
PIM-Colina-id039,-28.0923,9.70091e-05,751.73,18.5019
PIM-Colina-id026,-29.6977,0.000119704,406.637,13.3541
PIM-Colina-id034,-26.8438,6.79678e-05,815.938,12.497
PIM-Colina-id042,-29.5334,0.000121259,513.406,22.2753
PIM-Colina-id029,-28.3501,0.000102226,400.888,13.45
PIM-Colina-id045,-28.3379,0.000136597,731.809,22.207
PIM-Colina-id032,-28.877,0.000117468,380.155,12.8577
PIM-Colina-id048,-26.7471,6.50527e-05,862.404,18.7689
PIM-Colina-id035,-27.2417,9.00867e-05,633.604,12.5854
PIM-Colina-id037,-27.2774,8.13902e-05,1031.56,18.0155
aCarbon-Marks-id018,-53.8173,0.148746,3631.67,367.211
PIM-Colina-id051,-25.2586,3.53277e-05,534.139,17.3092
PIM-Colina-id040,-28.8022,0.000128174,720.047,18.4659
aCarbon-Marks-id039,-58.5981,0.00157169,0,295.482
PIM-Colina-id054,-26.5394,4.52182e-05,565.457,17.2765
PIM-Colina-id043,-29.4766,0.000138893,662.447,22.3712
PIM-Colina-id046,-28.4463,5.93594e-05,831.221,18.9146
aCarbon-Marks-id054,-50.1285,0.00407082,10.8984,229.884
PIM-Colina-id049,-25.095,4.60205e-05,728.813,18.8755
PIM-Colina-id057,-28.4219,8.091e-05,379.912,21.2811
PIM-Colina-id052,-24.9188,2.538e-05,470.957,17.483
PIM-Colina-id038,-27.7161,9.99022e-05,590.073,18.7188
PIM-Colina-id066,-29.169,0.000120927,449.383,16.7345
PIM-Colina-id060,-30.0169,0.000100874,343.993,21.2492
PIM-Colina-id055,-26.3673,3.5054e-05,621.997,17.1585
PIM-Colina-id041,-28.4872,0.000127986,1029.88,21.7385
PIM-Colina-id063,-31.7456,8.56821e-05,554.848,29.4135
PIM-Colina-id069,-31.9978,0.000152596,370.82,16.8846
PIM-Colina-id044,-29.5385,0.000140539,840.208,22.0168
PIM-Colina-id047,-25.8041,4.1325e-05,626.15,19.217
PIM-Colina-id050,-25.6757,4.85783e-05,929.719,18.547
aCarbon-Marks-id042,-50.2263,0.0166666,191.015,239.497
PIM-Colina-id053,-26.9183,4.30681e-05,530.4,17.2989
PIM-Colina-id067,-28.9911,8.81894e-05,472.659,16.0128
PIM-Colina-id058,-29.1751,8.23904e-05,338.467,21.5276
PIM-Colina-id072,-31.5885,0.000166545,262.501,20.1474
aCarbon-Marks-id030,-54.0628,0.239157,1643.37,254.455
PIM-Colina-id056,-28.9531,7.81742e-05,650.513,20.8139
PIM-Colina-id075,-33.2292,0.000165623,317.764,23.0374
PIM-Colina-id070,-29.66,0.000101155,334.558,15.6161
PIM-Colina-id068,-29.0165,9.13462e-05,581.888,15.6864
PIM-Colina-id061,-32.1113,0.00011801,439.115,33.1735
PIM-Colina-id059,-29.2606,9.14182e-05,370.91,20.5794
PIM-Colina-id073,-32.4762,0.000163698,288.16,20.6857
PIM-Colina-id064,-29.5342,6.73882e-05,538.731,31.9174
PIM-Colina-id071,-31.2195,0.000127866,166.45,23.3623
PIM-Colina-id062,-30.8367,9.95699e-05,353.932,23.2936
PIM-Colina-id074,-33.7,0.000209624,363.428,22.7773
aCarbon-Marks-id045,-nan,0,0,395.196
PIM-Colina-id065,-30.4017,7.06741e-05,329.157,35.7975
aCarbon-Marks-id033,-nan,0,0,398.841
aCarbon-Marks-id057,-nan,0,0,404.562
aCarbon-Marks-id021,-36.7283,0.00424312,3167.14,343.229
aCarbon-Marks-id063,-38.1339,4.88208e-07,0,283.405
aCarbon-Marks-id065,-nan,0,0,365.175
aZIF-Bennett-id001,-32.6409,1.81476e-06,0.0221687,20.0401
