Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ABAYIO_clean_225,-33.4194,0.000855205,483.739,2.31014
ABAYOU_clean_225,-33.1157,0.000808797,485.756,2.38485
ABEMIF_clean_221,-26.9792,0.000221254,796.464,2.85327
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.4465,4.91097e-05,559.077,3.12905
ABETAE_clean_36,-21.3418,1.9707e-05,380.38,4.43153
ABESUX_clean_36,-21.5835,2.02812e-05,374.413,4.53168
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-28.0964,0.000560832,670.695,5.55149
ABULOB_clean_60,-33.0642,0.00172268,97.01,5.72372
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-22.0972,9.17062e-05,814.011,6.99281
ABEXEN_clean_192,-26.954,0.000285727,578.526,7.16755
ACUBAB_clean_15,-24.7961,5.21804e-05,241.831,7.65783
acscombsci.5b00188_5036495_clean_1,-13.3925,1.7007e-05,828.278,7.9046
ADAXEK_clean_12,-30.9612,0.000735335,232.693,8.27723
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.8482,0.000175584,387.436,8.57064
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-52.6215,0.6329,1053.73,8.66989
ADOGEH_clean_225,-40.0824,0.0102889,663.407,3.89534
acscombsci.5b00188_5024922_clean_1,-14.4555,1.93183e-05,518.241,9.98014
ADAVIM_clean_199,-27.7241,0.000178557,635.991,10.3057
ABEFUL_clean_124,-42.0534,0.00882643,16.7829,11.0198
ADATOQ_clean_199,-28.0842,0.000191776,630.503,11.0966
ADATUW_clean_199,-28.0439,0.000163934,599.17,11.5345
ADAVEI_clean_199,-28.4768,0.000199802,589.041,11.6421
ADIQEL_clean_14,-40.034,0.0121757,5.98819,11.6802
ADAVAE_clean_199,-29.5665,0.00026286,592.634,11.7371
acscombsci.5b00188_8372_clean_1,-18.4342,2.11067e-05,342.79,12.2303
AFEKAX_clean_123,-33.981,0.00206093,453.55,4.32059
ABIXOZ_clean_2,-16.6359,3.54702e-06,263.121,12.423
ADEGIA01_clean_2,-34.1534,0.00107164,72.8474,12.837
acscombsci.5b00188_5020072_clean_1,-15.482,1.83691e-05,640.264,12.9198
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.868,0.00963262,273.235,13.2938
ADEGIA_clean_2,-33.8312,0.00109617,80.1525,13.7215
ABUWOJ_clean_61,-27.6494,0.000296876,108.674,14.0627
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.9547,0.000235869,0.0534258,14.3688
ADABAK_15,-29.3502,1.41306e-05,0,14.8236
ADUWIH_clean_201,-21.7246,7.98172e-05,674.622,8.04238
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.607,3.51365e-05,247.138,15.754
ADABAK01_clean_2,-28.4331,1.40278e-05,0,16.5883
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-37.5548,0.00168065,242.734,17.0108
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.6836,0.000338586,392.966,17.105
ADAXIO_clean_15,-31.091,0.000840095,296.209,17.4521
ACAJIZ_clean_15,-28.2402,0.000171358,175.507,18.0266
AFOYIE_clean_62,-21.1589,5.33874e-05,603.808,5.09066
ACUTOI_clean_60,-32.6613,0.000819199,90.7176,18.3457
acscombsci.5b00188_24205_clean_1,-31.2723,0.00201425,569.817,18.326
ABEXEM_clean_33,-26.8812,7.2647e-05,64.0496,18.5718
ABEXIQ_clean_33,-27.285,7.25909e-05,54.5367,18.6942
ACAJOF_clean_56,-27.9697,0.00012271,212.395,18.7499
ABEXOW_clean_33,-27.5254,7.45225e-05,49.5356,18.7974
ABEXUC_clean_33,-27.8201,7.64814e-05,43.8922,18.996
ABEYEN_clean_33,-28.3435,7.68767e-05,34.1648,19.1593
ABEYAJ_clean_33,-28.2347,7.9226e-05,40.3092,19.2022
ABEYIR_clean_33,-28.5004,7.6834e-05,32.0472,19.3044
ACODUT_clean_164,-48.0655,0.107154,77.4701,19.4044
ABEYIR_33,-28.5004,7.68339e-05,32.0156,19.458
ADOBIF_clean_118,-28.3074,0.000134974,95.1269,19.4736
ADOBAX_charged_118,-29.9749,0.000160947,58.6831,19.5247
ADOBAX_118,-29.9749,0.000160947,58.8295,19.532
ABAVOP_clean_14,-7.26063,1.80353e-09,0,20.0535
ADOBEB_charged_118,-30.0163,0.000163142,60.3791,20.635
ACAKUM_14,-29.6974,8.95127e-05,1.84233,20.7697
ACAKUM_clean_14,-29.6974,8.95128e-05,1.87601,20.8574
ADOCEC_clean_118,-28.2985,0.000153105,89.0479,18.2236
ADOBOL_clean_118,-30.7287,0.000179944,44.1874,21.2727
ADOBOL_charged_118,-30.7287,0.000179944,44.2227,21.3651
ACALIB_clean_14,-25.8098,4.55962e-06,0,21.507
ACODON_clean_13,-29.2065,0.000420836,452.874,21.9312
AFIPAH_clean_2,-27.7291,8.00952e-05,12.3968,13.3472
AFUPEX_clean_14,-24.7668,0.000170552,489.202,7.46096
AGABIU_clean_11,-14.7653,7.10576e-06,475.601,7.57219
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-25.7118,3.85425e-05,173.16,22.9405
AHOKIR_clean_12,-28.378,8.20676e-05,12.1955,2.21854
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.8394,0.000142605,38.6995,23.0015
AFOYEB_clean_92,-27.4892,9.1609e-05,129.567,10.1799
AHOKOX_clean_59,-26.1979,7.4096e-05,13.0859,2.37097
AGUBUA_clean_60,-31.0244,0.000828933,223.976,4.78434
AGESIP_clean_14,-12.3707,1.22468e-08,0,5.96876
AHOKAJ_clean_13,6.21423,1.90589e-12,0,3.96194
ADOBUR_charged_118,-30.8194,0.000182822,44.8346,21.2423
AHOJUC_clean_13,4.39896,4.56838e-12,0,4.04264
ADOCAY_charged_118,-30.8849,0.000188183,45.9292,21.3587
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-31.3901,0.000937734,359.459,23.8923
AGARUW_clean_62,-23.3222,3.94848e-05,394.636,8.04208
ADOCIG_charged_118,-31.0012,0.000190058,43.5312,21.4358
acs.cgd.5b01554_VAGNUP1452791_clean_62,-24.0272,6.67856e-05,355.818,24.7621
ACODED_60,-32.2934,0.00139551,264.727,24.8386
acscombsci.5b00188_34903_clean_1,-34.0904,0.0049508,828.754,25.0565
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,-32.8379,5.49939e-05,0,25.4299
acscombsci.5b00188_5040209_clean_1,-31.2467,0.00100538,574.695,25.6573
AFOYOK_clean_11,-23.5265,7.21955e-05,441.445,13.912
AHOKIR01_clean_2,-34.6894,0.000263164,0,7.28244
AJOTEY_clean_33,-20.0627,4.16865e-05,478.464,5.17041
AGONAM_clean_14,-26.8334,0.000210138,352.228,10.0817
ABIYIV_56,-30.028,7.78142e-05,0,28.8474
ABIYIV_clean_56,-30.028,7.7814e-05,0,29.0185
AHUTIH_clean_14,-22.9673,2.71387e-06,0,7.60568
ALATAK_clean_12,0.584448,6.3107e-11,0,4.26278
AGIMOU_clean_14,-33.4001,0.000309052,0,12.007
AHUTIH01_clean_14,-24.8245,5.44921e-06,0,9.28157
ALIBUT_clean_229,-25.9015,3.5999e-05,212.001,3.17044
AHEQAH_clean_46,-22.5731,0.000127481,871.195,11.8704
ALICAA_clean_229,-25.1994,2.56421e-05,200.917,3.18748
ADABUE_clean_2,-33.9121,0.000228636,0.0543966,31.9872
ACECIV_ion_b_14,-36.6836,0.000151846,0,31.9698
ADABIS_clean_2,-31.184,2.20785e-05,0,32.4459
AGAXOV_clean_2,-20.9043,6.58585e-05,639.066,15.9293
AGUWUV_clean_2,-27.6493,3.64916e-05,1.44066,14.5025
AGONEQ_clean_7,-20.8519,6.99725e-05,657.735,15.554
ACIBOE_clean_8,-23.4664,9.64867e-05,507.74,34.3519
AFENEE_clean_34,-37.3936,0.00139286,0,26.4491
AGAYIQ_clean_15,-34.4823,0.000126436,0,17.7493
AFITEP_clean_2,-34.1906,0.00185619,18.9299,27.1604
AKEDIF_clean_15,-30.673,0.000989716,540.859,13.2069
AGUTUS_clean_14,-6.64984,8.69316e-10,0,19.1669
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-30.4343,0.00115094,381.837,38.1598
ACMPCD_clean_1,-21.9227,4.72985e-06,39.2401,38.4874
ALIPEQ_clean_21,-1.97872,1.46892e-10,0,9.92349
AFEJOK_ion_b_8,-26.5869,0.000242026,368.355,31.1517
ALALUU_clean_2,-1.61028,7.57224e-11,0,14.4042
ALIXUP_clean_56,-18.0101,3.38815e-06,175.581,9.61054
AKOHEO_clean_14,-20.2039,6.47941e-06,140.457,16.2062
AKUHOD_clean_2,-0.307638,3.04126e-11,0,16.174
AKUHOD01_clean_2,0.747772,1.9456e-11,0,16.4781
AJOXAA_clean_14,-26.5498,0.00019846,362.836,17.9956
ALALUU01_clean_2,-2.6804,1.1222e-10,0,16.5239
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.7257,0.0152999,23.7846,42.251
ALUKIC_clean_15,-17.1905,3.96464e-05,1111.52,10.5767
AMALND_clean_60,-22.429,4.66002e-06,0,5.21259
ALUKOI_clean_15,-17.167,3.878e-05,1116.01,11.3051
AFEDIA_clean_2,8.24588,3.40903e-13,0,37.8086
ALUKUO_clean_15,-17.197,3.90232e-05,1116.9,11.3781
ALOLIY_clean_15,-16.8854,3.15275e-06,212.544,15.018
ALUKAU_clean_2,-34.5211,0.00134196,80.7709,13.2181
ALULAV_clean_15,-17.2642,3.92893e-05,1114.83,11.3523
ALAHUS_clean_122,-24.11,7.22528e-05,416.594,21.0164
ALUJUN_clean_2,-34.54,0.00177724,97.9784,13.875
ALIXOJ_clean_14,-22.8157,7.29015e-05,531.977,16.9256
AFOYAW_clean_2,-27.9332,0.00033404,258.117,34.0858
ACOLOV_clean_14,-23.1224,0.000104266,636.755,46.8404
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-29.1653,0.000309371,217.137,47.0908
AFOVEX_clean_1,-34.7712,0.00109436,597.535,36.6533
AFOVIB_clean_1,-35.2343,0.00115455,590.788,36.4486
AFOTUL_clean_1,-34.9913,0.00112198,595.6,37.2602
AFOVAT_clean_1,-33.6497,0.000780842,560.292,37.4984
AFOTOF_clean_1,-35.2714,0.00123046,590.07,37.8629
AHAMAY_clean_2,-31.3288,0.000104509,1.9558,30.6953
AFOVOH_clean_1,-35.0488,0.00112464,588.59,37.6239
AJAMEF_clean_15,-37.9771,0.00123955,0,29.7716
AFIXAO_clean_14,-31.9913,0.000506649,238.985,41.6388
AFIXES_clean_14,-32.2581,0.000508158,244.532,40.9798
AKOBAF_clean_15,-35.3912,0.00228822,27.9867,29.4124
AJUNOK_clean_54,-33.5216,0.000467094,29.1223,30.145
ACOGEF_clean_2,-32.922,0.00142365,112.098,54.1558
AKUKUO_clean_2,-32.2737,0.0010503,163.055,29.7171
ACOGAB_clean_2,-32.9149,0.00160985,123.359,54.579
AGUVOO_charged_60,-27.6581,0.000226104,241.772,36.9607
AGAYOW_clean_15,-32.2226,0.000558354,115.63,39.178
AMOZAE_clean_14,-23.6036,2.14376e-06,0,11.2935
AMEJIM_charged_148,-25.2159,3.67898e-05,109.175,18.8805
