Structures,CPU_time (s)
ABAYIO_clean_225,0.524681
ABEMIF_clean_221,0.527889
ABAYOU_clean_225,0.566176
ABULOB_clean_60,0.694742
ABETAE_clean_36,0.770463
ABESUX_clean_36,0.806126
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,0.809314
ADIQEL_clean_14,0.894314
ADABAK_15,0.894568
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,0.971229
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,1.03973
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,1.09963
ADAXEK_clean_12,1.12347
ABAVOP_clean_14,1.18941
ACUBAB_clean_15,1.22752
ADEGIA_clean_2,1.23444
ADABAK01_clean_2,1.35253
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,1.43786
ACALIB_clean_14,1.51499
ADEGIA01_clean_2,1.51263
AFEKAX_clean_123,0.414556
ABEYEN_clean_33,1.58133
ABEXOW_clean_33,1.5884
ABEYAJ_clean_33,1.58889
ADOGEH_clean_225,0.694069
ABEXIQ_clean_33,1.63122
ABEXUC_clean_33,1.64293
ACUTOI_clean_60,1.62571
ABEYIR_clean_33,1.67803
ACAKUM_14,1.67765
ACAKUM_clean_14,1.67835
ABEYIR_33,1.68211
ABEXEM_clean_33,1.7017
ABEFUL_clean_124,1.74353
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,1.75754
ACECIV_ion_b_14,1.81178
ABIYIV_56,1.82241
ABIYIV_clean_56,1.8874
ABEXEN_clean_192,1.89805
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,1.93864
ADAXIO_clean_15,1.90203
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,2.02269
ADABIS_clean_2,1.98501
ABUWOJ_clean_61,2.04068
ABIXOZ_clean_2,2.06525
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,2.10845
ADOBIF_clean_118,2.07078
ADABUE_clean_2,2.12016
ADUWIH_clean_201,1.27741
acs.cgd.5b01686_WAHFUJ1434675_clean_14,2.39744
ADOBEB_charged_118,2.36034
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,2.36028
ADOBOL_clean_118,2.36035
ADOBOL_charged_118,2.36037
ADOBAX_118,2.36012
ADOBAX_charged_118,2.36011
AGESIP_clean_14,0.530517
ACODED_60,2.47283
ADATOQ_clean_199,2.46006
ADAVIM_clean_199,2.461
AFIPAH_clean_2,1.34049
ADAVAE_clean_199,2.54642
ADAVEI_clean_199,2.54644
ADATUW_clean_199,2.56712
ACODON_clean_13,2.62625
AGARUW_clean_62,0.837618
AGUBUA_clean_60,0.627562
ACAJOF_clean_56,2.71686
AHOJUC_clean_13,0.335656
ADOCEC_clean_118,2.20991
AHOKAJ_clean_13,0.323946
ACAJIZ_clean_15,2.79528
AFOYEB_clean_92,1.14042
AHOKIR_clean_12,0.321488
AFOYIE_clean_62,1.1553
ADOBUR_charged_118,2.34067
ADOCAY_charged_118,2.35082
AGIMOU_clean_14,0.971615
acscombsci.5b00188_24205_clean_1,2.91715
AFUPEX_clean_14,1.18604
ACODUT_clean_164,2.93323
AHOKOX_clean_59,0.496323
ADOCIG_charged_118,2.33473
AHOKIR01_clean_2,0.653089
AGONAM_clean_14,1.21775
AHUTIH_clean_14,0.651425
AGAYIQ_clean_15,1.40101
AHUTIH01_clean_14,0.725265
AFEDIA_clean_2,2.41918
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,3.38221
AFOYOK_clean_11,1.77466
AGUWUV_clean_2,1.34783
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,3.52411
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,3.49294
acs.cgd.6b00163_UKEBOD1448508_clean_15,3.62294
AJOTEY_clean_33,0.917696
AGUTUS_clean_14,1.62517
ALATAK_clean_12,0.465144
ALIBUT_clean_229,0.385562
acscombsci.5b00188_5036495_clean_1,3.85105
AKUHOD01_clean_2,0.926757
