Structures,CPU_time (s)
ABULOB_clean_60,1.22288
ABETAE_clean_36,1.30624
ABESUX_clean_36,1.32657
ABAYIO_clean_225,1.38561
ABAYOU_clean_225,1.39719
ABEMIF_clean_221,1.53881
ADIQEL_clean_14,1.60068
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,1.615
ADABAK_15,1.6414
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,1.97212
ADEGIA_clean_2,2.11533
ABAVOP_clean_14,2.25114
ADAXEK_clean_12,2.29928
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,2.31778
ADEGIA01_clean_2,2.57781
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,2.58752
ADABAK01_clean_2,2.6544
ACALIB_clean_14,2.82395
ACUBAB_clean_15,2.84378
ABEFUL_clean_124,2.8807
ABEYEN_clean_33,3.03223
ABEYAJ_clean_33,3.04864
ABEXUC_clean_33,3.05307
ABEXOW_clean_33,3.05839
ABEYIR_clean_33,3.12639
ABEXIQ_clean_33,3.15379
ABEYIR_33,3.16172
ACUTOI_clean_60,3.18787
ACAKUM_14,3.26648
ABEXEM_clean_33,3.28765
ACAKUM_clean_14,3.29263
ACECIV_ion_b_14,3.43581
AFEKAX_clean_123,1.25383
ADABIS_clean_2,3.51194
ABUWOJ_clean_61,3.70928
ADOGEH_clean_225,2.19375
ADABUE_clean_2,3.9698
ABIYIV_56,4.03109
ABIYIV_clean_56,4.03112
ADAXIO_clean_15,4.07142
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,4.20445
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,4.51856
AFIPAH_clean_2,2.21687
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,4.67888
ADOBIF_clean_118,4.69411
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,4.83901
AGESIP_clean_14,0.812432
acs.cgd.5b01686_WAHFUJ1434675_clean_14,4.91018
ABIXOZ_clean_2,4.95267
ADOBAX_charged_118,5.04048
ADOBAX_118,5.04571
ADOBOL_clean_118,5.04819
ADOBOL_charged_118,5.05401
acscombsci.5b00188_24205_clean_1,5.07171
ADOBEB_charged_118,5.06634
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,5.10134
ACODED_60,5.20344
ACODUT_clean_164,5.47241
AFOYEB_clean_92,2.31393
AFUPEX_clean_14,1.98976
AHOJUC_clean_13,0.473551
ADUWIH_clean_201,4.02693
AHOKAJ_clean_13,0.481558
AGIMOU_clean_14,1.52518
ADOCEC_clean_118,4.55529
AGUBUA_clean_60,1.2148
AGARUW_clean_62,2.2012
AHOKIR_clean_12,0.618484
ACODON_clean_13,6.22395
ACAJOF_clean_56,6.46762
AHOKOX_clean_59,0.977567
AFEDIA_clean_2,4.51235
ADOBUR_charged_118,5.28358
