Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ABAYIO_clean_225,-33.6212,0.000843263,3.54698
ABAYOU_clean_225,-33.3562,0.000792547,3.54957
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.1639,5.63502e-05,4.39453
ABEMIF_clean_221,-26.286,0.000281875,4.41051
ABESUX_clean_36,-21.1822,2.17291e-05,6.28735
ABETAE_clean_36,-20.9621,2.07666e-05,6.33377
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-27.0292,0.000528868,8.55832
ABULOB_clean_60,-32.6294,0.0013216,8.77286
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.5025,0.00011564,9.45193
ABEXEN_clean_192,-26.2437,0.000319526,10.9337
acscombsci.5b00188_5036495_clean_1,-12.3934,1.55959e-05,12.121
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.5173,0.000234261,12.2013
ACUBAB_clean_15,-24.5246,5.3219e-05,12.4613
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-51.7809,0.509277,13.1711
ADAXEK_clean_12,-30.5539,0.000875539,14.1437
ADOGEH_clean_225,-40.3987,0.0132048,5.39803
acscombsci.5b00188_5024922_clean_1,-13.6845,1.97059e-05,14.8248
ADAVIM_clean_199,-26.7754,0.000137811,14.9094
ADATOQ_clean_199,-27.1734,0.000147493,15.4069
ADATUW_clean_199,-26.7832,0.000117861,16.0388
ADAVAE_clean_199,-28.091,0.000165167,16.2632
ADAVEI_clean_199,-27.4948,0.000149622,16.2935
acscombsci.5b00188_8372_clean_1,-18.2677,2.32424e-05,16.9785
ADIQEL_clean_14,-39.6211,0.00780098,17.4447
ABUWOJ_clean_61,-27.5119,0.000288342,18.4347
ABEFUL_clean_124,-42.1159,0.0106606,18.5064
ABIXOZ_clean_2,-16.2661,4.88904e-06,18.6571
AFEKAX_clean_123,-30.8041,0.00213082,6.55543
ADEGIA01_clean_2,-33.6177,0.000827803,19.2326
ADEGIA_clean_2,-33.5828,0.000959224,19.5299
ADUWIH_clean_201,-21.0798,8.8175e-05,10.4845
acscombsci.5b00188_5020072_clean_1,-14.7573,1.8894e-05,20.3799
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.3024,0.000411975,21.8915
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.5947,0.00514255,23.3767
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.5931,0.00013387,23.4649
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.2542,4.64524e-05,24.0608
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.3646,0.000871827,24.1883
ADABAK01_clean_2,-28.0035,1.33052e-05,25.6433
AFOYIE_clean_62,-20.346,5.44124e-05,6.89291
ADAXIO_clean_15,-30.8519,0.00119763,26.255
ADABAK_15,-29.2014,9.5819e-06,26.3364
ABEXIQ_clean_33,-26.9482,5.89404e-05,26.7037
ABEXEM_clean_33,-26.5872,5.96781e-05,27.278
ADOBIF_clean_118,-28.2406,0.000139504,27.5622
ABEXUC_clean_33,-27.4662,6.14365e-05,27.667
ABEXOW_clean_33,-27.1845,6.03137e-05,27.9464
ABEYIR_33,-28.1179,6.00838e-05,28.0584
ABEYAJ_clean_33,-27.8429,6.28585e-05,28.0612
ABEYEN_clean_33,-27.9657,6.0867e-05,28.7924
acscombsci.5b00188_24205_clean_1,-31.147,0.00267556,28.7943
ABEYIR_clean_33,-28.1179,6.00838e-05,29.0241
ADOBAX_118,-30.0805,0.000184439,29.4838
ADOBAX_charged_118,-30.0805,0.000184439,29.5427
ACUTOI_clean_60,-32.3113,0.000854936,29.6564
ADOBEB_charged_118,-30.1202,0.000186433,30.0634
ADOCEC_clean_118,-28.2045,0.000154811,25.6199
ACODUT_clean_164,-47.9284,0.103967,30.1127
ACAJIZ_clean_15,-27.5166,0.00023657,31.0583
ACAJOF_clean_56,-26.9528,0.000140205,31.1917
ADOBOL_clean_118,-30.8632,0.00019906,31.2683
ADOBOL_charged_118,-30.8632,0.00019906,31.2835
ABAVOP_clean_14,-7.4778,1.64191e-09,31.5519
ACODON_clean_13,-28.5306,0.000449843,31.8685
AFIPAH_clean_2,-27.9396,7.38851e-05,18.7637
AFUPEX_clean_14,-24.2339,0.000143131,10.3975
AGABIU_clean_11,-14.177,7.74429e-06,10.7171
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-30.8291,0.00131811,34.3862
AHOKIR_clean_12,-28.3179,5.16191e-05,3.19196
ADOCAY_charged_118,-31.0662,0.000212031,30.9921
AGUBUA_clean_60,-30.8754,0.00107556,6.98683
AHOKOX_clean_59,-26.0028,3.0476e-05,3.55599
ACAKUM_clean_14,-29.5037,0.000102045,35.4557
ADOBUR_charged_118,-30.982,0.000205475,32.0338
ACAKUM_14,-29.5037,0.000102045,36.0673
AGARUW_clean_62,-23.1035,5.78999e-05,12.0081
ACALIB_clean_14,-25.9141,4.85138e-06,36.3
ACODED_60,-32.22,0.00181382,36.4084
ADOCIG_charged_118,-31.1671,0.000209851,32.035
AFOYEB_clean_92,-27.5482,0.000181019,17.9114
AGESIP_clean_14,-12.7091,2.35463e-08,10.6016
AHOKAJ_clean_13,5.69154,9.01885e-12,6.9147
AHOJUC_clean_13,3.78004,1.83102e-11,6.96572
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-24.6548,3.94051e-05,37.4087
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.525,0.000126586,37.5679
acscombsci.5b00188_5040209_clean_1,-30.4468,0.000927025,37.7639
acs.cgd.5b01554_VAGNUP1452791_clean_62,-23.5756,7.61238e-05,37.8934
acscombsci.5b00188_34903_clean_1,-34.0863,0.00865748,37.9604
AFOYOK_clean_11,-22.6534,7.16603e-05,20.3301
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,-31.8344,3.55095e-05,40.559
