Structures,CPU_time (s)
ABAYIO_clean_225,4.55116
ABAYOU_clean_225,4.60923
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,5.08945
ABEMIF_clean_221,5.31613
ABETAE_clean_36,6.89103
ABESUX_clean_36,6.9329
ABULOB_clean_60,8.93175
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,9.21496
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,9.70957
acscombsci.5b00188_5036495_clean_1,10.3632
ABEXEN_clean_192,10.648
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,12.198
ACUBAB_clean_15,12.4769
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,12.9975
acscombsci.5b00188_5024922_clean_1,13.12
ADAVIM_clean_199,13.7492
ADAXEK_clean_12,13.8013
ADOGEH_clean_225,4.66946
ADATUW_clean_199,14.6758
ADATOQ_clean_199,14.7379
ADAVAE_clean_199,15.0986
ADAVEI_clean_199,15.2538
acscombsci.5b00188_8372_clean_1,16.1364
ABIXOZ_clean_2,16.9588
acscombsci.5b00188_5020072_clean_1,16.9746
ADIQEL_clean_14,16.9988
ABUWOJ_clean_61,17.4242
ABEFUL_clean_124,18.0036
AFEKAX_clean_123,5.89619
ADEGIA_clean_2,18.4713
ADEGIA01_clean_2,18.6841
ADUWIH_clean_201,9.08687
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,20.5218
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,21.4335
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,22.1677
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,22.2638
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,22.3184
AFOYIE_clean_62,6.11527
ADABAK01_clean_2,24.3987
ABEXEM_clean_33,24.5534
ADABAK_15,24.6305
ABEXIQ_clean_33,24.786
ABEXOW_clean_33,25.0456
ADAXIO_clean_15,25.226
ABEXUC_clean_33,25.2441
ADOBIF_clean_118,25.3724
ABEYIR_clean_33,25.9627
ABEYEN_clean_33,26.0811
ABEYAJ_clean_33,26.1582
ADOCEC_clean_118,21.2129
ABEYIR_33,26.449
acscombsci.5b00188_24205_clean_1,26.5313
ACODUT_clean_164,27.3271
ADOBAX_118,27.5544
ADOBAX_charged_118,27.5859
ACAJIZ_clean_15,27.8303
ADOBEB_charged_118,27.8908
ACODON_clean_13,28.2204
ACAJOF_clean_56,28.3571
ACUTOI_clean_60,28.4038
ADOBOL_charged_118,28.8027
ADOBOL_clean_118,29.0441
AFIPAH_clean_2,16.1183
ABAVOP_clean_14,29.2644
AFUPEX_clean_14,8.99798
AGABIU_clean_11,8.49423
AGUBUA_clean_60,5.84963
AHOKIR_clean_12,2.85149
AHOKOX_clean_59,3.21722
ADOBUR_charged_118,27.1252
ADOCAY_charged_118,27.083
ACAKUM_clean_14,31.821
ACAKUM_14,32.2448
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,32.3954
ADOCIG_charged_118,27.1178
AGARUW_clean_62,10.3825
acs.cgd.5b01554_VAGNUP1452791_clean_62,32.7093
ACODED_60,33.0006
acs.cgd.5b01686_WAHFUJ1434675_clean_14,33.4776
AHOJUC_clean_13,5.84505
AGESIP_clean_14,9.21893
AHOKAJ_clean_13,5.98374
acscombsci.5b00188_5040209_clean_1,33.9015
AFOYEB_clean_92,16.0529
ACALIB_clean_14,34.2359
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,34.4038
acscombsci.5b00188_34903_clean_1,35.3384
AFOYOK_clean_11,17.3196
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,37.0094
AJOTEY_clean_33,6.02711
AHOKIR01_clean_2,9.83875
AGONAM_clean_14,13.0611
AGIMOU_clean_14,14.1784
AHUTIH_clean_14,10.4043
ACIBOE_clean_8,40.223
AHEQAH_clean_46,13.9512
AGAXOV_clean_2,18.4756
ABIYIV_56,41.51
ALATAK_clean_12,5.83356
ALICAA_clean_229,3.90693
ALIBUT_clean_229,4.31926
ABIYIV_clean_56,42.0712
AHUTIH01_clean_14,13.0035
ADABUE_clean_2,42.5055
AGONEQ_clean_7,17.3767
AGUWUV_clean_2,18.9133
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,47.1492
AGAYIQ_clean_15,23.6973
ADABIS_clean_2,48.0623
ACECIV_ion_b_14,48.2105
AFITEP_clean_2,35.6952
AFENEE_clean_34,36.3803
AGUTUS_clean_14,23.9003
AKEDIF_clean_15,17.7842
ALIPEQ_clean_21,11.4008
AFEJOK_ion_b_8,40.6813
ALALUU_clean_2,17.1636
ACMPCD_clean_1,52.4903
AKOHEO_clean_14,20.4916
AJOXAA_clean_14,22.029
ALIXUP_clean_56,13.4893
AKUHOD01_clean_2,20.3923
ALALUU01_clean_2,19.8989
ALUKIC_clean_15,12.0648
AKUHOD_clean_2,20.9159
ALUKOI_clean_15,11.6332
AMALND_clean_60,6.13013
ACOLOV_clean_14,57.6943
AFOYAW_clean_2,40.5565
ALUKUO_clean_15,11.5803
ALUJUN_clean_2,16.8452
AFOTOF_clean_1,44.183
AFOVEX_clean_1,42.5383
AFOTUL_clean_1,44.2861
ALULAV_clean_15,11.899
ALUKAU_clean_2,17.6096
AFOVAT_clean_1,44.0185
ALIXOJ_clean_14,20.1719
AFOVOH_clean_1,43.7334
ALAHUS_clean_122,26.7346
AFOVIB_clean_1,44.2876
acs.cgd.6b00163_UKEBOD1448508_clean_15,61.6046
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,61.8438
ALOLIY_clean_15,21.3443
ACOGEF_clean_2,66.3443
AFEDIA_clean_2,56.4193
ACOGAB_clean_2,67.6278
