Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ABAYOU_clean_225,-32.5785,0.000423784,2063.43,0.147092
ABAYIO_clean_225,-32.7916,0.000418309,2051.52,0.150161
ABESUX_clean_36,-20.9773,2.059e-05,1162.23,0.19438
ABEMIF_clean_221,-25.13,0.000224659,4060.27,0.150618
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-26.6651,0.000507775,3371.67,0.256574
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.0167,6.09126e-05,2250.43,0.154892
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.0306,0.000100101,3727.95,0.279621
ABETAE_clean_36,-20.7974,1.96855e-05,1170.62,0.199614
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.4728,0.000233643,1792.17,0.326646
ABULOB_clean_60,-32.7214,0.00126985,111.811,0.235854
ACUBAB_clean_15,-24.6748,5.90518e-05,570.943,0.328826
ABEXEN_clean_192,-25.4475,0.00020648,2752.24,0.291469
ADAXEK_clean_12,-30.4014,0.000728687,588.436,0.337669
acscombsci.5b00188_5036495_clean_1,-12.1831,1.44493e-05,3668.55,0.322356
ADAVIM_clean_199,-27.2265,0.000125833,2598.56,0.387124
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-51.1735,0.259248,5300.93,0.35456
ADATOQ_clean_199,-27.9073,0.000148143,2662.85,0.398602
acscombsci.5b00188_5024922_clean_1,-13.2864,1.69492e-05,2843.83,0.384841
ADAVAE_clean_199,-29.502,0.000190491,2522.46,0.421524
acscombsci.5b00188_8372_clean_1,-18.0272,2.07768e-05,996.758,0.411802
ADAVEI_clean_199,-28.4766,0.00016046,2519.67,0.412615
ABEFUL_clean_124,-41.534,0.00357116,10.6107,0.429534
ADIQEL_clean_14,-39.5627,0.00546031,5.67647,0.420261
ABIXOZ_clean_2,-15.9624,5.07426e-06,1088.72,0.443346
ADATUW_clean_199,-27.8441,0.000124349,2536.81,0.435125
acscombsci.5b00188_5020072_clean_1,-14.2232,1.63267e-05,3367.54,0.473995
ADEGIA_clean_2,-33.5282,0.000718162,106.254,0.443838
ADEGIA01_clean_2,-33.6998,0.000663782,92.8282,0.455012
ABUWOJ_clean_61,-27.4291,0.000229173,191.312,0.457481
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-45.2086,0.00457775,1779.23,0.507123
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.7023,0.000161202,0,0.531057
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.2053,0.000395254,1572.34,0.546978
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.0825,4.30101e-05,765.493,0.56147
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.6211,0.00102986,1463.55,0.554485
ADABAK01_clean_2,-28.6063,1.16638e-05,0,0.585145
acscombsci.5b00188_24205_clean_1,-30.9955,0.0021933,1389.73,0.593071
ADABAK_15,-29.6489,9.31292e-06,0,0.611902
ABEXEM_clean_33,-26.5507,5.9826e-05,120.779,0.620268
ADAXIO_clean_15,-30.5533,0.00108628,1054.6,0.625545
ABEXOW_clean_33,-27.1685,6.11045e-05,91.7672,0.632069
ABEXIQ_clean_33,-26.9105,5.94421e-05,99.7215,0.628516
ABEXUC_clean_33,-27.4593,6.24053e-05,76.9353,0.637146
ADOBIF_clean_118,-28.0228,0.000102751,146.706,0.645197
ABEYAJ_clean_33,-27.8644,6.42988e-05,70.4499,0.642637
ABEYIR_33,-28.1645,6.18708e-05,52.5583,0.65114
ABEYEN_clean_33,-27.9842,6.20167e-05,60.6379,0.652288
ABEYIR_clean_33,-28.1395,6.18554e-05,52.082,0.656978
ACODUT_clean_164,-47.3895,0.0530072,76.696,0.661145
ACUTOI_clean_60,-32.3307,0.000853729,214.029,0.668029
ACAJIZ_clean_15,-27.3304,0.000257406,1006.86,0.671009
ACAJOF_clean_56,-26.4515,0.000130234,1327.17,0.690569
AFEKAX_clean_123,-30.2353,0.00208129,3709.31,0.131253
ADOBEB_charged_118,-29.7873,0.000128039,90.0607,0.702522
ADOGEH_clean_225,-39.9679,0.00880014,3723.26,0.142045
ADOBAX_118,-29.7415,0.000126484,90.6503,0.697086
ADOBAX_charged_118,-29.7542,0.000126739,89.8596,0.697177
ACODON_clean_13,-27.5006,0.000308256,1886.31,0.705919
ABAVOP_clean_14,-7.50221,1.75865e-09,0,0.718871
ADOBOL_charged_118,-30.5231,0.000137704,71.4206,0.732848
ADOBOL_clean_118,-30.5108,0.000137386,67.6436,0.73268
AFOYIE_clean_62,-19.6831,4.28615e-05,2989.57,0.186025
ACAKUM_14,-29.47,8.83799e-05,4.82895,0.778539
ACAKUM_clean_14,-29.4658,8.81848e-05,7.32058,0.76735
acscombsci.5b00188_34903_clean_1,-33.8675,0.00779148,3147.99,0.798384
ADUWIH_clean_201,-20.7408,8.49174e-05,3558.45,0.240684
ACALIB_clean_14,-25.6846,4.12545e-06,0,0.801601
acscombsci.5b00188_5040209_clean_1,-30.6559,0.00093228,2344.8,0.810721
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.2112,0.000121521,53.8059,0.817752
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-30.5304,0.00135119,1932.2,0.819128
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-23.9939,3.78223e-05,719.428,0.849143
ACODED_60,-31.8137,0.00148699,884.655,0.838242
AFUPEX_clean_14,-23.9676,0.000113079,920.155,0.226501
AHOKIR_clean_12,-27.9439,3.70404e-05,2.07837,0.0614142
acs.cgd.5b01554_VAGNUP1452791_clean_62,-23.6517,6.94409e-05,915.574,0.862675
AGUBUA_clean_60,-30.9349,0.000964561,475.99,0.145469
