Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ABAYOU_clean_225,-32.6046,0.00042603,2030.36,0.0541164
ABEMIF_clean_221,-25.1222,0.000224685,4076.08,0.0554611
ABAYIO_clean_225,-32.838,0.000417881,2092.17,0.0575954
ABULOB_clean_60,-32.7311,0.00126999,107.335,0.0603405
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.0167,6.08864e-05,2237,0.0669758
ABETAE_clean_36,-20.802,1.96609e-05,1172.22,0.0730216
ABAVOP_clean_14,-7.99409,1.41238e-09,0,0.0847753
ABESUX_clean_36,-20.9889,2.05698e-05,1166.93,0.0877896
ABEXEN_clean_192,-25.3962,0.000204981,2751.03,0.12717
ABEFUL_clean_124,-41.5595,0.00357744,11.5898,0.129941
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.03,0.000100136,3724.84,0.129541
ABUWOJ_clean_61,-27.4085,0.000228776,189.677,0.132391
ABIYIV_56,-30.1912,8.96419e-05,0,0.132159
ABIYIV_clean_56,-30.3169,9.16002e-05,0,0.15595
ABEXIQ_clean_33,-26.9043,5.94231e-05,91.9342,0.137643
ACAKUM_clean_14,-29.4817,8.80788e-05,8.73434,0.135876
ABEXOW_clean_33,-27.1752,6.09708e-05,88.3549,0.139552
ACAKUM_14,-29.4409,8.76227e-05,10.2959,0.137959
ACALIB_clean_14,-25.8618,4.06966e-06,0,0.136591
ABEYEN_clean_33,-27.9813,6.19638e-05,57.7921,0.140932
ABEYAJ_clean_33,-27.8595,6.42145e-05,73.4699,0.136925
ABEYIR_33,-28.1282,6.16645e-05,48.2601,0.13829
ABEYIR_clean_33,-28.1568,6.19946e-05,55.2592,0.141341
ABEXEM_clean_33,-26.557,5.97212e-05,115.932,0.150782
ABIXOZ_clean_2,-15.946,5.01346e-06,1088.1,0.150256
ACECIV_ion_b_14,-36.8276,9.1832e-05,0,0.152623
ABEXUC_clean_33,-27.459,6.21637e-05,78.4431,0.15873
ACAJOF_clean_56,-26.4429,0.000129493,1343.72,0.168347
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.2213,0.000121321,55.9384,0.167333
ACAJIZ_clean_15,-27.3256,0.000256272,1026.76,0.182571
ACODUT_clean_164,-47.3921,0.0529681,76.1195,0.182945
ACODED_60,-31.811,0.00148609,872.37,0.203634
ACODON_clean_13,-27.4761,0.000306738,1874.26,0.202627
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-26.6651,0.000507988,3369.54,0.0648211
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.6181,0.0151279,48.2818,0.253276
ACMPCD_clean_1,-21.7722,9.03644e-06,171.766,0.255504
acs.cgd.5b01554_VAGNUP1452791_clean_62,-23.6616,6.93452e-05,920.491,0.272635
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-51.0843,0.257134,5296.09,0.0994338
acscombsci.5b00188_24205_clean_1,-30.9963,0.00219282,1400.33,0.158091
ABAVIJ_clean_1,-40.9321,0.00282775,0.789926,0.295317
acscombsci.5b00188_8372_clean_1,-18.0364,2.07625e-05,997.569,0.174752
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-45.1897,0.00463126,1774.11,0.118683
acscombsci.5b00188_5036495_clean_1,-12.1849,1.44488e-05,3672.37,0.182236
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.4728,0.000233631,1783.66,0.0635752
ACUBAB_clean_15,-24.6738,5.90419e-05,573.175,0.0783592
acscombsci.5b00188_5024922_clean_1,-13.2858,1.69399e-05,2845.11,0.2046
ADABAK_15,-29.9034,8.6459e-06,0,0.0597938
ACOLIP_clean_1,-33.1655,0.00077999,32.0082,0.347315
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.6616,0.00103241,1471.54,0.155719
ADABAK01_clean_2,-28.3167,1.10377e-05,0,0.0837156
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.8984,0.000164826,0,0.0817845
