Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ABEMIF_clean_221,-26.9836,0.000221323,793.937,0.082507
ABAYIO_clean_225,-33.4195,0.000855444,485.236,0.0910761
ABAYOU_clean_225,-33.1182,0.00080912,490.569,0.091862
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.4488,4.91019e-05,555.169,0.0940772
ABULOB_clean_60,-33.068,0.00172224,95.3636,0.0985955
ABESUX_clean_36,-21.5944,2.02583e-05,371.716,0.101635
ABETAE_clean_36,-21.3501,1.9685e-05,375.52,0.098875
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-28.0982,0.000560957,674.032,0.107534
ABAVOP_clean_14,-7.84389,1.5551e-09,0,0.12008
ADIQEL_clean_14,-40.0456,0.0121819,4.99751,0.106271
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-22.0983,9.17043e-05,811.793,0.136605
ADAXEK_clean_12,-30.9624,0.000735246,230.485,0.107195
ABIXOZ_clean_2,-16.6457,3.54386e-06,262.721,0.160483
ACUBAB_clean_15,-24.7964,5.21779e-05,240.572,0.108056
ACALIB_clean_14,-25.8482,4.46453e-06,0,0.159047
ADABAK_15,-29.5104,1.39019e-05,0,0.110341
ACAKUM_14,-29.7122,8.93182e-05,2.91561,0.1531
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.8492,0.000175564,388.222,0.121492
ABEXUC_clean_33,-27.8237,7.64876e-05,45.7651,0.152959
ADEGIA_clean_2,-33.835,0.00109629,79.9921,0.129637
ABEYEN_clean_33,-28.3527,7.68873e-05,35.096,0.153626
ADABAK01_clean_2,-28.4047,1.39665e-05,0,0.121576
ABEXIQ_clean_33,-27.2927,7.25915e-05,53.7582,0.15438
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.9425,0.000235084,0.353874,0.126978
ABEYIR_clean_33,-28.5043,7.68321e-05,33.7758,0.155077
ABEFUL_clean_124,-42.0633,0.00883065,15.4798,0.126615
ABEYAJ_clean_33,-28.2381,7.91801e-05,42.0785,0.167119
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-52.6063,0.633255,1056.86,0.128026
ABEXOW_clean_33,-27.5344,7.4491e-05,46.9643,0.156497
ADEGIA01_clean_2,-34.1523,0.00107136,72.1265,0.127726
ABEXEM_clean_33,-26.8873,7.26337e-05,64.59,0.157167
ABEXEN_clean_192,-26.9597,0.000285741,579.029,0.1358
ABIYIV_56,-30.1579,7.75691e-05,0,0.173752
ACUTOI_clean_60,-32.6672,0.000819071,91.101,0.142354
ACAKUM_clean_14,-29.7199,8.94053e-05,1.05628,0.166102
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.9189,0.00968284,273.639,0.136932
ACAJIZ_clean_15,-28.256,0.000171049,175.404,0.178568
ADABIS_clean_2,-31.7207,2.26166e-05,0,0.150363
ACECIV_ion_b_14,-36.7329,0.000152026,0,0.174311
ABEYIR_33,-28.5074,7.68134e-05,32.2776,0.150717
ACAJOF_clean_56,-27.9847,0.000122621,211.12,0.17964
