Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ABAYOU_clean_225,-33.1157,0.000808797,3.04124
ABAYIO_clean_225,-33.4194,0.000855205,3.0714
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-20.4465,4.91097e-05,3.74268
ABEMIF_clean_221,-26.9792,0.000221254,3.87919
ABETAE_clean_36,-21.3418,1.9707e-05,5.83094
ABESUX_clean_36,-21.5835,2.02812e-05,5.87125
ABULOB_clean_60,-33.0642,0.00172268,8.14705
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-28.0964,0.000560832,8.3565
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-22.0972,9.17062e-05,9.26509
ABEXEN_clean_192,-26.954,0.000285726,9.84235
acscombsci.5b00188_5036495_clean_1,-13.3925,1.7007e-05,10.0557
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.8482,0.000175584,11.8728
ACUBAB_clean_15,-24.7961,5.21804e-05,12.2672
acscombsci.5b00188_5024922_clean_1,-14.4555,1.93183e-05,12.7195
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-52.6215,0.6329,12.7254
ADOGEH_clean_225,-40.0824,0.0102889,5.23382
ADAXEK_clean_12,-30.9612,0.000735335,13.9401
ADAVIM_clean_199,-27.7241,0.000178557,14.0035
ADATOQ_clean_199,-28.0842,0.000191776,14.9547
ADATUW_clean_199,-28.0439,0.000163934,15.1516
ADAVEI_clean_199,-28.4768,0.000199802,15.6215
ADAVAE_clean_199,-29.5665,0.00026286,15.673
acscombsci.5b00188_8372_clean_1,-18.4342,2.11067e-05,16.5888
ABIXOZ_clean_2,-16.6359,3.54702e-06,17.5937
ADIQEL_clean_14,-40.034,0.0121757,17.6126
acscombsci.5b00188_5020072_clean_1,-15.482,1.83691e-05,17.7857
ABEFUL_clean_124,-42.0534,0.00882643,18.345
ABUWOJ_clean_61,-27.6494,0.000296876,18.5089
AFEKAX_clean_123,-33.981,0.00206093,6.71981
ADEGIA_clean_2,-33.8312,0.00109617,19.4775
ADEGIA01_clean_2,-34.1534,0.00107164,19.6042
ADUWIH_clean_201,-21.7246,7.98172e-05,10.789
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.6836,0.000338586,21.8057
