Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
1499489-acs.cgd.6b01265_1499490_clean,0.000853516,8.28779e-06,-30.785767012617704,0.05564119073433518
ABAVIJ_clean,0.00312419,6.15176e-05,-41.17403072720075,0.019641574709839123
ABAVOP_clean,1.43997e-09,2.60445e-11,-7.451034776069254,0.06193069173505372
ABAYIO_clean,0.000333535,4.66459e-06,-32.84826461123276,0.04463985393478589
ABAYOU_clean,0.000326978,3.01026e-06,-32.589452928026404,0.02419649145696182
ABEFUL_clean,0.00610249,7.80482e-05,-41.84225754211303,0.03392334784789563
ABEMIF_clean,0.000172218,1.37379e-06,-25.35658600639202,0.021848393762361303
ABESUX_clean,1.45756e-05,6.02762e-08,-21.10183271252236,0.012326420830234351
ABETAE_clean,1.40466e-05,5.09139e-08,-20.90721745450746,0.012138845151750418
ABEXEM_clean,5.11504e-05,3.88444e-07,-26.44744536124453,0.03334619206446277
ABEXEN_clean,0.000138673,1.95473e-06,-25.420218495406484,0.04699787022040075
ABEXIQ_clean,4.99975e-05,4.43613e-07,-26.79091103841719,0.031405479952214856
ABEXOW_clean,5.07607e-05,4.56539e-07,-27.02231634456433,0.031066765139608682
ABEXUC_clean,5.16469e-05,6.80575e-07,-27.309797637736118,0.01907161178464615
ABEYAJ_clean,5.28626e-05,4.65328e-07,-27.699710029573303,0.02661147797150057
ABEYEN_clean,5.1044e-05,4.75864e-07,-27.831080929720613,0.02946766538778561
ABEYIR,5.0742e-05,3.3198e-07,-27.989648893222494,0.026020155732281634
ABEYIR_clean,5.05557e-05,9.21283e-07,-27.98571104342707,0.036072255876745535
ABIXOZ_clean,4.37549e-06,1.80239e-08,-16.128647229568145,0.013248232845644001
ABIYIV,6.63469e-05,1.25093e-06,-30.009502008251292,0.04083469743030553
ABIYIV_clean,6.63469e-05,1.25093e-06,-30.009502008251292,0.04083469744277723
ABULOB_clean,0.000919757,5.31272e-06,-32.68792788454316,0.015580689148676758
ABUWOJ_clean,0.00018733,1.40375e-06,-27.451053503655306,0.021772976986853935
ac403674p_si_001_clean,3.26697e-05,8.29587e-08,-21.18403222482997,0.02518164913727754
ACAJIY_clean,0.000550966,6.78595e-06,-35.466211311959995,0.010829828370262511
ACAJIZ_clean,0.00023698,1.00162e-06,-27.45914015750402,0.0182245592324299
ACAJOF_clean,0.000142564,1.31943e-06,-26.600519877047095,0.031001603325015326
ACAKUM,8.27433e-05,5.43318e-07,-29.465827304627414,0.01759785279125958
ACAKUM_clean,8.27433e-05,5.43318e-07,-29.465827304627414,0.01759785277629355
ACALIB_clean,3.6684e-06,6.25352e-08,-25.562939657136475,0.06374680376946432
ACECIV_ion_b,8.34291e-05,3.13148e-06,-36.512602632172296,0.06180326016198312
ACIBIY_clean,0.000103308,1.03047e-06,-28.69007319317383,0.01632552997405326
ACIBOE_clean,8.31069e-05,7.03685e-07,-22.791163698085263,0.024607875018732298
ACMPCD_clean,8.28687e-06,1.10181e-07,-21.744780098972296,0.016402289892795355
ACODED,0.00118903,1.23701e-05,-31.856570058731243,0.01713790525734501
ACODON_clean,0.000293414,3.08598e-06,-27.999222725190705,0.043069441927530344
ACODUT_clean,0.0757147,0.000835509,-47.77783360917929,0.020442044069284186
ACOGAB_clean,0.00113336,7.73421e-06,-32.668238483250086,0.015706573904941994
ACOGEF_clean,0.00101965,7.72025e-06,-32.663677735809785,0.022127692928724733
ACOLEL_clean,1.08054e-05,1.36547e-06,-34.14324250620015,0.2674993355162191
ACOLIP_clean,0.000692422,1.07667e-05,-33.29575725465427,0.03553701221932209
ACOLOV_clean,9.82284e-05,1.37348e-07,-22.264168495474628,0.009421762355924979
ACOLUB_clean,0.000173374,1.60245e-06,-26.164024673020783,0.026154168717179738
acs.cgd.5b01554_VAGNUP1452791_clean,6.53201e-05,4.06935e-07,-23.599315892535692,0.02551690701666034
acs.cgd.5b01686_WAHFUJ1434675_clean,0.000129919,8.90275e-07,-28.444759332976957,0.01240557887612626
acs.cgd.6b00163_UKEBOD1448508_clean,0.0126148,0.000172515,-43.52644976527222,0.014713093757674966
acs.chemmater.6b02817_cm6b02817_si_004_clean,8.29848e-05,1.85565e-07,-21.131610673125422,0.0095958079634344
acs.chemrev.6b00346_cr6b00346_si_001_clean,4.41916e-05,1.259e-07,-19.810317506073474,0.009458971268965803
acscombsci.5b00188_24205_clean,0.00178098,9.26158e-06,-31.113682727795887,0.007822456218353563
acscombsci.5b00188_34903_clean,0.00561143,1.93255e-05,-33.911839832330394,0.004993149210279141
acscombsci.5b00188_5013797_clean,6.96109e-05,5.48373e-07,-20.582129019393587,0.032825107037253186
acscombsci.5b00188_5020072_clean,1.20452e-05,3.77023e-08,-13.54389711886512,0.0111137351058367
acscombsci.5b00188_5024922_clean,9.86551e-06,4.14063e-08,-11.967363261574798,0.01763200932788465
acscombsci.5b00188_5036495_clean,1.08692e-05,2.12499e-08,-11.653960963529583,0.009090647857619422
acscombsci.5b00188_5040209_clean,0.000590112,3.60174e-06,-30.34322456815495,0.01760976185880458
acscombsci.5b00188_8372_clean,1.56511e-05,6.08495e-08,-17.85199773381302,0.01946750250768957
acs.inorgchem.5b02108_ic5b02108_si_002_clean,0.000498792,2.5548e-06,-26.96218757273783,0.012122307040400612
acs.inorgchem.5b02316_ic5b02316_si_002_clean,0.222109,0.00511444,-51.15217692786401,0.044983847733571176
acs.inorgchem.5b02378_ic5b02378_si_002_clean,3.38254e-05,6.68287e-07,-32.11178421918146,0.07809756502533936
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0.00305236,0.000162085,-44.73874004310625,0.10651784845194819
acs.inorgchem.6b00081_ic6b00081_si_001_clean,7.25288e-05,7.57529e-07,-25.336505084209676,0.029278146583635617
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0.000844965,9.36179e-06,-36.250934620538864,0.022405176544873638
