Structures,CPU_time (s)
1499489-acs.cgd.6b01265_1499490_clean,287.08
ABAVIJ_clean,143.74
ABAVOP_clean,134.45
ABAYIO_clean,143.31
ABAYOU_clean,138.06
ABEFUL_clean,125.76
ABEMIF_clean,99.2
ABESUX_clean,51.19
ABETAE_clean,51.65
ABEXEM_clean,104.2
ABEXEN_clean,160.59
ABEXIQ_clean,102.98
ABEXOW_clean,102.22
ABEXUC_clean,135.23
ABEYAJ_clean,136.9
ABEYEN_clean,141.64
ABEYIR,136.31
ABEYIR_clean,138.0
ABIXOZ_clean,89.64
ABIYIV,255.63
ABIYIV_clean,255.7
ABULOB_clean,67.43
ABUWOJ_clean,121.68
ac403674p_si_001_clean,135.59
ACAJIY_clean,211.87
ACAJIZ_clean,108.9
ACAJOF_clean,107.99
ACAKUM,182.18
ACAKUM_clean,185.01
ACALIB_clean,181.47
ACECIV_ion_b,139.21
ACIBIY_clean,199.81
ACIBOE_clean,98.89
ACMPCD_clean,120.33
ACODED,114.45
ACODON_clean,145.8
ACODUT_clean,177.31
ACOGAB_clean,147.07
ACOGEF_clean,146.68
ACOLEL_clean,290.72
ACOLIP_clean,128.87
ACOLOV_clean,134.44
ACOLUB_clean,165.38
acs.cgd.5b01554_VAGNUP1452791_clean,182.96
acs.cgd.5b01686_WAHFUJ1434675_clean,111.53
acs.cgd.6b00163_UKEBOD1448508_clean,209.59
acs.chemmater.6b02817_cm6b02817_si_004_clean,231.6
acs.chemrev.6b00346_cr6b00346_si_001_clean,113.13
acscombsci.5b00188_24205_clean,98.05
acscombsci.5b00188_34903_clean,100.89
acscombsci.5b00188_5013797_clean,93.89
acscombsci.5b00188_5020072_clean,52.72
acscombsci.5b00188_5024922_clean,55.66
acscombsci.5b00188_5036495_clean,36.74
acscombsci.5b00188_5040209_clean,83.53
acscombsci.5b00188_8372_clean,56.97
acs.inorgchem.5b02108_ic5b02108_si_002_clean,98.59
acs.inorgchem.5b02316_ic5b02316_si_002_clean,139.82
acs.inorgchem.5b02378_ic5b02378_si_002_clean,185.63
acs.inorgchem.5b02973_ic5b02973_si_002_clean,179.27
acs.inorgchem.6b00081_ic6b00081_si_001_clean,245.75
acs.inorgchem.6b00136_ic6b00136_si_002_clean,112.92
acs.inorgchem.6b00433_ic6b00433_si_002_clean,166.59
acs.inorgchem.6b00894_ic6b00894_si_002_clean,384.54
acs.inorgchem.6b00894_ic6b00894_si_003_clean,234.06
acs.inorgchem.6b01211_ic6b01211_si_002_clean,152.78
acs.inorgchem.6b01416_ic6b01416_si_004_clean,198.36
acs.inorgchem.6b01569_ic6b01569_si_002_clean,154.84
acs.inorgchem.6b02407_ic6b02407_si_002_clean,113.6
acs.inorgchem.6b02407_ic6b02407_si_003_clean,133.38
acs.inorgchem.6b02514_ic6b02514_si_002_clean,124.36
acs.jchemed.6b00258_ed6b00258_si_005_clean,122.98
acs.jpcc.6b04690_jp6b04690_si_005_clean,264.38
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,124.5
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,114.61
ACUBAB_clean,155.87
ACUTOI_clean,227.85
ADABAK01_clean,84.86
