Structure_name,Adsorbent_name,Acessible_average_energy,Minimum_energy,Boltzmann_average_energy
DITSIK_clean,Xe,-16.746382,-28.592267,-26.824907
cg900505v_si_002_clean,Xe,-33.617286,-33.617286,-33.617286
EHAGAX_clean,Xe,-16.324296,-24.014912,-22.913446
BEFMAC_clean,Xe,-27.999289,-40.644577,-39.628681
CAQCAZ_clean,Xe,-26.472165,-31.007025,-28.890274
cg900505v_si_004_clean,Xe,-36.365923,-36.365923,-36.365923
ATUXOE_clean,Xe,-17.987143,-33.122461,-30.850221
CARGEI_clean,Xe,-12.181428,-16.260736,-15.007986
EHAGEB_clean,Xe,-16.723394,-23.955745,-22.907886
DAFYER_clean,Xe,-25.258632,-33.483592,-31.775282
cg901114e_si_002_clean,Xe,-20.997983,-26.427114,-24.247325
DAFYOB_clean,Xe,-14.973848,-21.782897,-20.094911
EREFEN01_clean,Xe,-21.565628,-33.734377,-31.054835
BEFMOQ_clean,Xe,-24.248923,-33.763195,-31.882007
cg901128k_si_004_clean,Xe,-33.056176,-33.944245,-33.361516
ALICAA_clean,Xe,-17.169083,-25.670051,-24.593063
EHAGIF_clean,Xe,-16.627753,-24.252357,-23.202081
FELVID_clean,Xe,-26.997787,-30.636221,-29.432324
BORBEQ_clean,Xe,-22.584207,-34.215792,-32.285442
ATUXUK_clean,Xe,-16.423143,-33.024809,-31.085798
CASTEW_clean,Xe,-27.330492,-31.178254,-29.12227
DUTKAG_clean,Xe,-18.352955,-22.274241,-19.887821
CASWIE_clean,Xe,-16.041365,-32.416546,-30.333002
EHAGOL_clean,Xe,-16.212422,-24.222369,-23.208893
BEFMUW_clean,Xe,-20.402232,-32.496084,-30.540814
ALIFUY_clean,Xe,-19.758511,-38.362692,-37.176858
DITTEH_clean,Xe,-17.849061,-26.178617,-23.006375
CATART03_clean,Xe,,24.821833,25.688732
COTXIU_clean,Xe,-23.683301,-38.806003,-34.451987
EHAGUR_clean,Xe,-18.542027,-24.555552,-23.398722
ATUYAR_clean,Xe,-16.342232,-33.248718,-30.699712
DAGDIZ_clean,Xe,-21.442434,-29.748011,-26.587595
CICSOW01_clean,Xe,-21.715174,-42.924592,-42.230281
CAVMIW_clean,Xe,-5.861499,-8.593594,-8.113424
EHALOP_clean,Xe,-20.219391,-24.890958,-22.835157
EREFEN01_SL,Xe,-22.377339,-35.092705,-32.117323
FELVOJ_clean,Xe,-22.947366,-29.366086,-28.80326
ALIPEQ_clean,Xe,-1.203851,-1.206849,0.642539
DITXOU_clean,Xe,-15.658992,-25.435348,-24.072998
BEFNAD_clean,Xe,-16.194201,-27.439374,-26.011636
EHALOP_manual,Xe,-19.980374,-24.794204,-22.803734
EZOFOP_clean,Xe,-19.759365,-34.140478,-32.954153
DITYAH_clean,Xe,-16.822739,-17.262499,-16.89745
DITYEM_clean,Xe,-27.288375,-27.288857,-27.288375
CICSOW02_clean,Xe,-21.309474,-42.170662,-41.747375
BEFNEH_clean,Xe,-26.132224,-34.460991,-32.81059
BEFNIL_clean,Xe,-27.849211,-40.447734,-39.693281
DAGDUL_clean,Xe,-20.016499,-34.764216,-31.889726
ALIXAU_clean_h,Xe,-21.625845,-30.44111,-27.608217
FELVUP_clean,Xe,-25.951819,-30.45586,-29.459312
FOJLOH_clean,Xe,-18.770507,-28.060936,-25.254872
EZOFUV_clean,Xe,-12.378909,-21.641878,-19.66249
DITYOW_clean,Xe,-24.929358,-31.127561,-28.547882
ATUZEW_clean,Xe,-17.773742,-32.669846,-31.533804
1499489-acs.cgd.6b01265_1499490_clean,Xe,-17.830092,-31.544524,-28.84379
COTXOA_clean,Xe,-24.277339,-38.546503,-34.188506
BEFNOR_clean,Xe,-40.277282,-45.58842,-44.943218
BOSHIC_clean,Xe,-16.990512,-43.055145,-41.670817
EHEKUY_clean,Xe,-20.322794,-35.655526,-33.502566
EREGOY_clean,Xe,-17.426407,-24.475397,-20.852012
BOTLED_clean,Xe,,29.541709,30.229369
BEFNUX_clean,Xe,-29.842116,-32.854534,-32.279242
CICSOW_clean,Xe,-25.703171,-43.887616,-42.571827
CICYIX_clean,Xe,,43.129474,43.75245
ABAVIJ_clean,Xe,-25.274186,-38.545086,-36.682524
ALIXOJ_clean,Xe,-15.728947,-23.648916,-20.672301
DAGJED_clean,Xe,-24.048581,-34.614964,-30.937407
EZUCIM_clean,Xe,-19.861203,-29.950916,-27.528118
EHIHEI_clean,Xe,-12.716032,-19.805068,-18.69321
ABAVOP_clean,Xe,,4.137154,5.127272
FELWAW_clean,Xe,-28.839944,-31.870136,-30.576616
ALIXUP_clean,Xe,-12.561795,-19.007498,-16.959697
BEFPAF_clean,Xe,-26.226248,-34.957524,-31.600121
ERELIX_clean,Xe,-25.953474,-33.407008,-31.535642
EHIHOU_clean,Xe,-2.754454,-4.936049,-4.03114
DAHNOQ_clean,Xe,-14.466177,-22.175998,-20.787343
CIDKUX_clean,Xe,-15.019881,-30.186331,-28.025844
EZUCOS_clean,Xe,-25.173057,-30.600863,-28.964911
COVJAA_clean,Xe,-15.318374,-27.415574,-25.789118
EHIPOC_clean,Xe,-17.03868,-24.478435,-23.577913
