MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
0,0.00000,0.00000
1000,3.25000,3.25000
2000,9.12500,9.12500
3000,17.12500,17.12500
4000,30.75000,30.75000
5000,37.12500,37.12500
6000,40.87500,40.87500
7000,41.12500,41.12500
8000,42.87500,42.87500
9000,42.50000,42.50000
10000,42.75000,42.75000
11000,43.50000,43.50000
12000,43.00000,43.00000
13000,43.62500,43.62500
14000,44.75000,44.75000
15000,45.25000,45.25000
16000,45.50000,45.50000
17000,45.37500,45.37500
18000,46.37500,46.37500
19000,46.12500,46.12500
20000,45.62500,45.62500
21000,46.50000,46.50000
22000,46.62500,46.62500
23000,46.75000,46.75000
24000,46.62500,46.62500
25000,46.25000,46.25000
26000,47.12500,47.12500
27000,46.50000,46.50000
28000,45.50000,45.50000
29000,45.62500,45.62500
30000,45.75000,45.75000
31000,46.37500,46.37500
32000,45.87500,45.87500
33000,45.62500,45.62500
34000,45.12500,45.12500
35000,45.62500,45.62500
36000,45.37500,45.37500
37000,46.37500,46.37500
38000,46.37500,46.37500
39000,47.00000,47.00000
40000,46.87500,46.87500
41000,47.25000,47.25000
42000,46.50000,46.50000
43000,46.25000,46.25000
44000,47.25000,47.25000
45000,47.12500,47.12500
46000,46.37500,46.37500
47000,47.12500,47.12500
48000,45.75000,45.75000
49000,45.87500,45.87500
50000,47.12500,47.12500
51000,46.62500,46.62500
52000,46.75000,46.75000
53000,45.75000,45.75000
54000,46.00000,46.00000
55000,45.12500,45.12500
56000,46.12500,46.12500
57000,45.87500,45.87500
58000,45.87500,45.87500
59000,45.50000,45.50000
60000,45.37500,45.37500
61000,45.75000,45.75000
62000,45.75000,45.75000
63000,45.12500,45.12500
64000,45.75000,45.75000
65000,46.50000,46.50000
66000,46.25000,46.25000
67000,46.87500,46.87500
68000,46.25000,46.25000
69000,46.12500,46.12500
70000,47.00000,47.00000
71000,47.62500,47.62500
72000,47.12500,47.12500
73000,46.12500,46.12500
74000,46.75000,46.75000
75000,47.37500,47.37500
76000,47.00000,47.00000
77000,47.12500,47.12500
78000,47.00000,47.00000
79000,47.25000,47.25000
80000,46.25000,46.25000
81000,47.00000,47.00000
82000,46.37500,46.37500
83000,45.37500,45.37500
84000,46.12500,46.12500
85000,46.62500,46.62500
86000,46.25000,46.25000
87000,46.12500,46.12500
88000,45.87500,45.87500
89000,46.75000,46.75000
90000,45.87500,45.87500
91000,45.62500,45.62500
92000,46.25000,46.25000
93000,45.75000,45.75000
94000,46.37500,46.37500
95000,46.62500,46.62500
96000,46.12500,46.12500
97000,46.00000,46.00000
98000,45.87500,45.87500
99000,45.37500,45.37500
100000,45.00000,45.00000
101000,44.25000,44.25000
102000,44.25000,44.25000
103000,45.00000,45.00000
104000,45.50000,45.50000
105000,45.62500,45.62500
106000,45.87500,45.87500
107000,45.62500,45.62500
108000,45.75000,45.75000
109000,45.50000,45.50000
110000,45.12500,45.12500
111000,44.87500,44.87500
112000,45.25000,45.25000
113000,44.75000,44.75000
114000,45.25000,45.25000
115000,45.25000,45.25000
116000,45.12500,45.12500
117000,44.50000,44.50000
118000,46.37500,46.37500
119000,46.37500,46.37500
120000,45.62500,45.62500
121000,47.12500,47.12500
122000,46.75000,46.75000
123000,46.50000,46.50000
124000,46.75000,46.75000
125000,46.12500,46.12500
126000,46.62500,46.62500
127000,46.62500,46.62500
128000,46.00000,46.00000
129000,45.50000,45.50000
130000,46.00000,46.00000
131000,46.75000,46.75000
132000,45.75000,45.75000
133000,48.37500,48.37500
134000,46.12500,46.12500
135000,46.75000,46.75000
136000,46.62500,46.62500
137000,46.62500,46.62500
138000,46.87500,46.87500
139000,47.12500,47.12500
140000,47.37500,47.37500
141000,46.62500,46.62500
142000,46.87500,46.87500
143000,46.87500,46.87500
144000,46.25000,46.25000
145000,47.12500,47.12500
146000,47.12500,47.12500
147000,47.12500,47.12500
148000,47.25000,47.25000
149000,47.00000,47.00000
150000,46.50000,46.50000
151000,46.37500,46.37500
152000,46.75000,46.75000
153000,46.62500,46.62500
154000,47.12500,47.12500
155000,47.00000,47.00000
156000,47.00000,47.00000
157000,48.25000,48.25000
158000,48.12500,48.12500
159000,48.12500,48.12500
160000,47.00000,47.00000
161000,46.37500,46.37500
162000,47.37500,47.37500
163000,46.75000,46.75000
164000,47.00000,47.00000
165000,46.37500,46.37500
166000,46.37500,46.37500
167000,46.00000,46.00000
168000,46.12500,46.12500
169000,45.50000,45.50000
170000,44.62500,44.62500
171000,45.00000,45.00000
172000,45.50000,45.50000
173000,45.87500,45.87500
174000,45.50000,45.50000
175000,45.12500,45.12500
176000,45.75000,45.75000
177000,46.50000,46.50000
178000,45.75000,45.75000
179000,45.75000,45.75000
180000,46.50000,46.50000
181000,46.12500,46.12500
182000,47.00000,47.00000
183000,46.37500,46.37500
184000,45.75000,45.75000
185000,46.62500,46.62500
186000,47.12500,47.12500
187000,46.50000,46.50000
188000,45.75000,45.75000
189000,46.12500,46.12500
190000,46.25000,46.25000
191000,46.50000,46.50000
192000,46.37500,46.37500
193000,46.50000,46.50000
194000,46.62500,46.62500
195000,45.87500,45.87500
196000,45.37500,45.37500
197000,45.62500,45.62500
198000,44.62500,44.62500
199000,44.50000,44.50000
200000.0,45.12500,45.1250000000
201000.0,45.25000,45.2500000000
202000.0,45.25000,45.2500000000
203000.0,45.62500,45.6250000000
204000.0,45.37500,45.3750000000
205000.0,45.62500,45.6250000000
206000.0,45.37500,45.3750000000
207000.0,45.12500,45.1250000000
208000.0,45.50000,45.5000000000
209000.0,45.75000,45.7500000000
210000.0,46.37500,46.3750000000
211000.0,46.62500,46.6250000000
212000.0,46.12500,46.1250000000
213000.0,46.12500,46.1250000000
214000.0,46.37500,46.3750000000
215000.0,47.12500,47.1250000000
216000.0,46.37500,46.3750000000
217000.0,45.75000,45.7500000000
218000.0,47.00000,47.0000000000
219000.0,46.00000,46.0000000000
220000.0,45.50000,45.5000000000
221000.0,45.62500,45.6250000000
222000.0,45.87500,45.8750000000
223000.0,45.12500,45.1250000000
224000.0,45.62500,45.6250000000
225000.0,45.87500,45.8750000000
226000.0,45.25000,45.2500000000
227000.0,45.25000,45.2500000000
228000.0,45.62500,45.6250000000
229000.0,45.87500,45.8750000000
230000.0,45.25000,45.2500000000
231000.0,45.75000,45.7500000000
232000.0,45.12500,45.1250000000
233000.0,45.75000,45.7500000000
234000.0,45.50000,45.5000000000
235000.0,46.12500,46.1250000000
236000.0,45.62500,45.6250000000
237000.0,45.00000,45.0000000000
238000.0,46.00000,46.0000000000
239000.0,45.62500,45.6250000000
240000.0,44.62500,44.6250000000
241000.0,44.87500,44.8750000000
242000.0,45.00000,45.0000000000
243000.0,45.37500,45.3750000000
244000.0,45.37500,45.3750000000
245000.0,45.75000,45.7500000000
246000.0,46.00000,46.0000000000
247000.0,46.37500,46.3750000000
248000.0,45.50000,45.5000000000
249000.0,46.25000,46.2500000000
250000.0,45.87500,45.8750000000
251000.0,46.75000,46.7500000000
252000.0,47.00000,47.0000000000
253000.0,45.87500,45.8750000000
254000.0,46.00000,46.0000000000
255000.0,45.62500,45.6250000000
256000.0,46.25000,46.2500000000
257000.0,46.62500,46.6250000000
258000.0,46.75000,46.7500000000
259000.0,46.37500,46.3750000000
260000.0,46.62500,46.6250000000
261000.0,46.25000,46.2500000000
262000.0,47.25000,47.2500000000
263000.0,46.37500,46.3750000000
264000.0,46.37500,46.3750000000
265000.0,46.62500,46.6250000000
266000.0,46.00000,46.0000000000
267000.0,46.37500,46.3750000000
268000.0,47.37500,47.3750000000
269000.0,46.37500,46.3750000000
270000.0,46.62500,46.6250000000
271000.0,46.25000,46.2500000000
272000.0,46.00000,46.0000000000
273000.0,45.62500,45.6250000000
274000.0,45.87500,45.8750000000
275000.0,46.37500,46.3750000000
276000.0,46.25000,46.2500000000
277000.0,46.25000,46.2500000000
278000.0,47.00000,47.0000000000
279000.0,46.75000,46.7500000000
280000.0,46.50000,46.5000000000
281000.0,46.62500,46.6250000000
282000.0,45.75000,45.7500000000
283000.0,46.37500,46.3750000000
284000.0,46.37500,46.3750000000
285000.0,46.50000,46.5000000000
286000.0,45.00000,45.0000000000
287000.0,45.87500,45.8750000000
288000.0,45.37500,45.3750000000
289000.0,45.25000,45.2500000000
290000.0,44.75000,44.7500000000
291000.0,45.12500,45.1250000000
292000.0,44.87500,44.8750000000
293000.0,44.75000,44.7500000000
294000.0,45.50000,45.5000000000
295000.0,45.00000,45.0000000000
296000.0,46.12500,46.1250000000
297000.0,46.62500,46.6250000000
298000.0,46.62500,46.6250000000
299000.0,46.62500,46.6250000000
