MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
0,0.00000,0.00000
1000,1.00000,1.00000
2000,1.50000,1.50000
3000,0.62500,0.62500
4000,0.75000,0.75000
5000,0.75000,0.75000
6000,0.12500,0.12500
7000,0.75000,0.75000
8000,1.12500,1.12500
9000,0.75000,0.75000
10000,1.00000,1.00000
11000,2.00000,2.00000
12000,1.62500,1.62500
13000,2.87500,2.87500
14000,3.37500,3.37500
15000,2.50000,2.50000
16000,1.50000,1.50000
17000,0.62500,0.62500
18000,0.62500,0.62500
19000,0.25000,0.25000
20000,0.62500,0.62500
21000,0.25000,0.25000
22000,0.25000,0.25000
23000,0.62500,0.62500
24000,0.62500,0.62500
25000,0.00000,0.00000
26000,0.37500,0.37500
27000,0.75000,0.75000
28000,0.50000,0.50000
29000,0.25000,0.25000
30000,0.12500,0.12500
31000,0.25000,0.25000
32000,0.75000,0.75000
33000,0.12500,0.12500
34000,0.87500,0.87500
35000,0.25000,0.25000
36000,1.00000,1.00000
37000,0.25000,0.25000
38000,0.12500,0.12500
39000,0.62500,0.62500
40000,0.25000,0.25000
41000,0.25000,0.25000
42000,0.37500,0.37500
43000,2.12500,2.12500
44000,3.50000,3.50000
45000,2.75000,2.75000
46000,2.75000,2.75000
47000,2.25000,2.25000
48000,1.50000,1.50000
49000,1.87500,1.87500
50000,2.50000,2.50000
51000,2.37500,2.37500
52000,2.25000,2.25000
53000,2.00000,2.00000
54000,2.62500,2.62500
55000,3.00000,3.00000
56000,2.87500,2.87500
57000,3.37500,3.37500
58000,3.62500,3.62500
59000,3.87500,3.87500
60000,4.37500,4.37500
61000,4.62500,4.62500
62000,4.50000,4.50000
63000,4.37500,4.37500
64000,5.37500,5.37500
65000,4.62500,4.62500
66000,5.00000,5.00000
67000,5.12500,5.12500
68000,6.00000,6.00000
69000,5.75000,5.75000
70000,6.50000,6.50000
71000,7.62500,7.62500
72000,7.12500,7.12500
73000,6.75000,6.75000
74000,6.50000,6.50000
75000,6.00000,6.00000
76000,6.62500,6.62500
77000,6.25000,6.25000
78000,6.37500,6.37500
79000,6.87500,6.87500
80000,6.37500,6.37500
81000,6.25000,6.25000
82000,6.87500,6.87500
83000,7.12500,7.12500
84000,5.62500,5.62500
85000,5.37500,5.37500
86000,6.25000,6.25000
87000,6.87500,6.87500
88000,6.12500,6.12500
89000,5.87500,5.87500
90000,6.25000,6.25000
91000,5.75000,5.75000
92000,7.12500,7.12500
93000,6.12500,6.12500
94000,8.00000,8.00000
95000,8.12500,8.12500
96000,9.50000,9.50000
97000,9.50000,9.50000
98000,10.87500,10.87500
99000,9.62500,9.62500
100000,10.50000,10.50000
101000,9.12500,9.12500
102000,8.37500,8.37500
103000,8.50000,8.50000
104000,9.62500,9.62500
105000,11.12500,11.12500
106000,11.25000,11.25000
107000,9.75000,9.75000
108000,8.87500,8.87500
109000,9.87500,9.87500
110000,10.87500,10.87500
111000,9.75000,9.75000
112000,10.87500,10.87500
113000,8.87500,8.87500
114000,9.25000,9.25000
115000,9.25000,9.25000
116000,11.00000,11.00000
117000,10.12500,10.12500
118000,9.50000,9.50000
119000,8.75000,8.75000
120000,8.37500,8.37500
121000,9.62500,9.62500
122000,9.62500,9.62500
123000,9.87500,9.87500
124000,8.87500,8.87500
125000,9.50000,9.50000
126000,9.87500,9.87500
127000,9.87500,9.87500
128000,10.25000,10.25000
129000,11.87500,11.87500
130000,12.37500,12.37500
131000,12.12500,12.12500
132000,13.37500,13.37500
133000,10.62500,10.62500
134000,10.87500,10.87500
135000,10.75000,10.75000
136000,12.62500,12.62500
137000,13.25000,13.25000
138000,13.62500,13.62500
139000,14.62500,14.62500
140000,15.12500,15.12500
141000,15.37500,15.37500
142000,16.50000,16.50000
143000,16.75000,16.75000
144000,17.75000,17.75000
145000,17.00000,17.00000
146000,18.12500,18.12500
147000,19.62500,19.62500
148000,18.87500,18.87500
149000,20.37500,20.37500
150000,21.37500,21.37500
151000,20.87500,20.87500
152000,22.37500,22.37500
153000,22.00000,22.00000
154000,22.12500,22.12500
155000,23.62500,23.62500
156000,25.50000,25.50000
157000,25.37500,25.37500
158000,22.62500,22.62500
159000,24.00000,24.00000
160000,25.00000,25.00000
161000,25.37500,25.37500
162000,25.75000,25.75000
163000,26.87500,26.87500
164000,28.62500,28.62500
165000,29.62500,29.62500
166000,30.87500,30.87500
167000,32.37500,32.37500
168000,34.75000,34.75000
169000,33.37500,33.37500
170000,34.25000,34.25000
171000,35.00000,35.00000
172000,35.00000,35.00000
173000,35.50000,35.50000
174000,36.75000,36.75000
175000,36.62500,36.62500
176000,37.37500,37.37500
177000,37.37500,37.37500
178000,37.75000,37.75000
179000,38.62500,38.62500
180000,38.50000,38.50000
181000,38.25000,38.25000
182000,38.37500,38.37500
183000,37.12500,37.12500
184000,38.00000,38.00000
185000,37.87500,37.87500
186000,38.00000,38.00000
187000,38.62500,38.62500
188000,39.00000,39.00000
189000,37.87500,37.87500
190000,38.25000,38.25000
191000,38.00000,38.00000
192000,38.25000,38.25000
193000,37.37500,37.37500
194000,37.50000,37.50000
195000,38.00000,38.00000
196000,36.50000,36.50000
197000,37.50000,37.50000
198000,38.62500,38.62500
199000,38.37500,38.37500
200000.0,39.12500,39.1250000000
201000.0,38.12500,38.1250000000
202000.0,37.87500,37.8750000000
203000.0,38.62500,38.6250000000
204000.0,38.37500,38.3750000000
205000.0,37.75000,37.7500000000
206000.0,38.75000,38.7500000000
207000.0,38.87500,38.8750000000
208000.0,38.62500,38.6250000000
209000.0,38.62500,38.6250000000
210000.0,37.50000,37.5000000000
211000.0,37.87500,37.8750000000
212000.0,36.87500,36.8750000000
213000.0,37.50000,37.5000000000
214000.0,36.62500,36.6250000000
215000.0,34.75000,34.7500000000
216000.0,37.00000,37.0000000000
217000.0,37.37500,37.3750000000
218000.0,37.87500,37.8750000000
219000.0,37.37500,37.3750000000
220000.0,38.00000,38.0000000000
221000.0,36.87500,36.8750000000
222000.0,37.62500,37.6250000000
223000.0,37.75000,37.7500000000
224000.0,39.12500,39.1250000000
225000.0,38.25000,38.2500000000
226000.0,37.87500,37.8750000000
227000.0,39.12500,39.1250000000
228000.0,39.50000,39.5000000000
229000.0,39.50000,39.5000000000
230000.0,37.37500,37.3750000000
231000.0,37.00000,37.0000000000
232000.0,37.87500,37.8750000000
233000.0,38.37500,38.3750000000
234000.0,38.50000,38.5000000000
235000.0,38.37500,38.3750000000
236000.0,38.75000,38.7500000000
237000.0,38.75000,38.7500000000
238000.0,37.50000,37.5000000000
239000.0,39.00000,39.0000000000
240000.0,40.25000,40.2500000000
241000.0,38.50000,38.5000000000
242000.0,39.25000,39.2500000000
243000.0,37.25000,37.2500000000
244000.0,38.25000,38.2500000000
245000.0,37.37500,37.3750000000
246000.0,36.87500,36.8750000000
247000.0,39.25000,39.2500000000
248000.0,38.50000,38.5000000000
249000.0,37.87500,37.8750000000
250000.0,39.50000,39.5000000000
251000.0,37.50000,37.5000000000
252000.0,37.75000,37.7500000000
253000.0,37.37500,37.3750000000
254000.0,38.37500,38.3750000000
255000.0,38.37500,38.3750000000
256000.0,37.00000,37.0000000000
257000.0,38.50000,38.5000000000
258000.0,39.25000,39.2500000000
259000.0,38.75000,38.7500000000
260000.0,37.25000,37.2500000000
261000.0,39.75000,39.7500000000
262000.0,38.50000,38.5000000000
263000.0,39.25000,39.2500000000
264000.0,38.00000,38.0000000000
265000.0,36.87500,36.8750000000
266000.0,35.12500,35.1250000000
267000.0,36.75000,36.7500000000
268000.0,36.87500,36.8750000000
269000.0,37.50000,37.5000000000
270000.0,36.87500,36.8750000000
271000.0,38.25000,38.2500000000
272000.0,38.37500,38.3750000000
273000.0,38.00000,38.0000000000
274000.0,39.50000,39.5000000000
275000.0,38.37500,38.3750000000
276000.0,38.12500,38.1250000000
277000.0,37.87500,37.8750000000
278000.0,36.12500,36.1250000000
279000.0,38.00000,38.0000000000
280000.0,38.50000,38.5000000000
281000.0,38.37500,38.3750000000
282000.0,36.87500,36.8750000000
283000.0,37.37500,37.3750000000
284000.0,37.12500,37.1250000000
285000.0,39.37500,39.3750000000
286000.0,37.50000,37.5000000000
287000.0,37.87500,37.8750000000
288000.0,36.87500,36.8750000000
289000.0,38.25000,38.2500000000
290000.0,38.00000,38.0000000000
291000.0,37.25000,37.2500000000
292000.0,37.50000,37.5000000000
293000.0,38.00000,38.0000000000
294000.0,36.12500,36.1250000000
295000.0,38.25000,38.2500000000
296000.0,38.37500,38.3750000000
297000.0,37.87500,37.8750000000
298000.0,38.37500,38.3750000000
299000.0,38.50000,38.5000000000
