MC_cycle,Potentiel_energy (kJ/mol)
0.0,-97419.39257054197
1.0,-97586.80221083964
2.0,-97716.89034426276
3.0,-97754.81098294379
4.0,-97809.25273558467
5.0,-97851.07927308649
6.0,-97856.48317110288
7.0,-97874.83323920044
8.0,-97875.25429634946
9.0,-97877.40715794191
10.0,-97880.35101674256
11.0,-97889.51887835385
12.0,-97892.27439967263
13.0,-97893.51367625834
14.0,-97894.16138382794
15.0,-97898.21121449537
16.0,-97906.16700798464
17.0,-97907.93207271045
18.0,-97913.8275467803
19.0,-97911.47032611369
20.0,-97912.07938639172
21.0,-97910.55930097848
22.0,-97912.62234047207
23.0,-97915.62275475413
24.0,-97924.30756443112
25.0,-97919.46587354684
26.0,-97927.46959543301
27.0,-97926.80329672775
28.0,-97930.3798533286
29.0,-97927.59084541284
30.0,-97928.3186584492
31.0,-97926.66735551937
32.0,-97926.66735551937
33.0,-97930.74809735685
34.0,-97930.74809735685
35.0,-97934.93765063788
36.0,-97932.81998555614
37.0,-97934.5582274736
38.0,-97932.78173983443
39.0,-97940.12053554146
40.0,-97940.12053554146
41.0,-97940.12053554146
42.0,-97940.49919670809
43.0,-97951.67471580453
44.0,-97956.10517405678
45.0,-97956.56159974096
46.0,-97954.01495406593
47.0,-97949.13218097358
48.0,-97945.56074674195
49.0,-97955.60285866067
50.0,-97955.60285866067
51.0,-97950.14400335304
52.0,-97950.14400335304
53.0,-97955.16888217439
54.0,-97962.26514647638
55.0,-97962.26514647638
56.0,-97962.62269396526
57.0,-97964.74813461278
58.0,-97963.36074043208
59.0,-97961.75363094595
60.0,-97962.0326434708
61.0,-97961.96722165987
62.0,-97960.90167483885
63.0,-97962.48216311644
64.0,-97965.95546969007
65.0,-97964.75458840551
66.0,-97966.49178879056
67.0,-97966.49178879056
68.0,-97968.50032841618
69.0,-97970.74184785852
70.0,-97971.26197464607
71.0,-97971.66963399996
72.0,-97972.9784776503
73.0,-97972.3889139519
74.0,-97972.34001958136
75.0,-97968.34403382611
76.0,-97968.34403382611
77.0,-97959.44765076118
78.0,-97958.6384599889
79.0,-97958.2860028956
80.0,-97968.67660152697
81.0,-97969.21727277189
82.0,-97969.21727277189
83.0,-97962.84091589239
84.0,-97964.58243062328
85.0,-97963.02594613252
86.0,-97963.15943777357
87.0,-97964.22827189838
88.0,-97964.61861534047
89.0,-97967.53608726918
90.0,-97963.7145372501
91.0,-97961.70117212523
92.0,-97961.70117212523
93.0,-97963.85075436332
94.0,-97963.71392142554
95.0,-97967.41246718296
96.0,-97966.4611312895
97.0,-97966.94780948597
98.0,-97967.77174477732
99.0,-97966.91303910891
100.0,-97966.91303910891
101.0,-97967.32681570367
102.0,-97968.95643682482
103.0,-97970.41970785546
104.0,-97969.41069833157
105.0,-97969.24680091954
106.0,-97970.16269987184
107.0,-97970.16269987184
108.0,-97969.67945609184
109.0,-97973.58464585221
110.0,-97977.2565208043
111.0,-97973.64170867798
112.0,-97972.99785033673
113.0,-97969.463818572
114.0,-97960.13100905788
115.0,-97960.86170525439
116.0,-97962.11900025737
117.0,-97962.11900025737
118.0,-97968.88034563576
119.0,-97967.96140378382
120.0,-97967.96140378382
121.0,-97967.96140378382
122.0,-97967.96140378382
123.0,-97965.80486911567
124.0,-97974.88294236537
125.0,-97974.92828865333
126.0,-97974.39840576699
127.0,-97974.51639927132
128.0,-97984.2444690382
129.0,-97984.2444690382
130.0,-97982.48059540044
131.0,-97982.60089573165
132.0,-97982.57969616751
133.0,-97980.79343310214
134.0,-97980.2484021721
135.0,-97979.36692742504
136.0,-97978.82373861925
137.0,-97969.00156953832
