MC_cycle,Potentiel_energy (kJ/mol)
0.0,-153605.37709052706
1.0,-153985.76514174964
2.0,-154070.70731866852
3.0,-154102.5956159603
4.0,-154150.45651674346
5.0,-154165.52190855282
6.0,-154167.6825035621
7.0,-154169.36958288823
8.0,-154192.16281654435
9.0,-154218.85750927508
10.0,-154218.85750927508
11.0,-154211.47929246078
12.0,-154227.40879689873
13.0,-154273.6809580234
14.0,-154277.85025889525
15.0,-154287.50652652298
16.0,-154296.61016231595
17.0,-154296.60923404
18.0,-154296.16669854932
19.0,-154292.40133943324
20.0,-154295.14277311877
21.0,-154293.82125943978
22.0,-154293.68267692212
23.0,-154298.06355706658
24.0,-154297.15948714665
25.0,-154296.89759457423
26.0,-154297.79391347055
27.0,-154295.80224362228
28.0,-154297.48950291294
29.0,-154298.02159037607
30.0,-154296.65821180644
31.0,-154293.59611384344
32.0,-154292.97954439852
33.0,-154293.4835124263
34.0,-154293.4835124263
35.0,-154295.2260765442
36.0,-154296.35306005878
37.0,-154296.35306005878
38.0,-154292.94064744608
39.0,-154293.34051241138
40.0,-154294.96996951534
41.0,-154297.37517018552
42.0,-154296.60024483578
43.0,-154298.10439643098
44.0,-154299.73534118207
45.0,-154301.0802894848
46.0,-154297.94811195257
47.0,-154293.64338822392
48.0,-154285.11330005986
49.0,-154284.27648750166
50.0,-154290.90631474394
51.0,-154290.38932956854
52.0,-154290.38932956854
53.0,-154287.54862017912
54.0,-154288.82294474263
55.0,-154293.56453699933
56.0,-154292.6350850906
57.0,-154293.7004328715
58.0,-154288.47699068204
59.0,-154288.47699068204
60.0,-154291.2496362455
61.0,-154291.12538633478
62.0,-154289.01836397985
63.0,-154289.45720666388
64.0,-154289.40215299724
65.0,-154286.21079132403
66.0,-154284.35763372705
67.0,-154286.8972101235
68.0,-154284.9841592214
69.0,-154284.74596307016
70.0,-154284.68615308288
71.0,-154284.68615308288
72.0,-154286.54170108942
73.0,-154279.49104559023
74.0,-154279.89446722294
75.0,-154293.43455740303
76.0,-154293.43455740303
