,Structures,unique_chemcomp,Diffusion_coefficient_log10,Framework Mass (g/mol),Framework Density (kg/m^3),ASA_m2/cm3_1.2,PO_VF_2.0,D_f_vdw_uff298,D_if_vdw_uff298,Adsorption_enthalpy,barrier_kjmol,delta_LCD_PLD,1D_chan,2D_chan,3D_chan
0,KAXQIL_clean,H8C434O186S31Ca31,-7.57780493637307,1377.412272142262,1552.224165363545,973.767,0.1686,4.12367,5.20635,-44.626,18.5,1.0826799999999999,1,0,0
1,KAXQOR01_clean,H8C434O186S31Ca31,-8.485724936187118,1377.412272142262,1567.686917486993,981.878,0.1595,4.01809,5.08007,-45.4436,24.000000000000004,1.0619800000000001,1,0,0
2,QUXRAE_clean,H8C434O186S31Ca31,-8.095107466984684,1377.412272142266,1562.600472885802,976.907,0.1611,4.06468,5.12246,-44.8696,19.9,1.0577800000000002,1,0,0
3,QUWYEO_clean,H8C434O186S31Ca31,-8.312825519714439,1377.412272142266,1568.608085024015,958.141,0.157,4.01519,5.07956,-45.1771,22.0,1.0643700000000003,1,0,0
4,QUXREI_clean,H8C434O186S31Ca31,-8.08283210766219,1377.412272142266,1562.88590518527,976.16,0.1581,4.04191,5.09893,-44.9464,20.599999999999998,1.0570200000000005,1,0,0
5,LIDZUV_clean,H8C434O186S31Ca31,-7.6810337686562296,1377.412272142262,1547.147763281996,992.627,0.1682,4.12893,5.2097,-44.4855,18.7,1.0807699999999993,1,0,0
6,QUXROS_clean,H8C434O186S31Ca31,-8.21508923098493,1377.412272142266,1564.457400556831,967.235,0.1599,4.0289,5.09052,-44.9757,21.200000000000003,1.0616199999999996,1,0,0
7,QUXQUX_clean,H8C434O186S31Ca31,-6.978349240459534,1377.412272142266,1551.833870252605,973.481,0.1693,4.20024,5.27021,-44.1188,14.899999999999999,1.0699699999999996,1,0,0
8,OKAYAC_clean,H8C434O186S31Ca31,-8.618479017324988,1377.412272142266,1566.436859772467,963.081,0.1488,3.94112,5.0031,-45.2397,25.5,1.0619799999999997,1,0,0
9,TONWUO_clean,H40C1224N204O408Zn51,-5.582341169302013,4624.048576243596,1300.077152029159,1201.54,0.1109,4.25714,4.71473,-46.0701,10.299999999999997,0.4575900000000006,1,0,0
12,GOMREG_clean,O4Al51P51,-7.862658158750195,1463.435039622261,1734.248857567706,1727.2,0.3171,4.0154,5.75164,-44.6696,21.0,1.7362400000000004,1,0,0
13,FIPWOS_clean,H12C279N124O93Zn31,-6.806114685978966,579.251335668503,1290.298035737141,1871.35,0.2714,4.03705,5.4157,-37.5947,13.599999999999998,1.3786500000000004,1,0,0
15,FIPXAF_clean,H12C279N124O93Zn31,-5.932404571331755,579.251335668503,1347.453773161426,1638.94,0.2579,4.20011,4.85234,-39.4416,10.900000000000002,0.6522300000000003,1,0,0
16,CEYPUT01_clean,H408C612N102O204Co1,-7.588119620498375,606.273155848971,1228.243348214957,2027.94,0.3452,4.14033,5.45736,-37.3476,18.099999999999998,1.3170300000000008,1,0,0
17,HEBKEG_clean,H11C279N62O93Cl31Cd31,-7.564674624109492,1372.240579077074,1568.085979065684,1824.22,0.2758,4.18579,5.45368,-35.2753,18.8,1.2678900000000004,1,0,0
18,XUNSOQ_clean,H204Li1C306N51O102,-5.167020429479531,1032.333832696307,1014.128843785164,1972.87,0.3272,4.7641,5.56148,-34.7756,4.299999999999997,0.7973800000000004,1,0,0
19,VOHQIS_clean,H2O867F102P204Ga204,-7.198761270975873,2859.159522869378,2105.852719230145,2542.28,0.367,3.91458,5.69497,-40.2656,17.200000000000003,1.7803899999999997,1,0,0
20,KETHEY02_clean,H7C403N31O124Cd31,-7.242576853154576,1414.444108224251,1491.422502980952,1919.3,0.2877,3.83944,5.49237,-36.1549,18.200000000000003,1.65293,1,0,0
21,KETHEY01_clean,H7C403N31O124Cd31,-7.19320553214131,1414.444108224251,1486.877405627368,1945.55,0.2774,3.85095,5.50115,-36.0313,17.599999999999998,1.6502,1,0,0
22,KETHEY_clean,H7C403N31O124Cd31,-7.202210185630039,1414.444108224248,1481.942016139234,1912.67,0.2973,3.85824,5.51129,-35.8522,17.299999999999997,1.65305,1,0,0
23,SIVWUR_clean,H11C589N31O124Cd31,-6.467647420389149,1718.82882180893,1722.042340747937,1032.45,0.1478,4.10177,5.21847,-42.7685,13.7,1.1166999999999998,1,0,0
24,CEYPUT_clean,H248C372N62O124Co1,-7.196350861889187,606.273155848971,1206.675381000334,2024.39,0.3525,4.23159,5.6011,-36.6213,15.200000000000003,1.36951,1,0,0
26,NADNEM_clean,H9C561N102P17Ag17,-8.973855153067621,2585.80326677535,1118.134827136796,1962.84,0.2835,3.89432,6.4965,-36.787,29.60004,2.60218,0,0,1
27,GUMDEZ_clean,H10C310N124O62S31Zn31,-4.128937646917294,1262.743618124083,1353.437640574603,2011.47,0.356,5.128,5.50991,-37.2072,1.8000000000000043,0.3819099999999995,1,0,0
28,ZASTUK_clean,H310C434O186Mn1,-6.776945557508223,1316.65673902577,1234.331002490098,2003.56,0.2944,4.25169,5.69457,-34.3876,12.400000000000002,1.4428799999999997,1,0,0
30,IBUDOZ_clean,H4C186N155Cu31,-5.712734205529252,838.702936748919,1489.166409736997,1804.98,0.2668,4.28162,5.14083,-34.8968,7.399999999999999,0.85921,1,0,0
31,HAJMEL_clean,H806C682N310S62Fe1,-8.77567324156335,1651.45320462482,1330.219494739987,743.957,0.1287,3.99476,6.11723,-34.3056,32.300019999999996,2.1224700000000003,1,0,0
32,UFATEA01_clean,H248C372N62O124Ni1,-6.2056759014691005,605.793468973867,1220.309750379464,2047.22,0.3686,4.48891,5.76758,-37.24,9.899999999999999,1.27867,1,0,0
33,HULTEN_clean,H8O816P204Zn153,-7.361615368426491,4673.401885193612,1692.183429484393,2797.73,0.3772,4.00996,5.36093,-32.704,14.8,1.3509699999999993,1,0,0
35,QADBII_clean,H13C408O102Sn51,-5.160320365067683,2079.184281155143,1425.850380371787,1461.86,0.1566,4.28398,4.98481,-37.5878,6.0,0.7008300000000007,1,0,0
36,SEMFEX_charged,H1071C1071N510O306P102Cl51Co1,-5.539980368794581,2663.157308731811,1271.696424880791,1151.25,0.2932,4.40555,5.93027,-37.2332,9.000000000000004,1.5247200000000003,1,0,0
39,RAFNUH_clean,H16C1428N204Ag51,-3.0377034310442133,4130.580966908272,1322.465353424539,1106.62,0.1528,4.82607,4.92058,-37.6376,0.29999999999999716,0.09451000000000054,1,0,0
40,BAEDTA01_clean,H2C85N17O68Ba17,-4.452122093055037,4502.920620195845,2142.477538053737,793.432,0.159,4.6357,5.69169,-47.7332,2.5,1.0559900000000004,1,0,0
41,MISQIQ_clean,H2O306F102Al102P51,-3.649810248920422,662.837869201723,2081.966284365012,1538.22,0.2582,4.4781,4.62058,-51.8632,0.8999999999999986,0.14247999999999994,1,0,0
42,MISQIQ03_clean,H2O306F102Al102P51,-3.7832697017424053,662.837869201723,2070.34288614475,1546.34,0.2609,4.48859,4.63243,-51.5617,0.8999999999999986,0.14383999999999997,1,0,0
43,PEQRUZ_clean,H372C744O248Na62Co1,-4.637722591850203,2133.043699944563,1197.13723348213,1995.68,0.3701,5.37429,6.04934,-34.2734,2.3999999999999986,0.6750499999999997,1,0,0
44,MISQIQ02_clean,H2O186F62Al62P31,-3.690766686458197,662.837869201723,2083.379040153077,1583.42,0.2573,4.47701,4.6237,-51.8004,0.8999999999999986,0.14669000000000043,1,0,0
45,QOZDOY_clean,H12C496N62O124Zn31,-4.1695387936617925,1446.747270460441,1162.447334528171,1981.96,0.3589,5.02894,5.62156,-37.1049,1.7000000000000028,0.5926199999999993,1,0,0
46,MISQIQ06_clean,H2O306F102Al102P51,-3.6571235800012367,662.837869201723,2085.04703109634,1556.21,0.2502,4.47554,4.61784,-51.7479,0.8999999999999986,0.14230000000000054,1,0,0
48,MISQIQ07_clean,H2O306F102Al102P51,-3.7158143071566294,662.837869201723,2082.175786852945,1606.3,0.2433,4.4779,4.61796,-51.7013,0.8999999999999986,0.14006000000000007,1,0,0
49,MISQIQ05_clean,H2O186F62Al62P31,-3.733931920984831,662.837869201723,2081.550084975057,1545.06,0.2502,4.4839,4.62652,-51.6679,0.8999999999999986,0.14261999999999997,1,0,0
50,GIVHIC_clean,H1836C1836N306S306Ni1,-5.882113810370379,4822.767921999842,1015.228715276139,2408.94,0.264,4.17544,5.79013,-36.8334,13.299999999999997,1.6146900000000004,0,0,1
51,MISQIQ01_clean,H2O306F102Al102P51,-3.8314425739986846,662.837869201723,2082.829392516208,1524.06,0.2574,4.47541,4.61763,-51.6855,0.8999999999999986,0.14222,1,0,0
52,EYOQAL,H558C682N124O124Co1,-3.7541662763852184,1845.347003418848,1142.282313841301,1673.7,0.305,5.89912,6.40885,-41.8419,2.5,0.5097300000000002,1,0,0
53,TAWHOO_clean,H1O714Al153P153,-7.065597313196095,3190.924084109773,1864.93455780626,2135.05,0.1893,4.0073,4.7292,-44.0236,17.3,0.7218999999999998,1,0,0
54,MISQIQ04_clean,H2O306F102Al102P51,-3.718145453648267,662.837869201723,2081.967033103776,1540.94,0.2578,4.47768,4.61909,-51.7903,0.8999999999999986,0.1414099999999996,1,0,0
56,XISKUF_clean,O17Al124P124,-6.689553180584605,2015.244339204869,1937.865204405123,1803.38,0.1891,3.95654,4.69374,-45.7597,16.6,0.7372000000000001,1,0,0
