Structures,finished,Diffusion_coefficient,r2,Diffusion_coefficient_log
PADHIM_clean,0.0,5.903890762815044e-12,-9.574731123234624,-11.228861686677144
BUBDIL_clean,0.0,8.09319244894288e-08,0.9972735945126081,-7.091880132346827
IVOLEM_clean,0.0,7.888213201812185e-12,-11.801925837206815,-11.103021359841787
IVOLIQ_clean,0.0,9.576001200162823e-12,-20.92744932433076,-11.018815808171398
BIJJOV_clean,0.0,1.1143469685098313e-11,-12.040798032869606,-10.952979564056783
ZISXOQ_clean,0.0,8.657931347066404e-12,-1.9455182522740553,-11.062585862240631
c5ce00923e_c5ce00923e2_clean,1.0,1.4436249108778236e-11,-10.738364886181792,-10.840545632456646
CAHQOS_clean,1.0,2.1854393415451164e-10,-5.3268679798853675,-9.660461243165555
NICZAA_clean,0.0,1.0572490207795001e-11,-5.330858618022016,-10.97582270842297
FIJGEK_clean,1.0,1.041554029793118e-11,-8.992469392982576,-10.982318196448459
AQIXUU_clean,1.0,1.0664244079210432e-11,-7.940600054663312,-10.972069923511569
OPEGIA_clean,1.0,2.4545773699866806e-11,-11.435494251402716,-10.610023274084094
FALQOA_clean,1.0,1.3420745774295084e-11,-9.054859991428701,-10.872223350287596
FALQIU_clean,0.0,1.530106747490635e-11,-9.072185595321086,-10.815278269686349
LEVPEJ_clean,0.0,1.4704962509940534e-06,0.867380007560425,-5.832536078382121
FALQEQ_clean,1.0,1.0572758740496682e-11,-19.57264572693331,-10.975811677834411
KAXQIL_clean,1.0,2.6435958633743042e-08,0.9981432479476542,-7.57780493637307
KAXQOR01_clean,1.0,3.2679474465261496e-09,0.9751357123127238,-8.485724936187118
QUXRAE_clean,1.0,8.033273127374251e-09,0.9143848780952293,-8.095107466984684
QUWYEO_clean,0.0,4.866026618212628e-09,0.9936880491126963,-8.312825519714439
QUXREI_clean,1.0,8.263573463428787e-09,0.9721988005536607,-8.08283210766219
LIDZUV_clean,1.0,2.0843288093836308e-08,0.99095680542586,-7.6810337686562296
QUXROS_clean,1.0,6.094116734741617e-09,0.9622024718426715,-8.21508923098493
QUXQUX_clean,1.0,1.0511162725442555e-07,0.9722693706613799,-6.978349240459534
QUXRUY_clean,1.0,1.0246827266023056e-09,0.8917541155174018,-8.989410584769889
ncomms11831_ncomms11831-s2_clean,1.0,2.707482115547671e-10,0.47523105410011457,-9.567434403454115
OKAYIK_clean,1.0,1.434024689314875e-09,0.6667686973186389,-8.843443371443039
OKAYEG_clean,1.0,1.3956805297463362e-11,-27.916186568780216,-10.85521398002683
OKAYAC_clean,1.0,2.4072488210102767e-09,0.9124097823319957,-8.618479017324988
DAYCAI_clean,1.0,3.155855532605464e-11,-39.18395266848336,-10.500882885953212
XULFOA_clean,1.0,7.130244555970155e-12,-7.322760245917552,-11.146895574287415
VABJUE_clean,1.0,8.813012110779645e-09,0.9702519481663605,-8.05487563307303
XEKJUT_clean,1.0,0.00010879093684376306,0.9977270587397423,-3.963407283339045
NETRIN_clean,1.0,4.5901636828731737e-11,-0.9298746086530951,-10.338171827469028
VABKAL_clean,1.0,7.333576381284286e-07,0.9906648855165453,-6.134684180356349
FASFOX_clean,1.0,1.1576193253128943e-11,-7.868579037602869,-10.936434231710464
PUFNUB_clean,1.0,1.0487794809929391e-11,-5.326320158508415,-10.979315818055875
FASGEO_clean,1.0,1.4266113773651298e-11,-13.096497497315275,-10.845694316760596
RALZEL_clean,1.0,1.2814490676830792e-11,-4.2635150737094545,-10.892298650551735
TONWUO_clean,0.0,2.6161270463193974e-06,0.9257018014074337,-5.582341169302013
FASFUD_clean,1.0,1.3808423396684112e-11,-6.758726411126595,-10.859855904999051
FASGAK_clean,1.0,1.5033520598953454e-11,-2.015678627687518,-10.822939303002306
ABEFUL_clean,1.0,1.1502575194882735e-11,-12.916306648238141,-10.93920491897463
XUGWAZ_clean,1.0,1.2155218847828022e-11,-12.06145004798402,-10.915237217524185
UQUCUG_clean,1.0,1.3046478296681399e-11,-10.967235020814213,-10.884506703860307
HUWDEJ_clean,1.0,2.027930681692003e-11,-2.666298185654167,-10.692946894049335
YULBAJ_clean,1.0,1.2340373304662428e-11,-17.28675471041504,-10.908671702401419
LIDZOP_clean,1.0,1.2129310634930583e-06,0.9821566851336591,-5.916163881404927
BEFLIJ_clean,1.0,1.0359667369222135e-11,-13.56908312643589,-10.984654188802223
LEZZEX_clean,1.0,1.4588525049502515e-06,0.9823486056368104,-5.835988614565946
MAPFOY_clean,1.0,1.671374257047311e-11,-1.3480014407817937,-10.776926291236931
YUZCED_clean,1.0,3.395057665437599e-11,-1.2830453842983118,-10.469152844780046
GOMREG_clean,1.0,1.3719612374349601e-08,0.9182389616986097,-7.862658158750195
FIPWOS_clean,1.0,1.5627349101362224e-07,0.986314672074659,-6.806114685978966
EFEGEC_clean,1.0,3.7514484306379313e-06,0.9857886127968698,-5.425801019210702
XEKJON_clean,1.0,2.1544164773932926e-10,-9.525173797055459,-9.666670338015773
IRAJIV_clean,1.0,2.3858151346318287e-11,-4.601376873402764,-10.622363210757756
IWOSUJ01_clean,1.0,8.021698656064407e-12,-5.204566087713418,-11.095733656797968
OQEPEG_clean,0.0,1.4956356019970773e-07,0.986926400107311,-6.825174205481679
JAVTAC_clean,1.0,2.4607525051928726e-06,0.9963181117540495,-5.608932064084332
IWAHUK_clean,0.0,7.758669028418666e-07,0.5713400343064123,-6.110212773998293
LETVUB_clean,1.0,9.950963635161395e-12,-12.260521174089176,-11.002134860845329
FIDMEL01_clean,1.0,5.828519884368525e-12,-4.351712266478108,-11.234441717567346
IWOTAQ_clean,1.0,8.836531681847326e-12,-18.049059907052328,-11.05371816111821
YAGRON_clean,1.0,3.647259753864263e-10,-2.5795062024539925,-9.438033305605135
IXIKOR_clean,0.0,2.1507640368345112e-08,0.884962818958728,-7.667407234020706
MUHPAI_clean,0.0,2.1459742304775626e-09,0.7138494510584827,-8.668375497481247
HEGKAP_clean,0.0,5.822761239200824e-06,0.9956897060606801,-5.234871017658331
XEKJIH_clean,1.0,0.00017957980713965443,0.9583511695100605,-3.7457424991879527
EXAPEA_clean,1.0,1.4208955827856346e-11,-7.822140074581149,-10.84743783585593
WEMJII_charged,0.0,9.47507125798202e-12,-13.969758016469205,-11.023417515203477
WARFAY01_clean,0.0,5.544211725132063e-06,0.9977724399327278,-5.256160193024537
WARFIG_clean,0.0,5.153687154056721e-06,0.9920410269107494,-5.287881948103811
WEHNAA_SL_part,1.0,7.529265105123685e-12,-35.989735197693896,-11.123247411098758
LULXOG_clean,0.0,6.91261585786265e-12,-13.300267225798363,-11.160357576698635
YEYLUJ_clean,0.0,2.6853791073285796e-11,-6.803333644209958,-10.570994394285277
FIPWUY_clean,1.0,7.242983592105255e-06,0.9740738380298715,-5.140082498627287
NOMQAJ01_clean,1.0,7.580554296078148e-11,-4.8426155867211875,-10.120299037253597
SROXAL01_clean,1.0,2.0151499236938932e-11,-9.697548125140349,-10.6956926375572
IXIKOR01_clean,0.0,1.2321546073132072e-08,0.5154398745281448,-7.909334794695764
FIPXAF_clean,1.0,1.1684104395541124e-06,0.9969864155520582,-5.932404571331755
LENGES_clean,0.0,5.600520183635924e-06,0.9928743690990127,-5.251771633281158
