Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
1499489-acs.cgd.6b01265_1499490_clean,11.22682,4.14827,10.672
ABAVIJ_clean,4.68728,2.64421,4.06599
ABAVOP_clean,3.9003,2.54831,3.89559
ABAYIO_clean,11.79229,4.65138,11.75377
ABAYOU_clean,11.65779,4.8412,11.65779
ABEFUL_clean,4.98982,3.45383,4.98982
ABEMIF_clean,11.6312,6.93259,11.6312
ABESUX_clean,6.56922,4.80532,6.56566
ABETAE_clean,6.52632,4.80089,6.52492
ABETIN_clean,9.84732,7.94922,9.83897
ABEXEM_clean,5.20127,4.52769,5.20127
ABEXEN_clean,18.9212,14.08401,18.9212
ABEXIQ_clean,5.18951,4.46983,5.17157
ABEXOW_clean,5.15645,4.42387,5.1496
ABEXUC_clean,5.12959,4.38958,5.12138
ABEYAJ_clean,5.11851,4.32181,5.10698
ABEYEN_clean,5.09335,4.28586,5.03461
ABEYIR_clean,5.091,4.24045,5.03629
ABEYIR,5.08462,4.25918,5.03584
ABIXOZ_clean,7.2319,5.48041,7.1837
ABIYIV_clean,4.40975,3.93579,4.40975
ABIYIV,4.40975,3.93579,4.40975
ABULOB_clean,5.11962,4.35004,5.11962
ABUWOJ_clean,5.3765,4.39632,5.23566
ac403674p_si_001_clean,8.59183,8.42538,8.59183
ACAJIY_clean,5.05179,3.57481,5.05179
ACAJIZ_clean,6.20931,5.76326,6.20931
ACAJOF_clean,6.8868,6.12764,6.8868
ACAKUM_clean,4.78865,3.50362,4.77455
ACAKUM,4.78865,3.50362,4.77455
ACALIB_clean,4.22246,2.88363,4.20186
ACECIV_ion_b,4.49238,3.33401,4.49216
ACIBIY_clean,5.45651,3.88946,5.45651
ACIBOE_clean,8.6256,7.40668,8.6256
ACMPCD_clean,6.01983,4.92533,6.01983
ACOCOM_clean,25.1338,13.05712,25.1338
ACOCUS_clean,24.97175,13.24503,24.97175
ACODAZ_clean,25.22935,13.14191,25.22934
ACODED,6.25032,4.03393,6.24132
ACODON_clean,7.38629,4.72129,7.38629
ACODUT_clean,5.71964,3.40149,5.71964
ACOGAB_clean,5.38315,3.94797,5.07981
ACOGEF_clean,5.4361,3.98911,5.4235
ACOLEL_clean,4.09719,2.80586,4.03837
ACOLIP_clean,5.06895,3.68357,4.9652
ACOLOV_clean,8.74593,5.88405,8.71518
ACOLUB_clean,7.65295,5.10938,7.65152
acs.cgd.5b01554_VAGNUP1452791_clean,6.23844,5.18794,5.99754
acs.cgd.5b01686_WAHFUJ1434675_clean,5.25088,4.22992,5.25088
acs.cgd.6b00163_UKEBOD1448508_clean,5.08256,2.70376,5.07956
acs.cgd.6b00463_OLOMUZ1451936_clean,10.45217,8.1689,10.44717
acs.chemmater.5b03723_cm5b03723_si_004_clean,13.68399,7.36255,13.20879
acs.chemmater.5b03723_cm5b03723_si_005_clean,14.25101,7.47191,14.25101
acs.chemmater.6b02817_cm6b02817_si_004_clean,10.75192,5.98974,9.09226
acs.chemrev.6b00346_cr6b00346_si_001_clean,9.56697,4.34274,9.56697
acscombsci.5b00188_24205_clean,5.70991,5.22204,5.70475
acscombsci.5b00188_3001288_clean,29.50256,23.62319,29.50256
acscombsci.5b00188_34903_clean,6.48879,6.20586,6.48879
acscombsci.5b00188_5013797_clean,9.85948,6.73467,9.77053
acscombsci.5b00188_5020072_clean,14.74615,12.21701,14.74615
acscombsci.5b00188_5024922_clean,20.59387,16.17637,20.59387
acscombsci.5b00188_5036495_clean,11.04491,9.11933,11.04491
acscombsci.5b00188_5040209_clean,7.77465,5.81638,7.64692
acscombsci.5b00188_8372_clean,6.14562,4.85305,6.14029
acs.inorgchem.5b02108_ic5b02108_si_002_clean,7.57784,7.45535,7.57582
acs.inorgchem.5b02316_ic5b02316_si_002_clean,10.49946,5.88432,10.49946
acs.inorgchem.5b02378_ic5b02378_si_002_clean,4.20969,3.9489,4.19622
acs.inorgchem.5b02973_ic5b02973_si_002_clean,11.80033,10.84897,11.80033
acs.inorgchem.6b00081_ic6b00081_si_001_clean,7.30854,5.83714,7.30834
acs.inorgchem.6b00136_ic6b00136_si_002_clean,7.66328,7.2318,7.66328
acs.inorgchem.6b00276_ic6b00276_si_006_clean,14.14308,8.7382,14.13963
acs.inorgchem.6b00433_ic6b00433_si_002_clean,6.24338,4.89253,6.0692
acs.inorgchem.6b00894_ic6b00894_si_002_clean,6.82039,4.61303,5.8567
acs.inorgchem.6b00894_ic6b00894_si_003_clean,5.60422,3.14172,5.54434
acs.inorgchem.6b01211_ic6b01211_si_002_clean,11.83365,4.77483,11.83365
acs.inorgchem.6b01416_ic6b01416_si_004_clean,6.9766,3.73032,6.9766
acs.inorgchem.6b01569_ic6b01569_si_002_clean,6.52073,5.49788,6.52073
acs.inorgchem.6b01740_ic6b01740_si_002_clean,16.04787,8.41846,16.00671
acs.inorgchem.6b01762_ic6b01762_si_002_clean,11.78761,8.90419,11.78761
acs.inorgchem.6b02407_ic6b02407_si_002_clean,6.74668,4.1471,6.73764
acs.inorgchem.6b02407_ic6b02407_si_003_clean,6.631,4.63918,6.43032
acs.inorgchem.6b02413_ic6b02413_si_002_clean,13.40013,6.96959,13.40013
acs.inorgchem.6b02514_ic6b02514_si_002_clean,6.28281,5.6569,6.28281
acs.inorgchem.6b02696_ic6b02696_si_002_clean,12.50861,5.34598,12.49652
acs.jchemed.6b00258_ed6b00258_si_005_clean,4.57231,3.33789,4.57231
acs.jpcc.6b04690_jp6b04690_si_005_clean,7.39607,4.84119,7.39586
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,8.52033,4.44818,8.52033
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,15.08364,8.13303,15.08078
ACUBAB_clean,6.85262,4.68059,6.62012
ACUFEK_clean,15.57909,9.03179,15.57909
ACUJOZ_clean5b,11.87807,8.36396,11.81235
ACUJOZ_manual,11.87807,8.36396,11.81235
ACUTOI_clean,5.28989,4.71365,5.28661
ADABAK01_clean,4.37398,3.64441,4.37301
ADABAK,3.98884,3.50507,3.98884
ADABIS_clean,4.07739,3.07629,4.076
ADABUE_clean,4.57231,3.33789,4.57231
ADARAA_clean,12.64915,5.6255,12.64915
ADASAB_charged,23.20217,13.51296,23.18567
ADASEF_clean,21.99159,11.20564,16.3284
ADASIJ_clean,18.60677,6.97395,18.58145
ADASOP_clean,18.43312,6.894,18.43312
ADASUV_clean,17.36038,7.11068,17.36038
ADATAC_clean,26.70322,10.35581,16.7457
ADATEG_clean5b,27.36064,13.36186,27.36064
ADATEG_manual,27.36064,13.36186,27.36064
ADATIK_clean,25.01074,12.19708,18.80786
ADATOQ_clean,10.60939,9.2117,10.60939
ADATUW_clean,10.42708,9.03618,10.42708
ADAVAE_clean,10.27514,8.96419,10.27514
ADAVEI_clean,10.21175,8.88209,10.21175
ADAVIM_clean,10.40606,9.0946,10.40606
ADAXEK_clean,6.16786,4.32229,6.16726
ADAXIO_clean,6.07842,5.18338,6.06426
ADEGIA01_clean,5.17751,3.24008,5.15674
ADEGIA_clean,5.23898,3.23456,5.22519
ADIQEL_clean,4.70874,3.95674,4.68412
ADOBAX_charged,5.94104,4.14686,5.94104
ADOBAX,5.96761,4.14198,5.84103
ADOBEB_charged,5.9014,4.14887,5.755
ADOBIF_clean,5.94546,4.21764,5.85347
ADOBOL_charged,5.91566,4.25038,5.91566
ADOBOL_clean,5.91566,4.25038,5.91566
ADOBUR_charged,5.86683,4.2581,5.85643
ADOCAY_charged,5.8374,4.25455,5.75813
ADOCEC_clean,5.80687,4.22175,5.7028
