Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
1499489-acs.cgd.6b01265_1499490_clean,2631.5,0.0,2631.5
ABAVIJ_clean,1294.79,0.0,1294.79
ABAVOP_clean,1191.4,0.0,1191.4
ABAYIO_clean,3282.17,0.0,3282.17
ABAYOU_clean,3278.91,0.0,3278.91
ABEFUL_clean,1159.07,189.587,1348.657
ABEMIF_clean,1525.09,782.211,2307.301
ABESUX_clean,2709.23,0.0,2709.23
ABETAE_clean,2768.09,0.0,2768.09
ABEXEM_clean,2222.8,0.0,2222.8
ABEXEN_clean,1826.64,108.926,1935.566
ABEXIQ_clean,2212.41,0.0,2212.41
ABEXOW_clean,2191.37,0.0,2191.37
ABEXUC_clean,2156.1,0.0,2156.1
ABEYAJ_clean,2174.35,0.0,2174.35
ABEYEN_clean,2153.73,0.0,2153.73
ABEYIR,2145.29,0.0,2145.29
ABEYIR_clean,2153.66,0.0,2153.66
ABIXOZ_clean,2930.76,0.0,2930.76
ABIYIV,1183.65,52.5625,1236.2125
ABIYIV_clean,1196.09,54.9769,1251.0668999999998
ABULOB_clean,2591.78,0.0,2591.78
ABUWOJ_clean,3046.97,0.0,3046.97
ACAJIY_clean,2276.88,0.177337,2277.057337
ACAJIZ_clean,1429.35,0.0,1429.35
ACAJOF_clean,1572.35,0.0,1572.35
ACAKUM,1722.64,0.0,1722.64
ACAKUM_clean,1725.72,0.0,1725.72
ACALIB_clean,1724.13,0.0,1724.13
ACECIV_ion_b,549.362,0.0,549.362
ACIBIY_clean,2003.93,0.0,2003.93
ACIBOE_clean,2718.24,0.0,2718.24
ACMPCD_clean,1459.62,31.5979,1491.2178999999999
ACODED,2325.46,0.0,2325.46
ACODON_clean,2588.47,0.0,2588.47
ACODUT_clean,1927.52,0.0,1927.52
ACOGAB_clean,2525.1,0.0,2525.1
ACOGEF_clean,2449.61,0.0,2449.61
ACOLEL_clean,299.061,86.2948,385.3558
ACOLIP_clean,2528.19,0.0,2528.19
ACOLOV_clean,2739.84,0.0,2739.84
ACOLUB_clean,2354.55,0.0,2354.55
ACUBAB_clean,1847.31,37.4875,1884.7975
ACUTOI_clean,1454.02,0.0,1454.02
ADABAK01_clean,768.896,338.455,1107.3509999999999
ADABAK,728.904,15.4874,744.3914
ADABIS_clean,640.356,249.748,890.104
ADABUE_clean,1661.29,0.0,1661.29
ADASIJ_clean,2385.88,0.0,2385.88
ADASOP_clean,2406.32,0.0,2406.32
ADASUV_clean,2486.93,0.0,2486.93
ADATOQ_clean,2443.72,0.0,2443.72
ADATUW_clean,2501.7,0.0,2501.7
ADAVAE_clean,2542.58,0.0,2542.58
ADAVEI_clean,2529.14,0.0,2529.14
ADAVIM_clean,2481.54,0.0,2481.54
ADAXEK_clean,2125.85,0.0,2125.85
ADAXIO_clean,1922.71,0.0,1922.71
ADEGIA01_clean,2456.66,0.0,2456.66
ADEGIA_clean,2307.53,0.0,2307.53
ADIQEL_clean,1901.76,0.0,1901.76
ADOBAX,2009.96,0.0,2009.96
ADOBAX_charged,2012.4,0.0,2012.4
ADOBEB_charged,2011.4,0.0,2011.4
ADOBIF_clean,2604.94,50.9766,2655.9166
ADOBOL_charged,1682.78,218.286,1901.066
ADOBOL_clean,1684.11,211.477,1895.587
ADOBUR_charged,1889.8,0.0,1889.8
ADOCAY_charged,1891.79,0.0,1891.79
ADOCEC_clean,2632.32,64.4187,2696.7387000000003
ADOCIG_charged,1913.79,0.0,1913.79
ADODAA_charged,2859.64,0.0,2859.64
ADODII_clean,2008.89,0.0,2008.89
ADODOO_clean,1897.75,0.0,1897.75
ADODUU_clean,1873.75,0.0,1873.75
ADOGEH_clean,2761.32,0.0,2761.32
ADUWIH_clean,2755.96,0.0,2755.96
AFEDIA_clean,895.452,86.4192,981.8712
AFEJOK_ion_b,2461.72,0.0,2461.72
AFEKAX_clean,3362.76,0.0,3362.76
AFENEE_clean,1920.55,0.0,1920.55
AFIPAH_clean,2569.43,0.0,2569.43
AFITEP_clean,2195.47,0.0,2195.47
AFITIT_clean,2112.63,34.4927,2147.1227
AFITUF_clean,2077.18,31.2987,2108.4786999999997
AFIXAO_clean,2132.45,1.44318,2133.89318
AFIXES_clean,2109.59,0.229089,2109.819089
AFOQUI_clean,1910.65,0.0,1910.65
AFOTOF_clean,2309.15,0.0,2309.15
AFOTUL_clean,2307.87,0.0,2307.87
AFOVAT_clean,2275.26,0.0,2275.26
AFOVEX_clean,2316.15,0.0,2316.15
AFOVIB_clean,2300.45,0.293447,2300.743447
AFOVOH_clean,2339.92,0.0,2339.92
AFOYAW_clean,2889.13,0.0,2889.13
AFOYEB_clean,1147.97,0.0,1147.97
AFOYIE_clean,2852.94,0.0,2852.94
AFOYOK_clean,2535.36,0.0,2535.36
AFUKAP_clean,2335.55,0.0,2335.55
AFUKET_clean,2274.32,258.496,2532.8160000000003
AFUKIX_clean,2625.14,0.0,2625.14
