name,G_BKS,K_BKS,G_Catlow,K_Catlow,G_Gale,K_Gale,G_Sastre,K_Sastre,G_Matsui,K_Matsui
ABW,172.2797739,66.65493772,39.92675509,83.49779651,22.86423007,90.02396902,35.69886102,88.02038496,83.77435247,57.79938976
AEI,17.12702704,87.12598915,22.20728251,74.77172952,21.53420202,79.04497357,16.2363655,75.44036033,14.51234159,70.70550116
AEL,28.08316047,80.89603729,36.38629358,51.59100052,35.69822102,58.01427591,27.9484384,51.79259375,24.65077863,78.08614696
AEN,29.28163987,102.207099,34.22934314,88.30707355,33.38198559,97.88409141,25.58756414,90.9215699,23.75214362,83.55549383
AET,24.64154021,75.1698629,23.33087539,41.24323371,26.96429738,53.52301226,21.35659234,58.6153822,18.30986235,66.38082811
AFG,19.16198066,123.5459039,22.22548395,106.7407885,24.75659763,112.8641666,18.94344974,110.8670532,17.24439947,100.0274488
AFI,29.28626036,107.4802594,36.00790458,93.5646373,33.53907106,100.7183839,29.47695213,94.44953408,24.90883437,90.4360319
AFN,41.21474823,62.6455822,22.25448455,40.33726194,22.87638276,50.76932437,17.43169333,39.24469731,12.90862705,31.03318193
AFO,85.26776806,60.55568141,30.72641009,62.49688868,2.888373264,58.39694042,23.95566302,61.83227785,35.86939329,72.23437822
AFR,14.51296808,53.62915178,19.01816734,56.62885846,19.09667369,61.57714936,14.52913834,55.90796169,11.91741585,45.14050148
AFS,14.70826102,63.7452,17.79762597,67.87307549,17.64132381,68.69350557,13.04121517,67.14311332,12.13778502,52.00809912
AFT,15.13071039,55.97588241,22.03269092,72.09112954,21.34038316,75.7578109,16.1772804,72.99136652,12.95235028,47.18806296
AFX,15.07155662,48.05408966,22.14628569,71.31402191,21.4589268,75.07201431,16.27653318,72.36342505,13.00918318,46.57848388
AFY,14.15268228,51.80032354,15.81227962,53.05713806,15.20749949,55.00546938,10.97399822,53.14131678,11.49368639,43.00611413
AHT,34.03634085,64.47072012,34.0336287,78.0052554,35.66882886,77.85646716,27.53219041,77.0223836,27.85458279,53.28293318
ANA,29.49237405,111.6378667,39.89192781,108.1910667,39.43439593,111.0968333,31.2349276,103.2389,25.58985824,91.15876667
APC,21.90696395,54.5708481,26.80599708,71.94692257,26.12544416,77.78570904,20.02797851,73.31885853,17.69973896,47.14213157
