name,g_vrh,k_vrh,uni_anis,density,energy,spg,volume,SiOSi_average,SiOSi_gmean,SiOSi_hmean,SiOSi_max,SiOSi_mean,SiOSi_min,SiOSi_skew,SiOSi_std,SiOSi_var,SiO_average,SiO_gmean,SiO_hmean,SiO_max,SiO_mean,SiO_min,SiO_skew,SiO_std,SiO_var,ASA,AV,NASA,NAV,VolFrac,largest_free_sphere,largest_included_sphere,largest_included_sphere_free,max_dim,min_dim,mode_dim
NAB,35.43564207,64.60922075,-0.128618027,1.519663623,39.03946792,119,21.88473913,144.2600963,143.9082016,143.5637201,156.7088019,144.2600963,135.6495925,0.407382359,10.16575625,103.3426001,1.632863751,1.632861723,1.632859695,1.635792786,1.632863751,1.629175591,-0.028921114,0.002573529,6.62E-06,0,0.0361266,70.0771,0,0.0549,3.2477,3.92508,3.92497,3,3,[3]
VFI,29.07748639,57.12726593,0.150166447,1.362181988,18.82528498,193,24.41483021,161.4994769,160.3408908,159.1310565,180,161.4994769,135.2937455,-0.605283254,18.83720523,354.8403009,1.625129983,1.625129494,1.625129004,1.626022764,1.625129983,1.623346277,-0.707106084,0.001261271,1.59E-06,747.896,0.185718,0,0,0.25298,11.57999,11.89661,11.89661,1,1,[1]
LIO,28.84095655,88.44106426,-0.682493706,1.641146271,8.151734082,187,20.26476404,161.5411963,161.3925286,161.2490522,177.5709649,161.5411963,154.9483409,1.258590217,7.052360816,49.73579307,1.616075064,1.616074856,1.616074648,1.616852059,1.616075064,1.614943795,-0.556148147,0.000820648,6.73E-07,0,0,339.337,0.0415565,0,2.07561,5.77178,5.77178,0,0,[0]
NAT,22.35560706,78.64248968,4.113057564,1.567890032,24.52841711,141,21.21159091,153.0446112,152.4845705,151.9687549,180,153.0446112,144.1491581,1.425260414,13.61502836,185.3689974,1.608643264,1.608577079,1.608511138,1.631928237,1.608643264,1.597115146,0.606317529,0.014618881,0.000213712,283.589,0.0409725,0,0,0.06424,3.92421,4.06245,4.05882,3,3,[3]
EPI,38.69652257,73.75100631,-0.421510181,1.71114831,9.878092808,12,19.43574485,159.7745064,159.3458575,158.9203873,180,159.7745064,143.1829162,0.235201086,11.74325803,137.9041091,1.6185624,1.618559695,1.618556992,1.6225276,1.6185624,1.614849067,0.389589735,0.002959722,8.76E-06,0,0.0375422,286.596,0,0.06424,3.4523,5.07292,5.07292,2,2,[2]
YUG,31.05793311,66.7552464,0.804970213,1.732785651,10.37373284,12,19.19305018,158.9626053,158.706682,158.4642146,180,158.9626053,152.3190088,1.442209819,9.261021661,85.76652221,1.614177673,1.614166636,1.614155602,1.62446158,1.614177673,1.607309414,0.159509284,0.005970559,3.56E-05,0,0.01684,35.7929,0,0.02918,2.85235,3.95331,3.95331,2,2,[2]
AWW,24.83589976,65.80316896,-1.15267851,1.600120981,14.2241626,129,20.78432965,155.0996788,154.971699,154.8427605,162.2967413,155.0996788,146.4822156,-0.279588501,6.274490804,39.36923485,1.613111842,1.613107951,1.613104056,1.615615813,1.613111842,1.608103899,-0.707106781,0.00354115,1.25E-05,480.158,0.0598333,0,0.000462467,0.09574,3.6487,7.08077,7.07932,1,1,[1]
JOZ,23.04633505,54.73653067,1.804689583,1.529010982,39.65248345,57,21.75095034,145.3435698,144.4929711,143.719889,179.9999991,145.3435698,133.5254029,1.324207129,16.44698409,270.5032856,1.640608669,1.640601223,1.640593755,1.643236414,1.640608669,1.630742021,-1.496805219,0.004935427,2.44E-05,0,0.0370045,230.952,0,0.05658,3.25276,4.6184,4.61752,3,3,[3]
RHO,23.08208277,62.37510208,-1.660051329,1.381652267,21.38033808,229,24.0707758,150.6248827,150.5779831,150.5310981,154.3833787,150.6248827,146.8663866,1.18E-14,3.758496072,14.12629272,1.61391951,1.61391951,1.61391951,1.61391951,1.61391951,1.61391951,1.18662188,5.49E-16,3.01E-31,829.754,0.136272,0,0,0.18828,3.68699,10.30765,10.30765,3,3,[3]
AWO,24.48445636,60.32586372,-0.475345163,1.733335778,14.54596248,64,19.18695868,155.3914405,155.1547105,154.9158676,165.623879,155.3914405,143.6638194,-0.255178681,8.531756458,72.79086825,1.618494725,1.618480744,1.618466734,1.625728549,1.618494725,1.607866681,-0.755532228,0.006720187,4.52E-05,0,0.0198693,129.78,1.15E-05,0.03444,3.14992,4.57514,4.54469,1,1,[1]
TON,41.34285551,82.59568285,0.407376272,1.777250101,4.704245751,63,18.71286542,165.7555435,165.4383365,165.1273069,180,165.7555435,153.0311529,0.467903813,10.34526382,107.0244836,1.611552443,1.611550775,1.611549108,1.616921941,1.611552443,1.609172854,0.845807866,0.002319591,5.38E-06,332.767,0.0345929,0,0,0.06148,4.84635,5.12265,5.12265,1,1,[1]
IWR,28.06428859,55.3369529,-0.772950183,1.475960519,15.86256211,65,22.53274496,154.5899774,154.3986111,154.2065033,169.5721349,154.5899774,142.0565345,-0.076445155,7.674914388,58.90431087,1.613901506,1.613887924,1.613874327,1.61984513,1.613901506,1.603519629,-0.417333684,0.006617263,4.38E-05,855.485,0.115641,0,0,0.17068,5.69736,7.27777,6.90707,3,3,[3]
SAS,22.34798995,67.71253043,-1.310450949,1.484495964,15.51855516,139,22.40318785,155.0466602,154.9729022,154.8981826,160.8524459,155.0466602,147.6319046,-0.631323252,4.750409814,22.5663934,1.625140232,1.625139642,1.625139051,1.62652594,1.625140232,1.623754525,1.35E-13,0.001385707,1.92E-06,688.94,0.099792,0,0,0.14814,3.82943,8.6315,8.6315,1,1,[1]
CHA,24.54057145,64.47923585,-1.349416042,1.452570504,18.47794191,166,22.89557847,152.2988152,152.2762974,152.2538268,155.8081143,152.2988152,149.402958,0.177674608,2.621464807,6.872077733,1.625246032,1.625246032,1.625246032,1.625246032,1.625246032,1.625246032,1.070258259,6.93E-16,4.81E-31,0,0.0975792,791.791,1.38E-05,0.14174,3.53048,6.73453,6.73453,3,3,[3]
GIS,26.85040035,63.53462487,-0.656314036,1.587879389,17.40804661,141,20.94456429,152.4918724,152.490941,152.4900096,153.0248537,152.4918724,151.9588911,5.99E-14,0.53298129,0.284069056,1.620448114,1.620440265,1.620432402,1.62384573,1.620448114,1.612973358,-0.809039835,0.005039479,2.54E-05,0,0.0407716,250.199,0,0.06474,2.96014,4.70597,4.70597,3,3,[3]
APC,31.45563545,66.86115442,-0.56103834,1.692086626,14.37326562,64,19.65469228,157.2853368,156.9404788,156.6073234,180,157.2853368,142.5386303,0.87930156,10.59675111,112.2911341,1.619149205,1.619134209,1.6191192,1.62711073,1.619149205,1.606177911,-0.277275097,0.006965872,4.85E-05,0,0.0215829,79.7729,0,0.03652,3.04462,4.11378,3.90333,1,1,[1]
WEI,21.80413197,43.86815228,2.464382032,1.488594858,42.58507755,66,22.34149995,142.2058499,141.9151244,141.6390596,160.0179502,142.2058499,135.1390967,1.213204154,9.322074644,86.90107568,1.628921,1.628906615,1.628892235,1.636828658,1.628921,1.621569203,0.120172251,0.006846837,4.69E-05,0,0.0566712,389.687,0,0.08436,3.44609,4.15267,4.15267,3,3,[3]
PHI,21.76134129,55.25897619,0.995891661,1.576775176,18.32842515,63,21.09206339,152.1575953,152.1267506,152.0957015,155.1730063,152.1575953,147.536028,-0.493274563,3.053315197,9.322733692,1.621372293,1.621364599,1.621356886,1.625115289,1.621372293,1.612780743,-1.113520736,0.004989464,2.49E-05,0,0.0443819,292.803,0,0.06998,3.48085,5.20824,5.20824,3,3,[3]
THO,20.34850314,78.2503352,5.051024306,1.567732615,24.74388612,51,21.21372077,152.9515332,152.4035349,151.898572,179.9999991,152.9515332,144.2355108,1.431549504,13.46097564,181.1978653,1.61544317,1.615369656,1.615296025,1.630985853,1.61544317,1.597119165,-0.253250406,0.015398905,0.000237126,0,0.0406577,281.782,0,0.06374,3.3618,4.47704,4.47704,3,3,[3]
NPO,44.94302081,77.41843638,-0.443767579,1.53253132,27.32618562,194,21.7009868,158.0697988,156.5414242,155.0278275,179.9979496,158.0697988,136.141648,2.24E-15,21.9281508,480.8437973,1.635966752,1.635966752,1.635966752,1.635976911,1.635966752,1.635961673,0.707106781,7.18E-06,5.16E-11,545.504,0.0582047,0,0,0.0892,4.68325,5.118,5.118,1,1,[1]
MAZ,20.37533779,65.82885453,-0.32104324,1.603485472,18.7947052,194,20.74071922,150.5685833,150.416443,150.270686,169.9769229,150.5685833,143.253828,1.550950281,6.918075741,47.85977196,1.619025643,1.619024231,1.619022821,1.62205033,1.619025643,1.617512827,0.707106578,0.002138357,4.57E-06,305.109,0.0695364,164.611,0,0.1115,7.3497,7.97523,7.87625,3,1,[1]
SFO,18.55214823,47.56859754,0.607705087,1.440367592,19.58384276,12,23.08955168,151.1156942,150.9742425,150.8315498,160.4422016,151.1156942,140.9094073,-0.283376579,6.507788988,42.35131751,1.621040595,1.620986514,1.620932216,1.632998735,1.621040595,1.599983235,-0.739392084,0.013214532,0.000174624,777.765,0.119428,7.6207,0,0.17202,6.93062,7.62144,7.62143,2,2,[2]
AHT,40.21728145,62.55290367,1.479409913,1.786485888,17.40399754,63,18.61612352,163.1508475,161.8565857,160.4998694,180,163.1508475,135.2679373,-0.635779038,19.95889599,398.3575291,1.627808697,1.627795871,1.627783069,1.636955541,1.627808697,1.623170206,0.706892097,0.006468013,4.18E-05,0,0,15.6308,0.0126058,0,2.59606,3.83327,3.80942,0,0,[0]
NPT,26.64878775,50.22790835,-0.737537832,1.258417001,49.79840584,221,26.42799798,140.2795125,139.9666248,139.6778307,162.0533664,140.2795125,135.6943721,1.786639751,9.740259541,94.87265593,1.632625306,1.632624023,1.63262274,1.635521093,1.632625306,1.631177413,0.707106781,0.002047631,4.19E-06,0,0.141909,950.253,0,0.17858,3.40405,10.2687,6.07326,3,3,[3]
CDO,38.43962742,79.80764487,0.423901475,1.752349222,12.58070228,63,18.97877519,160.1997792,159.9288907,159.6708131,180,160.1997792,151.0875851,1.278195366,9.53939647,91.00008501,1.614572241,1.614534282,1.614496477,1.637065892,1.614572241,1.600976585,0.888168158,0.011093595,0.000123068,0,0.0312953,250.184,0,0.05484,3.17249,5.11915,5.11915,2,2,[2]
APD,38.51193506,90.88689946,-1.164757807,1.754646997,10.04832246,64,18.95392179,161.4306981,161.0632468,160.7068052,180,161.4306981,151.0162444,0.655741164,11.04390715,121.9678851,1.615138252,1.615124493,1.615110738,1.623257544,1.615138252,1.604662357,0.121798547,0.006667931,4.45E-05,0,0.0203347,110.657,0,0.03568,3.48895,4.31595,4.3124,1,1,[1]
UOS,23.47269383,69.66835158,-0.958239229,1.680569275,14.4529257,51,19.78939068,156.0772439,155.8320376,155.5897829,180,156.0772439,143.1988192,0.444851711,8.804711406,77.52294295,1.623253707,1.623250047,1.623246383,1.62573726,1.623253707,1.618176914,-0.71052431,0.003445409,1.19E-05,306.355,0.0363093,0,0,0.06102,3.6798,5.20535,5.19255,1,1,[1]
ITE,22.435433,58.98411478,0.112568194,1.524115723,13.50189138,63,21.82081153,155.4307977,155.3357059,155.240271,165.2107208,155.4307977,146.2320379,-0.13997178,5.425950748,29.44094152,1.615605948,1.615595556,1.61558518,1.624783428,1.615605948,1.608877789,0.613174198,0.005798805,3.36E-05,659.472,0.0906235,0,0,0.13812,3.74357,7.92773,7.66195,2,2,[2]
AET,32.31892513,64.40220711,0.211971275,1.653293438,11.39474439,63,20.11587367,162.1710833,161.4406063,160.6909973,180,162.1710833,135.9596369,-0.393464615,15.16395682,229.9455865,1.615888832,1.615874976,1.615861138,1.625819651,1.615888832,1.609520765,0.440351627,0.006695751,4.48E-05,456.175,0.0806395,0,0,0.13332,7.74079,8.41442,8.41442,1,1,[1]
IFR,25.46518843,46.90488932,-0.139198917,1.593857774,15.65339214,12,20.86600353,153.2136425,152.9912144,152.7693094,170.723705,153.2136425,139.5858874,0.139392937,8.264942939,68.30928179,1.62048464,1.620467501,1.620450378,1.634474719,1.62048464,1.609023465,0.305824217,0.007456408,5.56E-05,647.941,0.08455,0,0,0.13476,5.9911,6.82654,6.78609,1,1,[1]
