Note 1,Note 2,Accepté ?
32,35,true
37,44,true
30,45,false
30,43,true
32,38,true
35,40,false
42,43,true
36,45,true
31,42,true
24,27,false
29,31,false
34,38,true
36,39,true
37,40,true
40,41,true
31,32,false
34,41,false
34,43,false
28,40,false
36,37,false
33,41,false
29,40,false
37,39,true
37,43,false
39,41,true
36,43,true
31,40,false
36,40,true
36,39,false
33,35,false
29,40,false
29,37,false
29,32,false
22,31,false
39,39,true
36,37,true
39,44,true
33,38,false
31,43,true
27,29,false
38,40,true
36,36,false
26,39,false
36,37,true
37,40,true
35,39,true
37,40,true
37,44,true
24,42,false
31,31,false
25,36,false
40,40,true
13,26,false
30,31,false
31,38,false
31,37,true
36,42,true
40,44,true
28,40,false
24,43,false
40,42,true
34,38,false
36,43,true
41,41,false
24,37,false
39,44,true
39,40,false
27,44,false
29,43,false
25,34,false
32,40,false
36,38,true
25,35,false
39,43,false
31,39,true
41,43,true
33,45,false
32,43,false
31,38,false
39,41,true
32,35,false
