Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
ABAVOP_clean_14,-7.44086,1.45055e-09,nan,nan,0.113573
ABEFUL_clean_124,-41.8512,0.00610244,nan,nan,0.220529
ABAVIJ_clean_1,-41.1676,0.00311379,nan,nan,0.261694
ACECIV_ion_b_14,-36.5367,8.47317e-05,nan,nan,0.258099
ABULOB_clean_60,-32.691,0.000920184,-32.9833,-28.0833,1.37739
ACMPCD_clean_1,-21.7469,8.28081e-06,-21.9191,-19.3191,1.22842
ACODUT_clean_164,-47.7755,0.0757651,nan,nan,0.234358
ABEXIQ_clean_33,-26.7917,5.004e-05,-28.4622,-21.2622,1.96719
ABEYEN_clean_33,-27.8204,5.08614e-05,-29.1762,-19.4762,1.95702
ABEYIR_33,-27.9825,5.05911e-05,-29.2714,-18.7714,1.96
ABEXUC_clean_33,-27.3046,5.15947e-05,-28.8601,-20.6601,1.97421
ABEXOW_clean_33,-27.022,5.08784e-05,-28.6444,-20.9444,1.97934
ACOLEL_clean_1,-34.1715,1.06818e-05,nan,nan,0.519665
ABIXOZ_clean_2,-16.1268,4.36457e-06,-19.1392,-14.7392,2.49012
ABETAE_clean_36,-20.9075,1.40534e-05,-22.2775,-19.0775,2.71782
ABESUX_clean_36,-21.1023,1.45982e-05,-22.8195,-18.6195,2.90596
ACAKUM_14,-29.4591,8.29746e-05,-30.3061,-6.70612,3.08251
ABIYIV_clean_56,-30.0089,6.64215e-05,-30.8695,-22.4695,3.18208
ACAKUM_clean_14,-29.4591,8.29746e-05,-30.3061,-6.70612,3.22107
acs.cgd.6b00163_UKEBOD1448508_clean_15,-43.5249,0.0125764,nan,nan,0.6518
ABEXEM_clean_33,-26.4509,5.10967e-05,-28.1333,-22.1333,3.40502
ACALIB_clean_14,-25.5777,3.70953e-06,-26.5495,18.2505,3.44265
ABEYAJ_clean_33,-27.6988,5.26913e-05,-29.146,-19.846,3.57468
ABEYIR_clean_33,-27.9825,5.05911e-05,-29.2714,-18.7714,3.58073
ACOLIP_clean_1,-33.2818,0.000689032,-34.0333,-2.43331,1.64329
ACAJIZ_clean_15,-27.4652,0.000236774,-28.997,-23.197,4.10279
ACIBIY_clean_2,-28.6888,0.00010329,-28.6997,-5.89973,4.5463
ACOGAB_clean_2,-32.6713,0.00113217,-33.2029,-18.0029,2.92721
ACOGEF_clean_2,-32.6615,0.00101938,-33.5178,-19.6178,2.93548
ACODED_60,-31.8505,0.00118596,-32.9477,-20.5477,4.63234
acscombsci.5b00188_24205_clean_1,-31.1133,0.00178292,-31.7671,-29.7671,1.91608
acs.cgd.5b01686_WAHFUJ1434675_clean_14,-28.4409,0.000129624,-29.4964,-20.1964,2.73009
ABUWOJ_clean_61,-27.4526,0.00018747,-28.5,-23.4,5.35817
ABEMIF_clean_221,-25.3438,0.000171847,-20.5631,-17.5631,5.67358
ACAJOF_clean_56,-26.6057,0.000142652,-30.1009,-20.2009,5.8275
ABIYIV_56,-30.0089,6.64215e-05,-30.8695,-22.4695,5.90119
ac403674p_si_001_clean_4,-21.1811,3.26614e-05,-24.3388,-21.9388,6.14093
acscombsci.5b00188_34903_clean_1,-33.912,0.00561559,-34.1067,-31.8067,3.44141
acscombsci.5b00188_5040209_clean_1,-30.3526,0.00059059,-31.9906,-18.2906,3.35543
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.7616,0.000752433,nan,nan,1.5712
acs.jchemed.6b00258_ed6b00258_si_005_clean_15,-33.616,0.000132243,nan,nan,0.412428
acs.inorgchem.5b02378_ic5b02378_si_002_clean_72,-32.1201,3.37505e-05,-33.9597,-23.2597,2.87563
acs.inorgchem.6b00433_ic6b00433_si_002_clean_2,-28.4417,0.000318467,-30.6388,-24.2388,2.38557
acscombsci.5b00188_8372_clean_1,-17.8542,1.56568e-05,-20.1974,-13.3974,5.1236
acs.inorgchem.6b02514_ic6b02514_si_002_clean_19,-22.1231,3.76341e-05,-24.9692,-19.7692,2.07759
ACODON_clean_13,-27.9935,0.000293694,-31.9314,-22.0314,8.33786
ADABAK01_clean_2,-28.344,1.10895e-05,-28.8831,16.9169,0.901834
ADABAK_15,-29.6507,9.80162e-06,nan,nan,0.210364
ACUBAB_clean_15,-24.6132,5.03715e-05,-24.1616,-21.8616,2.4484
acs.inorgchem.6b01569_ic6b01569_si_002_clean_15,-24.1819,4.45843e-05,-27.5323,-18.7323,4.14245
ADABIS_clean_2,-31.0866,1.09125e-05,nan,nan,0.0967617
acs.inorgchem.5b02108_ic5b02108_si_002_clean_98,-26.9652,0.000499659,-29.7943,-25.3943,5.97162
ADABUE_clean_2,-33.616,0.000132244,nan,nan,0.154151
ACOLUB_clean_2,-26.1647,0.000173092,-29.2954,-20.4954,9.19765
ACUTOI_clean_60,-32.418,0.000715628,-32.3269,-30.2269,4.4558
acs.inorgchem.6b02407_ic6b02407_si_003_clean_5,-29.8056,0.000821046,-32.7004,-26.9004,6.53754
ACIBOE_clean_8,-22.7798,8.29536e-05,-25.0791,-18.6791,13.7328
ADEGIA01_clean_2,-33.6789,0.000568602,nan,nan,0.119068
acs.inorgchem.5b02973_ic5b02973_si_002_clean_147,-44.7478,0.00307183,-27.401,-12.401,9.21269
ADEGIA_clean_2,-33.4783,0.000633737,nan,nan,0.129127
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_119,-26.4702,0.000184954,-27.955,-15.155,6.67573
acs.inorgchem.6b00136_ic6b00136_si_002_clean_63,-36.2648,0.000849543,-38.1707,-22.1707,9.40615
ADIQEL_clean_14,-39.6062,0.00576386,-40.2015,-19.5015,1.44207
acs.inorgchem.5b02316_ic5b02316_si_002_clean_139,-51.1616,0.22205,-53.6415,-30.8415,11.0221
ADAXIO_clean_15,-30.6972,0.000941046,-31.2661,-27.2661,2.52563
ADAXEK_clean_12,-30.5215,0.000718609,-31.4407,-24.7407,2.76725
acs.chemrev.6b00346_cr6b00346_si_001_clean_218,-19.8103,4.42375e-05,-20.8921,-16.5921,13.1845
acs.inorgchem.6b02407_ic6b02407_si_002_clean_14,-25.2977,0.000293511,-27.5168,-19.6168,10.4595
ADOBAX_118,-30.0173,0.000134135,-30.1935,-16.3935,3.51832
ADOBAX_charged_118,-30.0173,0.000134135,-30.1935,-16.3935,3.52906
ADOBEB_charged_118,-30.0568,0.000135712,-30.1246,-16.1246,3.4484
ADOBOL_charged_118,-30.8293,0.000152175,-31.1783,-19.6783,3.14186
ADOBOL_clean_118,-30.8293,0.000152175,-31.1783,-19.6783,3.14894
ADOCAY_charged_118,-31.0242,0.000160227,-31.0394,-19.7394,3.13793
ADOBUR_charged_118,-30.9446,0.000155557,-31.1025,-20.0025,4.43798
AFEDIA_clean_2,8.14082,4.2317e-13,nan,nan,0.111716
acscombsci.5b00188_5013797_clean_1,-20.581,6.94983e-05,-26.0139,-18.9139,17.2966
acs.chemmater.6b02817_cm6b02817_si_004_clean_218,-21.1312,8.29332e-05,-20.7177,-15.6177,18.0774
ADODII_clean_1,-30.0797,0.000695259,-29.1839,-25.5839,3.29213
ADODII_clean_1,-30.0797,0.000695259,-30.2626,-29.1626,3.29213
ADODOO_clean_1,-31.0149,0.000934843,-29.897,-27.697,3.35338
ADODOO_clean_1,-31.0149,0.000934843,-31.1645,-29.9645,3.35338
acs.jpcc.6b04690_jp6b04690_si_005_clean_2,-51.9886,0.179149,-34.0731,-24.0731,13.8153
acs.cgd.5b01554_VAGNUP1452791_clean_62,-23.4636,6.09691e-05,-26.2045,-19.2045,18.977
AFIPAH_clean_2,-27.6786,4.62847e-05,-27.7714,-14.6714,0.697486
ADOBIF_clean_118,-28.2051,0.000109011,-28.6316,-16.7316,6.37416
acscombsci.5b00188_5036495_clean_1,-11.6514,1.08688e-05,-14.9829,-10.6829,18.3847
ADOCEC_clean_118,-28.1821,0.000113659,-28.5035,-16.6035,5.56493
ADOCIG_charged_118,-31.1435,0.000159959,-31.2647,-19.5647,4.66671
AFOQUI_clean_1,-30.1333,2.88482e-05,nan,nan,0.433875
AFEKAX_clean_123,-30.8417,0.0020766,-32.3411,-25.7411,1.89374
AFITEP_clean_2,-33.6603,0.00112005,-35.6099,-26.9099,1.65233
ADODUU_clean_1,-31.3929,0.00105154,-30.1844,-28.0844,5.6106
ADODUU_clean_1,-31.3929,0.00105154,-31.6114,-30.4114,5.6106
AFENEE_clean_34,-37.0665,0.000650356,-38.6299,10.4701,4.25371
