Structures,chan_count,chan_mean_dim
1499489-acs.cgd.6b01265_1499490_clean,3,1.0
ABAVIJ_clean,0,-1.0
ABAVOP_clean,0,-1.0
ABAYIO_clean,1,3.0
ABAYOU_clean,1,3.0
ABEFUL_clean,0,-1.0
ABEMIF_clean,1,3.0
ABESUX_clean,2,2.0
ABETAE_clean,2,2.0
ABEXEM_clean,2,1.0
ABEXEN_clean,1,3.0
ABEXIQ_clean,2,1.0
ABEXOW_clean,2,1.0
ABEXUC_clean,2,1.0
ABEYAJ_clean,2,1.0
ABEYEN_clean,2,1.0
ABEYIR,2,1.0
ABEYIR_clean,2,1.0
ABIXOZ_clean,1,3.0
ABIYIV,2,1.0
ABIYIV_clean,2,1.0
ABULOB_clean,2,1.0
ABUWOJ_clean,2,2.0
ac403674p_si_001_clean,1,1.0
ACAJIY_clean,0,-1.0
ACAJIZ_clean,2,1.0
ACAJOF_clean,2,1.0
ACAKUM,0,-1.0
ACAKUM_clean,0,-1.0
ACALIB_clean,0,-1.0
ACECIV_ion_b,0,-1.0
ACIBIY_clean,2,1.0
ACIBOE_clean,1,3.0
ACMPCD_clean,1,1.0
ACODED,4,1.0
ACODON_clean,1,3.0
ACODUT_clean,0,-1.0
ACOGAB_clean,2,2.0
ACOGEF_clean,2,2.0
ACOLEL_clean,0,-1.0
ACOLIP_clean,1,3.0
ACOLOV_clean,1,3.0
ACOLUB_clean,1,2.0
acs.cgd.5b01554_VAGNUP1452791_clean,1,3.0
acs.cgd.5b01686_WAHFUJ1434675_clean,2,1.0
acs.cgd.6b00163_UKEBOD1448508_clean,0,-1.0
acs.chemmater.6b02817_cm6b02817_si_004_clean,1,3.0
acs.chemrev.6b00346_cr6b00346_si_001_clean,1,3.0
acscombsci.5b00188_24205_clean,1,1.0
acscombsci.5b00188_34903_clean,1,2.0
acscombsci.5b00188_5013797_clean,1,3.0
acscombsci.5b00188_5020072_clean,1,3.0
acscombsci.5b00188_5024922_clean,1,3.0
acscombsci.5b00188_5036495_clean,1,3.0
acscombsci.5b00188_5040209_clean,1,2.0
acscombsci.5b00188_8372_clean,1,3.0
acs.inorgchem.5b02108_ic5b02108_si_002_clean,2,1.0
acs.inorgchem.5b02316_ic5b02316_si_002_clean,2,2.0
acs.inorgchem.5b02378_ic5b02378_si_002_clean,4,1.0
acs.inorgchem.5b02973_ic5b02973_si_002_clean,1,1.0
acs.inorgchem.6b00081_ic6b00081_si_001_clean,3,1.0
acs.inorgchem.6b00136_ic6b00136_si_002_clean,2,1.0
acs.inorgchem.6b00433_ic6b00433_si_002_clean,1,1.0
acs.inorgchem.6b00894_ic6b00894_si_002_clean,4,1.0
acs.inorgchem.6b00894_ic6b00894_si_003_clean,0,-1.0
acs.inorgchem.6b01211_ic6b01211_si_002_clean,1,3.0
acs.inorgchem.6b01416_ic6b01416_si_004_clean,1,3.0
acs.inorgchem.6b01569_ic6b01569_si_002_clean,2,1.0
