Structures,oms_count
1499489-acs.cgd.6b01265_1499490_clean,0
ABAVIJ_clean,0
ABAVOP_clean,0
ABAYIO_clean,0
ABAYOU_clean,0
ABEFUL_clean,0
ABEMIF_clean,0
ABESUX_clean,20
ABETAE_clean,20
ABEXEM_clean,0
ABEXEN_clean,0
ABEXIQ_clean,0
ABEXOW_clean,0
ABEXUC_clean,0
ABEYAJ_clean,0
ABEYEN_clean,0
ABEYIR_clean,0
ABEYIR,0
ABIXOZ_clean,14
ABIYIV_clean,0
ABIYIV,0
ABULOB_clean,0
ABUWOJ_clean,8
ac403674p_si_001_clean,0
ACAJIY_clean,0
ACAJIZ_clean,0
ACAJOF_clean,0
ACAKUM_clean,4
ACAKUM,4
ACALIB_clean,0
ACECIV_ion_b,8
ACIBIY_clean,0
ACIBOE_clean,4
ACMPCD_clean,2
ACODED,0
ACODON_clean,0
ACODUT_clean,0
ACOGAB_clean,0
ACOGEF_clean,0
ACOLEL_clean,0
ACOLIP_clean,0
ACOLOV_clean,8
ACOLUB_clean,0
acs.cgd.5b01554_VAGNUP1452791_clean,24
acs.cgd.5b01686_WAHFUJ1434675_clean,4
acs.cgd.6b00163_UKEBOD1448508_clean,0
acs.chemmater.6b02817_cm6b02817_si_004_clean,0
acs.chemrev.6b00346_cr6b00346_si_001_clean,0
acscombsci.5b00188_24205_clean,0
acscombsci.5b00188_34903_clean,0
acscombsci.5b00188_5013797_clean,0
acscombsci.5b00188_5020072_clean,0
acscombsci.5b00188_5024922_clean,0
acscombsci.5b00188_5036495_clean,0
acscombsci.5b00188_5040209_clean,0
acscombsci.5b00188_8372_clean,0
acs.inorgchem.5b02108_ic5b02108_si_002_clean,0
acs.inorgchem.5b02316_ic5b02316_si_002_clean,8
acs.inorgchem.5b02378_ic5b02378_si_002_clean,0
acs.inorgchem.5b02973_ic5b02973_si_002_clean,0
acs.inorgchem.6b00081_ic6b00081_si_001_clean,0
acs.inorgchem.6b00136_ic6b00136_si_002_clean,0
acs.inorgchem.6b00433_ic6b00433_si_002_clean,2
acs.inorgchem.6b00894_ic6b00894_si_002_clean,0
acs.inorgchem.6b00894_ic6b00894_si_003_clean,0
acs.inorgchem.6b01211_ic6b01211_si_002_clean,18
acs.inorgchem.6b01416_ic6b01416_si_004_clean,0
acs.inorgchem.6b01569_ic6b01569_si_002_clean,8
acs.inorgchem.6b02407_ic6b02407_si_002_clean,4
acs.inorgchem.6b02407_ic6b02407_si_003_clean,0
acs.inorgchem.6b02514_ic6b02514_si_002_clean,4
acs.jchemed.6b00258_ed6b00258_si_005_clean,0
acs.jpcc.6b04690_jp6b04690_si_005_clean,0
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean,0
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean,0
ACUBAB_clean,0
ACUTOI_clean,8
ADABAK01_clean,4
ADABAK,0
ADABIS_clean,0
ADABUE_clean,0
ADASIJ_clean,24
ADASOP_clean,24
ADASUV_clean,20
ADATOQ_clean,0
ADATUW_clean,0
ADAVAE_clean,0
ADAVEI_clean,0
ADAVIM_clean,0
ADAXEK_clean,0
ADAXIO_clean,0
ADEGIA01_clean,0
ADEGIA_clean,0
ADIQEL_clean,0
ADOBAX_charged,0
ADOBAX,0
ADOBEB_charged,0
ADOBIF_clean,24
ADOBOL_charged,0
ADOBOL_clean,0
ADOBUR_charged,0
ADOCAY_charged,0
ADOCEC_clean,24
ADOCIG_charged,0
ADODAA_charged,24
ADODII_clean,0
ADODOO_clean,0
ADODUU_clean,0
ADOGEH_clean,48
ADUWIH_clean,8
AFEDIA_clean,1
AFEJOK_ion_b,2
AFEKAX_clean,1
AFENEE_clean,0
AFIPAH_clean,0
AFITEP_clean,0
AFITIT_clean,0
AFITUF_clean,0
AFIXAO_clean,0
AFIXES_clean,0
