Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
1499489-acs.cgd.6b01265_1499490_clean,10.51362,3.4195,10.51362
ABAVIJ_clean,4.09648,1.83348,3.90461
ABAVOP_clean,3.28277,1.73632,3.28277
ABAYIO_clean,11.4143,4.37035,11.40347
ABAYOU_clean,11.28041,4.55955,11.26959
ABEFUL_clean,4.24264,2.73903,4.23875
ABEMIF_clean,11.25125,6.12457,11.25125
ABESUX_clean,5.97713,4.24541,5.97556
ABETAE_clean,5.932,4.24116,5.932
ABETIN_clean,9.44021,7.1412,9.4391
ABEXEM_clean,4.73634,3.97276,4.73469
ABEXEN_clean,18.11318,13.85475,18.11318
ABEXIQ_clean,4.71677,3.89278,4.71293
ABEXOW_clean,4.68587,3.84318,4.68505
ABEXUC_clean,4.65808,3.81213,4.65724
ABEYAJ_clean,4.64459,3.73763,4.64459
ABEYEN_clean,4.61713,3.70084,4.59348
ABEYIR_clean,4.61168,3.67539,4.59916
ABEYIR,4.60732,3.68429,4.52486
ABIXOZ_clean,6.65914,4.83776,6.65914
ABIYIV_clean,3.59717,3.12559,3.59717
ABIYIV,3.59717,3.12559,3.59717
ABULOB_clean,4.36479,3.62385,4.36479
ABUWOJ_clean,4.74747,3.89813,4.62555
ac403674p_si_001_clean,7.83523,7.61831,7.83523
ACAJIY_clean,4.31002,2.85575,4.30929
ACAJIZ_clean,5.40129,4.95524,5.40129
ACAJOF_clean,6.07878,5.31962,6.07878
ACAKUM_clean,4.24364,2.93017,4.23798
ACAKUM,4.24364,2.93017,4.23798
ACALIB_clean,3.62892,2.12538,3.61694
ACECIV_ion_b,3.74869,2.80533,3.74749
ACIBIY_clean,4.85611,3.07846,4.85611
ACIBOE_clean,8.14241,7.02702,8.14241
ACMPCD_clean,5.6154,4.45748,5.6154
ACOCOM_clean,24.32578,12.2491,24.32578
ACOCUS_clean,24.2216,12.43723,24.2216
ACODAZ_clean,24.36701,12.33276,24.36701
ACODED,5.49441,3.46956,5.28592
ACODON_clean,6.57827,3.98226,6.57827
ACODUT_clean,5.11235,2.59347,4.28561
ACOGAB_clean,4.75588,3.35178,4.66307
