Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
1499489-acs.cgd.6b01265_1499490_clean,1373.19,0.0,1373.19
ABAVIJ_clean,0.0,164.899,164.899
ABAVOP_clean,0.0,0.0,0.0
ABAYIO_clean,1245.21,237.897,1483.107
ABAYOU_clean,1296.25,259.298,1555.548
ABEFUL_clean,0.0,195.424,195.424
ABEMIF_clean,1209.26,420.065,1629.325
ABESUX_clean,1749.62,0.0,1749.62
ABETAE_clean,1770.74,0.0,1770.74
ABEXEM_clean,732.518,0.0,732.518
ABEXEN_clean,1619.93,2.47253,1622.40253
ABEXIQ_clean,659.095,0.0,659.095
ABEXOW_clean,629.086,0.0,629.086
ABEXUC_clean,610.968,0.0,610.968
ABEYAJ_clean,594.619,0.0,594.619
ABEYEN_clean,558.863,0.0,558.863
ABEYIR,548.032,0.0,548.032
ABEYIR_clean,531.696,0.0,531.696
ABIXOZ_clean,1740.71,0.0,1740.71
ABIYIV,0.0,150.317,150.317
ABIYIV_clean,0.0,147.723,147.723
ABULOB_clean,811.734,0.0,811.734
ABUWOJ_clean,1155.81,0.0,1155.81
ACAJIY_clean,0.0,216.083,216.083
ACAJIZ_clean,738.523,0.0,738.523
ACAJOF_clean,928.162,0.0,928.162
ACAKUM,0.0,297.286,297.286
ACAKUM_clean,0.0,299.769,299.769
ACALIB_clean,0.0,31.4751,31.4751
ACECIV_ion_b,0.0,56.6828,56.6828
ACIBIY_clean,0.0,533.254,533.254
ACIBOE_clean,1763.71,0.0,1763.71
ACMPCD_clean,340.536,0.420256,340.956256
ACODED,989.271,0.0,989.271
ACODON_clean,1443.65,0.0,1443.65
ACODUT_clean,0.0,154.262,154.262
ACOGAB_clean,0.0,837.315,837.315
ACOGEF_clean,0.0,876.249,876.249
ACOLEL_clean,0.0,1.01972,1.01972
ACOLIP_clean,0.0,483.493,483.493
ACOLOV_clean,1906.41,0.0,1906.41
ACOLUB_clean,1220.5,0.0,1220.5
ACUBAB_clean,1025.13,0.0,1025.13
ACUTOI_clean,596.369,0.0,596.369
ADABAK01_clean,0.0,58.4897,58.4897
ADABAK,0.0,0.0,0.0
ADABIS_clean,0.0,2.69716,2.69716
ADABUE_clean,0.0,133.835,133.835
ADASIJ_clean,2105.23,0.0,2105.23
ADASOP_clean,2143.65,0.0,2143.65
ADASUV_clean,2101.73,0.0,2101.73
ADATOQ_clean,2060.04,0.0,2060.04
ADATUW_clean,2054.58,1.74455,2056.32455
ADAVAE_clean,2052.27,0.0,2052.27
ADAVEI_clean,2067.98,0.0,2067.98
ADAVIM_clean,2076.94,0.0,2076.94
ADAXEK_clean,973.944,0.0,973.944
ADAXIO_clean,925.165,0.0,925.165
ADEGIA01_clean,0.0,420.307,420.307
ADEGIA_clean,0.0,519.826,519.826
ADIQEL_clean,0.0,422.461,422.461
ADOBAX,341.434,118.41,459.84400000000005
ADOBAX_charged,360.165,122.122,482.28700000000003
ADOBEB_charged,359.691,118.401,478.092
ADOBIF_clean,552.13,148.881,701.011
ADOBOL_charged,357.252,41.2959,398.5479
ADOBOL_clean,345.46,37.2014,382.66139999999996
ADOBUR_charged,324.825,34.3128,359.13779999999997
ADOCAY_charged,323.195,35.4097,358.6047
ADOCEC_clean,531.128,243.306,774.4340000000001
ADOCIG_charged,346.769,40.5051,387.2741
ADODAA_charged,1859.64,0.620667,1860.260667
ADODII_clean,873.74,0.0,873.74
ADODOO_clean,836.661,0.0,836.661
ADODUU_clean,844.72,0.0,844.72
ADOGEH_clean,1569.73,145.177,1714.907
ADUWIH_clean,1894.85,0.0,1894.85
AFEDIA_clean,0.0,0.0,0.0
AFEJOK_ion_b,1426.84,0.0,1426.84
AFEKAX_clean,1346.83,7.27237,1354.1023699999998
AFENEE_clean,0.0,138.343,138.343
AFIPAH_clean,496.942,0.0,496.942
AFITEP_clean,924.267,0.0,924.267
AFITIT_clean,1090.53,7.68069,1098.2106899999999
AFITUF_clean,1105.13,0.0,1105.13
AFIXAO_clean,1027.26,0.0,1027.26
AFIXES_clean,1065.13,0.0,1065.13
AFOQUI_clean,0.0,91.9253,91.9253
AFOTOF_clean,1463.75,0.0,1463.75
AFOTUL_clean,1494.54,0.0,1494.54
AFOVAT_clean,1455.65,0.0,1455.65
AFOVEX_clean,1479.41,0.0,1479.41
AFOVIB_clean,1479.17,0.0,1479.17
AFOVOH_clean,1492.37,0.0,1492.37
AFOYAW_clean,1276.55,0.0,1276.55
AFOYEB_clean,484.232,0.0,484.232
AFOYIE_clean,1873.24,0.0,1873.24
AFOYOK_clean,1322.43,0.0,1322.43
AFUKET_clean,1321.94,72.1447,1394.0847
AFUKIX_clean,1768.0,0.0,1768.0
AFUPEX_clean,1905.72,0.0,1905.72
AGABIU_clean,1736.91,0.0,1736.91
AGARUW_clean,1114.7,0.0,1114.7
AGAXOV_clean,2454.88,0.0,2454.88
AGAYIQ_clean,0.0,63.4434,63.4434
AGAYOW_clean,0.0,601.476,601.476
AGESIP_clean,0.0,0.0,0.0
AGIMOU_clean,0.0,158.303,158.303
AGIREP_clean,2068.89,0.0,2068.89
AGONAM_clean,1134.59,0.0,1134.59
AGONEQ_clean,2036.01,0.0,2036.01
AGUBUA_clean,1094.05,0.0,1094.05
AGUTUS_clean,0.0,0.0,0.0
AGUVOO_charged,1149.48,0.0,1149.48
AGUWUV_clean,0.0,317.755,317.755
AHAMAY_clean,275.192,0.0,275.192
AHEBAS_clean,0.0,723.65,723.65
AHEQAH_clean,2251.64,0.0,2251.64
AHINIP_clean,0.0,137.401,137.401
AHIYOH_clean,663.081,0.0,663.081
AHIYUN_clean,0.0,400.883,400.883
AHOBEG_clean,0.0,385.602,385.602
AHOJUC_clean,0.0,0.0,0.0
AHOKAJ_clean,0.0,0.0,0.0
AHOKIR01_clean,0.0,93.1838,93.1838
AHOKIR_clean,0.0,419.469,419.469
AHOKOX_clean,0.0,570.803,570.803
AHOZAA_clean,0.0,296.981,296.981
AHUFIU_clean,1989.66,0.0,1989.66
AHUTIH01_clean,0.0,115.914,115.914
AHUTIH_clean,0.0,116.571,116.571
AJAKON_clean,788.615,0.0,788.615
AJAMEF_clean,0.0,88.1589,88.1589
AJAYIT_clean,605.111,0.0,605.111
AJIGIL_clean,816.128,0.0,816.128
AJINOY_clean,0.0,0.0,0.0
AJOTEY_clean,1760.71,0.0,1760.71
AJOVEB_clean,620.765,0.0,620.765
AJOXAA_clean,1176.52,0.0,1176.52
AJUNOK_clean,0.0,418.479,418.479
AKAYIV_clean,1057.47,0.0,1057.47
AKEDIF_clean,1500.37,0.0,1500.37
AKIXEZ_clean,1592.39,0.0,1592.39
AKOBAF_clean,0.0,489.561,489.561
AKOHEO_clean,1198.38,0.0,1198.38
AKOXIJ_clean,832.313,198.001,1030.314
AKUHOD01_clean,0.0,0.0,0.0
AKUHOD03_clean,0.0,0.0,0.0
AKUHOD_clean,0.0,0.0,0.0
AKUKUO_clean,769.905,0.0,769.905
ALAHUS_clean,1312.44,11.7751,1324.2151000000001
ALALUU01_clean,0.0,0.0,0.0
ALALUU_clean,0.0,0.0,0.0
ALAMUW_clean,2319.88,0.0,2319.88
ALANAD_clean,2655.98,0.0,2655.98
ALATAK_clean,0.0,0.0,0.0
ALEQIT_clean,593.413,0.0,593.413
ALIBUT_clean,805.506,127.94,933.4459999999999
ALICAA_clean,0.0,896.021,896.021
ALIFUY_clean,0.0,152.663,152.663
ALIPEQ_clean,0.0,5.46474,5.46474
ALIXAU_clean_h,437.724,1.18645,438.91044999999997
ALIXOJ_clean,1849.06,0.0,1849.06
ALIXUP_clean,1055.73,0.0,1055.73
ALOLES_ion_b,312.129,0.0,312.129
ALOLET_charged,1542.15,2.88673,1545.03673
ALOLIX_charged,1778.49,0.0,1778.49
ALOLIY_clean,983.064,0.0,983.064
ALUJEX_clean,1112.18,0.0,1112.18
ALUJIB_clean,1128.95,0.0,1128.95
ALUJOH_clean,1169.98,0.0,1169.98
ALUJUN_clean,0.0,498.983,498.983
ALUKAU_clean,0.0,479.95,479.95
ALUKIC_clean,2974.93,0.0,2974.93
ALUKOI_clean,2979.53,0.0,2979.53
ALUKUO_clean,2974.78,0.0,2974.78
ALULAV_clean,2975.39,0.0,2975.39
