Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
1499489-acs.cgd.6b01265_1499490_clean,0.884188,13957.7,0.478,0.0,0.478
ABAVIJ_clean,1.52494,1320.38,0.0,0.1516,0.1516
ABAVOP_clean,1.56594,1285.81,0.0,0.0412,0.0412
ABAYIO_clean,0.949126,19186.4,0.4205,0.0939,0.5144
ABAYOU_clean,0.979267,18921.0,0.4212,0.0991,0.5203
ABEFUL_clean,1.55108,2329.31,0.0,0.1536,0.1536
ABEMIF_clean,1.15199,3640.89,0.4351,0.1658,0.6009
ABESUX_clean,3.74291,2786.16,0.5746,0.0,0.5746
ABETAE_clean,3.69928,2819.02,0.5801,0.0,0.5801
ABEXEM_clean,1.76082,2633.04,0.281,0.0,0.281
ABEXEN_clean,0.674371,15518.0,0.653,0.0014,0.6544
ABEXIQ_clean,1.7876,2602.59,0.2791,0.0,0.2791
ABEXOW_clean,1.81243,2572.73,0.287,0.0,0.287
ABEXUC_clean,1.84813,2546.99,0.2841,0.0,0.2841
ABEYAJ_clean,1.90641,2511.78,0.2648,0.0,0.2648
ABEYEN_clean,1.9293,2493.02,0.2603,0.0,0.2603
ABEYIR,1.96962,2477.63,0.2704,0.0092,0.27959999999999996
ABEYIR_clean,1.96962,2477.63,0.2475,0.0112,0.2587
ABIXOZ_clean,1.91751,2085.14,0.5323,0.0,0.5323
ABIYIV,1.34661,4703.28,0.1388,0.0,0.1388
ABIYIV_clean,1.34661,4703.28,0.1388,0.0,0.1388
ABULOB_clean,1.31921,1746.89,0.4381,0.0,0.4381
ABUWOJ_clean,1.15833,4518.16,0.4723,0.0,0.4723
ACAJIY_clean,1.0939,5518.65,0.0,0.2028,0.2028
ACAJIZ_clean,1.30148,2916.84,0.2601,0.0,0.2601
ACAJOF_clean,1.21871,3191.38,0.2977,0.0,0.2977
ACAKUM,1.59028,2226.95,0.0,0.2318,0.2318
ACAKUM_clean,1.59028,2226.95,0.0,0.2318,0.2318
ACALIB_clean,1.78668,2087.56,0.0,0.1072,0.1072
ACECIV_ion_b,2.60195,3235.4,0.0,0.0629,0.0629
ACIBIY_clean,1.73515,5132.21,0.2827,0.0,0.2827
ACIBOE_clean,1.10094,3779.19,0.5736,0.0,0.5736
ACMPCD_clean,1.68656,1659.98,0.1262,0.0182,0.1444
ACODED,1.13147,5539.83,0.366,0.0,0.366
ACODON_clean,1.14924,3402.63,0.4871,0.0,0.4871
ACODUT_clean,1.51914,2328.35,0.0,0.1477,0.1477
ACOGAB_clean,1.15458,2660.54,0.3663,0.0,0.3663
ACOGEF_clean,1.25952,2686.72,0.3689,0.0,0.3689
ACOLEL_clean,1.45481,5939.98,0.0,0.0094,0.0094
ACOLIP_clean,1.04949,1527.86,0.3559,0.0,0.3559
ACOLOV_clean,0.863411,10047.8,0.5688,0.0,0.5688
ACOLUB_clean,1.08434,4644.21,0.3946,0.0,0.3946
ACUBAB_clean,2.30944,1622.68,0.3775,0.0,0.3775
ACUTOI_clean,1.71994,3357.19,0.236,0.0,0.236
ADABAK,1.63968,2225.78,0.0,0.0685,0.0685
ADABAK01_clean,1.60779,1105.82,0.1164,0.0,0.1164
ADABIS_clean,1.65298,1103.94,0.0,0.0875,0.0875
ADABUE_clean,1.46632,1244.47,0.0,0.141,0.141
ADASIJ_clean,0.629251,17841.8,0.7343,0.0,0.7343
ADASOP_clean,0.63164,17890.7,0.736,0.0,0.736
ADASUV_clean,0.625693,17989.1,0.7227,0.0,0.7227
ADATOQ_clean,0.632077,16952.0,0.6202,0.0,0.6202
ADATUW_clean,0.640612,16726.1,0.6024,0.0,0.6024
ADAVAE_clean,0.655338,16350.3,0.6003,0.0,0.6003
ADAVEI_clean,0.656268,16327.1,0.6113,0.0,0.6113
ADAVIM_clean,0.637582,16742.6,0.6161,0.0,0.6161
ADAXEK_clean,1.26343,833.647,0.3835,0.0,0.3835
ADAXIO_clean,1.28062,3289.83,0.3298,0.0,0.3298
ADEGIA01_clean,1.60142,836.632,0.0,0.2741,0.2741
ADEGIA_clean,1.59673,839.092,0.0,0.296,0.296
ADIQEL_clean,1.23763,953.188,0.3229,0.0,0.3229
ADOBAX,1.63796,4446.68,0.1466,0.1159,0.2625
ADOBAX_charged,1.63796,4446.68,0.151,0.1154,0.26639999999999997
ADOBEB_charged,1.63796,4446.68,0.1507,0.1129,0.2636
ADOBIF_clean,1.58873,4259.51,0.2827,0.0661,0.3488
