Structures,solvent_removed,framework_count,framework_mean_dim,atoms_count,C%,H%,O%,N%,halogen%,metalloid%,ametal%,metal%,radioactive%,M/C,M/O
1499489-acs.cgd.6b01265_1499490_clean,1,1,3.0,25056.0,69.61206896551724,1.0775862068965518,14.655172413793103,10.991379310344827,0.0,0.0,0.0,3.663793103448276,0.0,0.052631578947368425,0.25
ABAVIJ_clean,1,1,3.0,3228.0,46.09665427509294,30.73110285006196,15.36555142503098,7.68277571251549,0.0,0.0,0.0,0.12391573729863693,0.0,0.002688172043010753,0.008064516129032258
ABAVOP_clean,1,1,3.0,3228.0,46.09665427509294,30.73110285006196,15.36555142503098,7.68277571251549,0.0,0.0,0.0,0.12391573729863693,0.0,0.002688172043010753,0.008064516129032258
ABAYIO_clean,1,1,3.0,31872.0,46.08433734939759,15.36144578313253,30.72289156626506,0.0,7.680722891566265,0.0,0.0,0.1506024096385542,0.0,0.00326797385620915,0.004901960784313725
ABAYOU_clean,1,1,3.0,31872.0,46.08433734939759,15.36144578313253,30.72289156626506,0.0,7.680722891566265,0.0,0.0,0.1506024096385542,0.0,0.00326797385620915,0.004901960784313725
ABEFUL_clean,1,1,3.0,6678.0,67.20575022461816,0.7187780772686434,18.328840970350406,6.109613656783468,0.0,0.0,6.109613656783468,1.527403414195867,0.0,0.022727272727272724,0.08333333333333333
ABEMIF_clean,1,1,3.0,4209.0,53.02922309337134,0.5702066999287241,35.3528153955809,0.0,2.209550962223806,0.0,0.0,8.838203848895224,0.0,0.16666666666666669,0.25
ABESUX_clean,1,1,3.0,4100.0,0.0,0.0,79.60975609756098,0.0,0.0,0.0,19.902439024390244,0.0,0.4878048780487805,,0.0
ABETAE_clean,1,1,3.0,4100.0,0.0,0.0,79.60975609756098,0.0,0.0,0.0,19.902439024390244,0.0,0.4878048780487805,,0.0
ABEXEM_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEXEN_clean,1,1,3.0,11280.0,65.95744680851064,1.0638297872340425,26.382978723404257,0.0,0.0,0.0,3.297872340425532,3.297872340425532,0.0,0.05,0.125
ABEXIQ_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEXOW_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEXUC_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEYAJ_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
