Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
1499489-acs.cgd.6b01265_1499490_clean,C17442H270N2754O3672Cu918,1,1,3.0
ABAVIJ_clean,Co4H992C1488N248O496,1,1,3.0
ABAVOP_clean,Co4H992C1488N248O496,1,1,3.0
ABAYIO_clean,O9792Mn48Cl2448C14688H4896,1,1,3.0
ABAYOU_clean,O9792Co48Cl2448C14688H4896,1,1,3.0
ABEFUL_clean,C4488H48O1224Tb102S408N408,1,1,3.0
ABEMIF_clean,Cu372H24C2232Cl93O1488,1,1,3.0
ABESUX_clean,U20P816O3264,1,1,3.0
ABETAE_clean,U20P816O3264,1,1,3.0
ABEXEM_clean,La248H16C1736N496O1488,1,1,3.0
ABEXEN_clean,O2976C7440H120In372S372,1,1,3.0
ABEXIQ_clean,Ce248H16C1736N496O1488,1,1,3.0
ABEXOW_clean,Pr248H16C1736N496O1488,1,1,3.0
ABEXUC_clean,Nd248H16C1736N496O1488,1,1,3.0
ABEYAJ_clean,Sm248H16C1736N496O1488,1,1,3.0
ABEYEN_clean,Eu248H16C1736N496O1488,1,1,3.0
ABEYIR,Gd248H16C1736N496O1488,1,1,3.0
ABEYIR_clean,Gd248H16C1736N496O1488,1,1,3.0
ABIXOZ_clean,Mo372Co3P248O1612,1,1,3.0
ABIYIV,Co12H3472C4960N1240O992,1,1,3.0
ABIYIV_clean,Co12H3472C4960N1240O992,1,1,3.0
ABULOB_clean,Be12P816H816O2448,1,1,3.0
ABUWOJ_clean,Zn496H56C2976O1736,1,2,3.0
ACAJIY_clean,N7344C4590H144Zn306,1,1,3.0
ACAJIZ_clean,Cu248O992N248C2728H96,1,1,3.0
ACAJOF_clean,Cu248H104C2852N248O992,1,1,3.0
ACAKUM,La124H32C2232N372O992,1,1,3.0
ACAKUM_clean,La124H32C2232N372O992,1,1,3.0
ACALIB_clean,Er124H32C2232N372O992,1,1,3.0
ACECIV_ion_b,Pb612K612S612O2448N612C3060H72,1,1,3.0
ACIBIY_clean,Co36H2232C2232O4464,1,1,3.0
ACIBOE_clean,Zn372H24C2232O1612,1,1,3.0
ACMPCD_clean,Cd4P204C1836N612O1632,1,1,3.0
ACODED,Cu248P248H104C5208O1736,1,1,3.0
ACODON_clean,Tb124P124H50C2666O992,1,1,3.0
ACODUT_clean,C6426H78Yb102O612,1,1,3.0
ACOGAB_clean,Cd62H72C1984Br124N744O248,1,1,3.0
ACOGEF_clean,Cd62H72C1984I124N744O248,1,1,3.0
ACOLEL_clean,Mn10H5890C8060N1550O1240,1,3,3.0
ACOLIP_clean,Zn62H38C1364N310O248,1,1,3.0
ACOLOV_clean,Cd372H160C6448O2356,1,1,3.0
ACOLUB_clean,Cd186H100C3968N248O1178,1,1,3.0
ACUBAB_clean,Zn16P612Cl102O2448,1,1,3.0
ACUTOI_clean,Na248Cd248H72C2728S248N248O1736,1,1,3.0
ADABAK,Cu248H56C2108N1240O496,1,1,3.0
ADABAK01_clean,Cu4C1734N1020O408,1,1,3.0
ADABIS_clean,Cu124H28C1054N620O248,1,1,3.0
ADABUE_clean,Cu124H28C1054N620O248,1,1,3.0
ADASIJ_clean,Cu744H144C8184O3720,1,1,3.0
ADASOP_clean,Zn744H144C8184O3720,1,1,3.0
ADASUV_clean,Co24H4464C8184O3968,1,1,3.0
ADATOQ_clean,N4080H288C15912Ag612,1,1,3.0
ADATUW_clean,N4080H288C15912Ag612,1,1,3.0
ADAVAE_clean,N4080H288C15912Ag612,1,1,3.0
ADAVEI_clean,N4080H288C15912Ag612,1,1,3.0
ADAVIM_clean,N4080C15912H264Ag612,1,1,3.0
ADAXEK_clean,Co2H496C806N62O310,1,1,3.0
