MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
0,0.00000,0.00000
1000,0.37500,0.37500
2000,0.62500,0.62500
3000,0.12500,0.12500
4000,0.00000,0.00000
5000,0.25000,0.25000
6000,0.37500,0.37500
7000,0.25000,0.25000
8000,0.12500,0.12500
9000,0.12500,0.12500
10000,0.37500,0.37500
11000,0.12500,0.12500
12000,0.12500,0.12500
13000,0.12500,0.12500
14000,0.12500,0.12500
15000,0.12500,0.12500
16000,0.25000,0.25000
17000,0.12500,0.12500
18000,0.25000,0.25000
19000,0.12500,0.12500
20000,0.00000,0.00000
21000,0.50000,0.50000
22000,0.25000,0.25000
23000,0.37500,0.37500
24000,0.62500,0.62500
25000,0.00000,0.00000
26000,0.62500,0.62500
27000,0.62500,0.62500
28000,0.00000,0.00000
29000,0.00000,0.00000
30000,0.12500,0.12500
31000,0.62500,0.62500
32000,0.50000,0.50000
33000,0.25000,0.25000
34000,0.12500,0.12500
35000,0.62500,0.62500
36000,0.25000,0.25000
37000,0.75000,0.75000
38000,0.12500,0.12500
39000,0.00000,0.00000
40000,0.00000,0.00000
41000,0.12500,0.12500
42000,0.62500,0.62500
43000,0.00000,0.00000
44000,0.12500,0.12500
45000,0.00000,0.00000
46000,0.37500,0.37500
47000,0.25000,0.25000
48000,0.12500,0.12500
49000,0.00000,0.00000
50000,0.00000,0.00000
51000,0.12500,0.12500
52000,0.12500,0.12500
53000,0.87500,0.87500
54000,0.00000,0.00000
55000,0.12500,0.12500
56000,0.00000,0.00000
57000,0.12500,0.12500
58000,0.50000,0.50000
59000,0.50000,0.50000
60000,0.62500,0.62500
61000,0.62500,0.62500
62000,0.00000,0.00000
63000,0.00000,0.00000
64000,0.12500,0.12500
65000,0.50000,0.50000
66000,0.37500,0.37500
67000,0.00000,0.00000
68000,0.25000,0.25000
69000,0.00000,0.00000
70000,0.12500,0.12500
71000,0.25000,0.25000
72000,0.12500,0.12500
73000,0.50000,0.50000
74000,0.62500,0.62500
75000,0.37500,0.37500
76000,0.50000,0.50000
77000,0.12500,0.12500
78000,0.12500,0.12500
79000,0.25000,0.25000
80000,0.00000,0.00000
81000,0.00000,0.00000
82000,0.37500,0.37500
83000,0.62500,0.62500
84000,0.00000,0.00000
85000,0.12500,0.12500
86000,0.12500,0.12500
87000,0.12500,0.12500
88000,0.00000,0.00000
89000,0.00000,0.00000
90000,0.25000,0.25000
91000,0.12500,0.12500
92000,0.00000,0.00000
93000,0.12500,0.12500
94000,0.50000,0.50000
95000,0.12500,0.12500
96000,0.25000,0.25000
97000,0.12500,0.12500
98000,0.12500,0.12500
99000,0.75000,0.75000
100000,0.00000,0.00000
101000,0.00000,0.00000
102000,0.62500,0.62500
103000,0.00000,0.00000
104000,0.12500,0.12500
105000,0.00000,0.00000
106000,0.62500,0.62500
107000,0.87500,0.87500
108000,0.75000,0.75000
109000,0.87500,0.87500
110000,0.87500,0.87500
111000,1.87500,1.87500
112000,1.12500,1.12500
113000,0.50000,0.50000
114000,0.12500,0.12500
115000,0.12500,0.12500
116000,0.12500,0.12500
117000,0.12500,0.12500
118000,0.00000,0.00000
119000,0.12500,0.12500
120000,0.62500,0.62500
121000,1.25000,1.25000
122000,1.00000,1.00000
123000,0.25000,0.25000
124000,0.25000,0.25000
125000,0.25000,0.25000
126000,0.12500,0.12500
127000,0.12500,0.12500
128000,0.25000,0.25000
129000,0.25000,0.25000
130000,0.25000,0.25000
131000,0.25000,0.25000
132000,0.50000,0.50000
133000,0.25000,0.25000
134000,0.00000,0.00000
135000,0.50000,0.50000
136000,0.12500,0.12500
137000,0.12500,0.12500
138000,0.50000,0.50000
139000,0.25000,0.25000
140000,0.00000,0.00000
141000,0.12500,0.12500
142000,0.00000,0.00000
143000,0.25000,0.25000
144000,1.00000,1.00000
145000,0.00000,0.00000
146000,0.12500,0.12500
147000,0.37500,0.37500
148000,0.75000,0.75000
149000,1.12500,1.12500
150000,0.75000,0.75000
151000,0.75000,0.75000
152000,1.00000,1.00000
153000,0.37500,0.37500
154000,0.00000,0.00000
155000,0.00000,0.00000
156000,0.00000,0.00000
157000,0.87500,0.87500
158000,0.00000,0.00000
159000,0.12500,0.12500
160000,0.25000,0.25000
161000,0.00000,0.00000
162000,0.12500,0.12500
163000,0.50000,0.50000
164000,0.62500,0.62500
165000,0.37500,0.37500
166000,0.12500,0.12500
167000,0.37500,0.37500
168000,0.87500,0.87500
169000,0.75000,0.75000
