MC_cycle,absolute_adsorption_(H20),excess_adsorption_(H20)
0,26.75000,26.75000
1000,24.62500,24.62500
2000,25.62500,25.62500
3000,29.12500,29.12500
4000,29.50000,29.50000
5000,29.37500,29.37500
6000,29.37500,29.37500
7000,29.87500,29.87500
8000,30.75000,30.75000
9000,31.75000,31.75000
10000,30.75000,30.75000
11000,32.00000,32.00000
12000,32.25000,32.25000
13000,32.00000,32.00000
14000,30.25000,30.25000
15000,30.00000,30.00000
16000,30.50000,30.50000
17000,30.12500,30.12500
18000,30.25000,30.25000
19000,31.62500,31.62500
20000,31.12500,31.12500
21000,30.62500,30.62500
22000,31.62500,31.62500
23000,31.62500,31.62500
24000,32.00000,32.00000
25000,31.25000,31.25000
26000,33.12500,33.12500
27000,33.12500,33.12500
28000,32.00000,32.00000
29000,30.50000,30.50000
30000,31.62500,31.62500
31000,30.75000,30.75000
32000,30.87500,30.87500
33000,29.62500,29.62500
34000,31.00000,31.00000
35000,33.87500,33.87500
36000,31.50000,31.50000
37000,33.37500,33.37500
38000,32.50000,32.50000
39000,30.87500,30.87500
40000,32.12500,32.12500
41000,30.25000,30.25000
42000,31.12500,31.12500
43000,32.62500,32.62500
44000,34.25000,34.25000
45000,35.37500,35.37500
46000,37.50000,37.50000
47000,35.25000,35.25000
48000,36.62500,36.62500
49000,36.25000,36.25000
50000,34.50000,34.50000
51000,34.75000,34.75000
52000,34.12500,34.12500
53000,34.62500,34.62500
54000,33.00000,33.00000
55000,32.25000,32.25000
56000,33.00000,33.00000
57000,33.00000,33.00000
58000,31.62500,31.62500
59000,33.00000,33.00000
60000,33.12500,33.12500
61000,33.75000,33.75000
62000,34.62500,34.62500
63000,34.50000,34.50000
64000,33.75000,33.75000
65000,33.37500,33.37500
66000,35.37500,35.37500
67000,35.50000,35.50000
68000,36.25000,36.25000
69000,34.37500,34.37500
70000,35.00000,35.00000
71000,35.37500,35.37500
72000,34.37500,34.37500
73000,35.50000,35.50000
74000,35.62500,35.62500
75000,36.12500,36.12500
76000,37.37500,37.37500
77000,36.50000,36.50000
78000,36.50000,36.50000
79000,36.87500,36.87500
80000,37.62500,37.62500
81000,37.37500,37.37500
82000,36.00000,36.00000
83000,37.00000,37.00000
84000,35.87500,35.87500
85000,37.87500,37.87500
86000,39.62500,39.62500
87000,39.00000,39.00000
88000,38.25000,38.25000
89000,36.37500,36.37500
90000,34.50000,34.50000
91000,35.62500,35.62500
92000,35.25000,35.25000
93000,35.37500,35.37500
94000,35.75000,35.75000
95000,38.12500,38.12500
96000,35.12500,35.12500
97000,36.87500,36.87500
98000,37.12500,37.12500
99000,37.62500,37.62500
100000,38.50000,38.50000
101000,38.75000,38.75000
102000,38.87500,38.87500
103000,36.87500,36.87500
104000,38.00000,38.00000
105000,36.62500,36.62500
106000,37.37500,37.37500
107000,36.25000,36.25000
108000,36.87500,36.87500
109000,37.50000,37.50000
110000,38.25000,38.25000
111000,37.75000,37.75000
112000,39.00000,39.00000
113000,38.00000,38.00000
114000,38.87500,38.87500
115000,39.00000,39.00000
116000,36.87500,36.87500
117000,35.50000,35.50000
118000,34.12500,34.12500
119000,34.37500,34.37500
120000,34.37500,34.37500
121000,33.62500,33.62500
122000,34.12500,34.12500
123000,33.25000,33.25000
124000,34.50000,34.50000
125000,33.75000,33.75000
126000,35.75000,35.75000
127000,36.00000,36.00000
128000,35.75000,35.75000
129000,34.87500,34.87500
130000,36.25000,36.25000
131000,36.12500,36.12500
132000,36.62500,36.62500
133000,36.12500,36.12500
134000,37.37500,37.37500
135000,36.50000,36.50000
136000,36.75000,36.75000
137000,35.75000,35.75000
138000,37.12500,37.12500
139000,37.50000,37.50000
140000,38.12500,38.12500
141000,37.87500,37.87500
142000,38.00000,38.00000
143000,37.75000,37.75000
144000,37.50000,37.50000
145000,37.62500,37.62500
146000,37.37500,37.37500
147000,37.25000,37.25000
148000,36.00000,36.00000
149000,35.87500,35.87500
150000,37.37500,37.37500
151000,36.00000,36.00000
152000,35.25000,35.25000
153000,34.75000,34.75000
154000,37.37500,37.37500
155000,37.12500,37.12500
156000,35.37500,35.37500
157000,36.00000,36.00000
158000,36.00000,36.00000
159000,35.37500,35.37500
160000,36.62500,36.62500
161000,36.25000,36.25000
162000,36.75000,36.75000
163000,36.00000,36.00000
164000,36.75000,36.75000
165000,39.00000,39.00000
166000,38.75000,38.75000
167000,37.62500,37.62500
168000,38.25000,38.25000
169000,38.12500,38.12500
170000,38.12500,38.12500
171000,37.37500,37.37500
172000,36.87500,36.87500
173000,37.75000,37.75000
174000,38.25000,38.25000
175000,38.25000,38.25000
176000,37.37500,37.37500
177000,37.37500,37.37500
178000,37.25000,37.25000
179000,35.75000,35.75000
180000,36.12500,36.12500
181000,35.50000,35.50000
182000,34.37500,34.37500
183000,34.87500,34.87500
184000,37.87500,37.87500
185000,37.62500,37.62500
186000,38.75000,38.75000
187000,39.62500,39.62500
188000,39.62500,39.62500
189000,39.75000,39.75000
190000,40.37500,40.37500
191000,39.12500,39.12500
192000,35.87500,35.87500
193000,37.37500,37.37500
194000,36.75000,36.75000
195000,38.37500,38.37500
196000,39.12500,39.12500
197000,37.37500,37.37500
198000,38.00000,38.00000
199000,36.12500,36.12500
200000.0,38.25000,38.2500000000
201000.0,37.00000,37.0000000000
202000.0,37.87500,37.8750000000
203000.0,38.12500,38.1250000000
204000.0,38.12500,38.1250000000
205000.0,38.37500,38.3750000000
206000.0,36.25000,36.2500000000
207000.0,37.25000,37.2500000000
208000.0,36.12500,36.1250000000
209000.0,36.37500,36.3750000000
210000.0,36.12500,36.1250000000
211000.0,36.00000,36.0000000000
212000.0,36.00000,36.0000000000
213000.0,36.12500,36.1250000000
214000.0,37.37500,37.3750000000
215000.0,37.12500,37.1250000000
216000.0,37.50000,37.5000000000
217000.0,37.62500,37.6250000000
218000.0,35.50000,35.5000000000
219000.0,38.37500,38.3750000000
220000.0,38.87500,38.8750000000
221000.0,38.25000,38.2500000000
222000.0,37.37500,37.3750000000
223000.0,36.87500,36.8750000000
224000.0,37.50000,37.5000000000
225000.0,37.25000,37.2500000000
226000.0,37.37500,37.3750000000
227000.0,38.62500,38.6250000000
228000.0,38.87500,38.8750000000
229000.0,39.12500,39.1250000000
230000.0,38.62500,38.6250000000
231000.0,37.87500,37.8750000000
232000.0,39.50000,39.5000000000
233000.0,39.12500,39.1250000000
234000.0,39.75000,39.7500000000
235000.0,38.75000,38.7500000000
236000.0,37.87500,37.8750000000
237000.0,37.87500,37.8750000000
238000.0,37.50000,37.5000000000
239000.0,36.87500,36.8750000000
