MC_cycle,Potentiel_energy (kJ/mol)
0.0,-262377.27912782587
1.0,-263149.5249428682
2.0,-263729.56778565125
3.0,-264208.5022679102
4.0,-264571.95198968827
5.0,-264851.8442702119
6.0,-265073.7720088251
7.0,-265188.8075506717
8.0,-265270.70584282983
9.0,-265329.83228040894
10.0,-265393.58551103174
11.0,-265561.5638997035
12.0,-265577.7814419091
13.0,-265627.6090125902
14.0,-265673.16575527546
15.0,-265678.21451124176
16.0,-265743.91408151214
17.0,-265748.1932751563
18.0,-265765.3420236114
19.0,-265770.59788591875
20.0,-265798.1152721035
21.0,-265851.28104526346
22.0,-265844.05331600877
23.0,-265844.05331600877
24.0,-265844.62633800425
25.0,-265849.7636741776
26.0,-265849.54546747194
27.0,-265849.38303211174
28.0,-265925.263305085
29.0,-265966.87332838954
30.0,-265982.074226759
31.0,-265989.6552810456
32.0,-265999.35183349886
33.0,-266023.40022852697
34.0,-266040.9019814237
35.0,-266068.96868772915
36.0,-266084.0040994691
37.0,-266085.2012260269
38.0,-266086.6612042406
39.0,-266076.0796239141
40.0,-266079.4287443903
41.0,-266076.8354362987
42.0,-266085.3144801539
43.0,-266095.2447924783
44.0,-266101.4901452031
45.0,-266102.6232511423
46.0,-266111.389600454
47.0,-266119.5561656309
48.0,-266111.0497958573
49.0,-266118.93602897314
50.0,-266118.93602897314
51.0,-266112.36369491456
52.0,-266116.80840344325
53.0,-266116.11218947754
54.0,-266118.4617660642
55.0,-266118.4617660642
56.0,-266118.0831367793
57.0,-266128.95056013716
58.0,-266142.94040256605
59.0,-266142.94040256605
60.0,-266150.96342792583
61.0,-266151.6148941819
62.0,-266151.6148941819
63.0,-266155.0237024926
64.0,-266163.5706108137
65.0,-266161.70335718757
66.0,-266161.70335718757
67.0,-266161.70335718757
68.0,-266161.4958820362
69.0,-266163.4474417369
70.0,-266167.3723538859
71.0,-266172.5383594536
72.0,-266172.5383594536
73.0,-266165.34369174996
74.0,-266164.697778869
75.0,-266165.94870224217
76.0,-266172.14847468486
77.0,-266167.29212678317
78.0,-266164.2677516813
79.0,-266160.8296564519
80.0,-266167.2772310942
81.0,-266177.5700590452
82.0,-266177.5700590452
83.0,-266181.8027704694
84.0,-266185.784813852
85.0,-266198.5378875608
86.0,-266200.8611168854
87.0,-266218.95047050033
88.0,-266214.94763238967
89.0,-266215.1905881339
90.0,-266214.6557771789
91.0,-266213.3531033752
92.0,-266223.6301747783
93.0,-266222.17702328623
94.0,-266222.43534028117
95.0,-266233.13624379615
96.0,-266233.55083684553
97.0,-266230.89329564135
98.0,-266230.3254120751
99.0,-266236.8346822337
100.0,-266236.8346822337
101.0,-266235.7012873327
102.0,-266236.9382726936
103.0,-266240.3879474401
104.0,-266237.6675812866
105.0,-266239.703812648
106.0,-266217.66898994066
107.0,-266237.81418356264
108.0,-266246.17781632574
109.0,-266247.12486284866
110.0,-266266.89434796025
111.0,-266269.1842838025
112.0,-266270.47028561024
113.0,-266274.416183229
114.0,-266285.2270510268
115.0,-266285.31455251854
116.0,-266285.2216070458
117.0,-266285.2216070458
118.0,-266290.49653899035
119.0,-266285.67668768927
120.0,-266287.25074613164
121.0,-266287.25074613164
122.0,-266287.25074613164
123.0,-266289.10568786797
124.0,-266295.19045078155
125.0,-266296.638536534
126.0,-266297.0138373518
127.0,-266288.4416151896
128.0,-266290.4746740594
129.0,-266282.12127469963
130.0,-266279.46345060813
131.0,-266282.0697331539
132.0,-266288.9312175903
133.0,-266286.3537321985
134.0,-266293.1586862598
135.0,-266301.2110194352
136.0,-266298.81750748196
137.0,-266315.51493823575
138.0,-266315.51493823575
139.0,-266316.2370779556
140.0,-266319.56797004386
141.0,-266323.42440971575
142.0,-266323.42440971575
143.0,-266322.85671443795
144.0,-266324.2991555396
145.0,-266327.22733995586
146.0,-266329.51298846805
147.0,-266329.12677585403
148.0,-266329.12677585403
149.0,-266328.6349496796
150.0,-266325.1004343368
151.0,-266325.1004343368
152.0,-266325.1004343368
153.0,-266316.48075991985
154.0,-266322.59821542393
155.0,-266320.10082845675
156.0,-266334.0210974171
157.0,-266341.2618763355
158.0,-266343.51521144126
159.0,-266343.51521144126
160.0,-266345.3478479456
161.0,-266346.0049438306
162.0,-266337.29089346644
163.0,-266336.2673823287
164.0,-266336.2673823287
165.0,-266336.2673823287
166.0,-266336.9462987561
167.0,-266337.6774642685
168.0,-266337.6774642685
169.0,-266339.1809401159
170.0,-266339.18028385594
171.0,-266339.51500208734
172.0,-266341.32859645714
173.0,-266339.7988797259
174.0,-266340.7532374376
175.0,-266326.1676570541
176.0,-266331.11146904866
177.0,-266329.9374917644
178.0,-266342.182548359
179.0,-266343.9546235784
180.0,-266343.9546235784
181.0,-266341.87932654185
182.0,-266340.38873246586
183.0,-266339.716477696
184.0,-266339.6342698936
185.0,-266338.54495400365
186.0,-266361.5050307551
187.0,-266363.18004019704
188.0,-266354.95621051337
189.0,-266357.69838698074
190.0,-266351.49574593955
191.0,-266354.7200296364
192.0,-266354.7200296364
193.0,-266354.9451421323
194.0,-266354.7084284831
195.0,-266354.7084284831
196.0,-266357.7250869099
197.0,-266357.7250869099
198.0,-266357.7250869099
199.0,-266359.7393774874
200.0,-266363.1798719722
201.0,-266361.37758091826
202.0,-266364.1690079391
203.0,-266358.02538953203
204.0,-266359.32764478517
205.0,-266360.9735711702
206.0,-266362.93991812685
207.0,-266363.05819496146
208.0,-266359.726959795
209.0,-266360.82907439815
210.0,-266363.6389215778
211.0,-266362.71704187314
212.0,-266366.45680895756
213.0,-266363.89619031135
214.0,-266363.5273193724
215.0,-266363.517343061
216.0,-266363.12345452554
217.0,-266361.1158053503
218.0,-266357.9203206402
219.0,-266357.9203206402
